Blend, Thickness (um),Temperature,RH,Blend WVTR,Blend Cobb,Blend Tensile Strength,Blend Elongation at Break,Blend Disintegration,Neat1 WVTR,Neat1 Cobb,Neat1 Tensile Strength,Neat1 Elongation at Break,Neat1 Disintegration,Neat2 WVTR,Neat2 Cobb,Neat2 Tensile Strength,Neat2 Elongation at Break,Neat2 Disintegration,Neat3 WVTR,Neat3 Cobb,Neat3 Tensile Strength,Neat3 Elongation at Break,Neat3 Disintegration,Neat4 WVTR,Neat4 Cobb,Neat4 Tensile Strength,Neat4 Elongation at Break,Neat4 Disintegration
"""PLA, Ingeo 4032D, 0.5, PHB, ENMAT™ Y1000P, 0.5"" temperature=25 rh=50 thickness=50",50,25,50,63.8016748046875,2.5405746,39.64560801700594,3.357298791864836,72.72832492262677,67.0554736328125,10.224116,55.70904217084604,6.780982761843884,2.332749603409517,73.9965576171875,1.8902715,31.570775397882787,2.24332031353814,93.42055964964035,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.2, PHB, ENMAT™ Y1000P, 0.8"" temperature=25 rh=50 thickness=50",50,25,50,65.6189892578125,2.2058132,37.36031103053553,3.025580886527573,91.12221839812568,67.0554736328125,10.224116,55.70904217084599,6.780982761843884,2.332749603409517,73.9965576171875,1.8902715,31.570775397882773,2.2433203135381397,93.42055964964035,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.8, PHB, ENMAT™ Y1000P, 0.2"" temperature=25 rh=50 thickness=50",50,25,50,57.918193359375,5.082624,44.849739291929765,5.426663992863518,36.31962722763974,67.0554736328125,10.224116,55.70904217084599,6.780982761843888,2.332749603409517,73.9965576171875,1.8902715,31.570775397882787,2.24332031353814,93.42055964964035,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.5, PHB, ENMAT™ Y1000P, 0.5"" temperature=25 rh=50 thickness=20",20,25,50,143.01654052734375,2.5405746,31.95775870835921,2.907977883916675,73.92344430838695,203.00615234375,10.224116,52.71939173447429,6.488773216584423,2.334058263813693,165.86885986328124,1.8902715,28.349797142891468,2.068453721319693,95.60935505523368,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.5, PHB, ENMAT™ Y1000P, 0.5"" temperature=25 rh=50 thickness=100",100,25,50,35.7103125,2.5405746,43.27825631810235,4.377542124859231,69.45352013180762,35.43606201171875,10.224116,58.66126133477043,7.6566298316327766,2.331836319831202,43.3454736328125,1.8902715,32.70066366265757,2.52578165109162,87.1480291066118,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.5, PHB, ENMAT™ Y1000P, 0.5"" temperature=37 rh=50 thickness=50",50,37,50,63.9995458984375,2.5405746,39.645608017005976,3.3572987918648374,72.72832492262677,94.98166015625,10.224116,55.70904217084609,6.780982761843886,2.332749603409517,76.463134765625,1.8902715,31.570775397882787,2.24332031353814,93.42055964964035,,,,,,,,,,
"""PLA, Ingeo 4032D, 0.5, PHB, ENMAT™ Y1000P, 0.5"" temperature=25 rh=90 thickness=50",50,25,90,73.2659912109375,2.5405746,39.645608017005976,3.357298791864836,72.72832492262677,55.9266357421875,10.224116,55.70904217084604,6.780982761843888,2.332749603409517,61.3642578125,1.8902715,31.570775397882773,2.2433203135381397,93.42055964964035,,,,,,,,,,
"""PCL, Capa™ 6500, 0.5, PBAT, Ecoworld, 0.5"" temperature=25 rh=50 thickness=50",50,25,50,89.302099609375,1.0834275,38.52486545650987,622.2864818802611,92.06171027348546,81.6016357421875,2.234554,41.2684546457472,647.2400107188969,91.49964680529364,360.2133203125,1.2657075,29.75153424159378,714.5587069214894,92.62377374167728,,,,,,,,,,
"""PCL, Capa™ 6500, 0.2, PBAT, Ecoworld, 0.8"" temperature=25 rh=50 thickness=50",50,25,50,113.38453125,1.0479769,25.6820611188357,629.1620028681281,92.39894835440056,81.6016357421875,2.234554,41.26845464574725,647.2400107188975,91.49964680529364,360.2133203125,1.2657075,29.751534241593742,714.5587069214912,92.62377374167728,,,,,,,,,,
"""PCL, Capa™ 6500, 0.8, PBAT, Ecoworld, 0.2"" temperature=25 rh=50 thickness=50",50,25,50,74.7761865234375,1.0888268,42.786065871116286,557.8771568267955,91.72447219257036,81.6016357421875,2.234554,41.268454645747234,647.2400107188969,91.49964680529364,360.2133203125,1.2657075,29.751534241593742,714.5587069214899,92.62377374167728,,,,,,,,,,
"""PCL, Capa™ 6500, 0.5, PBAT, Ecoworld, 0.5"" temperature=25 rh=50 thickness=20",20,25,50,200.17738037109376,1.0834275,35.22518276488108,465.35656958477034,95.30608766017482,182.91622314453124,2.234554,35.586776704924375,652.3849207539408,95.58297250215595,807.4453125,1.2657075,24.37130564003531,626.0499966968953,95.02920281819368,,,,,,,,,,
"""PCL, Capa™ 6500, 0.5, PBAT, Ecoworld, 0.5"" temperature=25 rh=50 thickness=100",100,25,50,54.7493603515625,1.0834275,40.55132188334395,799.099819870475,85.67711712192477,44.734287109375,2.234554,47.26370111444847,743.6106259043373,85.24837730660046,244.85044921875,1.2657075,30.715879685448563,866.6125900371818,86.10585693724907,,,,,,,,,,
"""PCL, Capa™ 6500, 0.5, PBAT, Ecoworld, 0.5"" temperature=37 rh=50 thickness=50",50,37,50,119.82921875,1.0834275,38.52486545650987,622.2864818802611,92.06171027348546,98.90140625,2.234554,41.268454645747234,647.2400107188969,91.49964680529364,444.2864453125,1.2657075,29.751534241593728,714.5587069214899,92.62377374167728,,,,,,,,,,
