iteration,mae,improvement,ki_vector,blend_lrs
1,1.5738132634291233,0.0,[-0.952 -2.07  -2.189 -0.191 -0.54  -0.235  0.074  0.496  0.454],
2,1.3931042160678289,0.18070904736129445,"[-1.07810643 -1.96334984 -2.25805522 -0.34493325 -0.36271092 -0.02262434
  0.2964345   0.33385048  0.65882782]","[0.001, 0.001, 0.0001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001]"
3,0.6882221569222359,0.704882059145593,"[-0.96549315 -2.0663568  -2.19578437 -0.49603096 -0.54353792  0.19782306
  0.06438179  0.4752417   0.447016  ]","[0.001, 0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.001, 0.0001]"
4,1.0659572014177785,-0.3777350444955426,"[-1.0647964  -1.95814728 -2.26553064 -0.51413328 -0.36418378  0.46505523
  0.28872413  0.6381439   0.65387291]","[0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001]"
5,0.7424143641640527,0.3235428372537258,"[-1.05254524 -2.06120161 -2.20356682 -0.53069025 -0.54466004  0.18407234
  0.05784271  0.4776704   0.44283967]","[0.0001, 0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.0001, 0.0001]"
6,1.0439328783015056,-0.3015185141374529,"[-1.03929819 -1.95453009 -2.27194186 -0.39297296 -0.36824554  0.44527004
  0.2779112   0.63815616  0.6459957 ]","[0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]"
7,0.7450199768025159,0.29891290149898975,"[-1.02722756 -2.05395319 -2.21242166 -0.53618403 -0.54180824  0.17716688
  0.05662245  0.48351542  0.44343337]","[0.001, 0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.0001, 0.0001]"
8,1.0334916089993027,-0.28847163219678684,"[-1.01367743 -1.94696216 -2.14430297 -0.39861633 -0.36502339  0.43763908
  0.27670438  0.64450367  0.64678616]","[0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]"
9,0.7505962473925124,0.2828953616067903,"[-1.00133954 -2.04660342 -2.20773095 -0.54153615 -0.53882598  0.17061831
  0.05559997  0.48948577  0.44419034]","[0.001, 0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001, 0.0001, 0.0001, 0.0001]"
10,1.0016865603838812,-0.25109031299136875,"[-1.09638319 -1.94122938 -2.27481971 -0.40659713 -0.36486273  0.42571465
  0.27173602  0.33090591  0.64407496]","[0.0001, 0.0001, 0.0001, 0.001, 0.0001, 0.001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001]"
