iteration,mae,improvement,ki_vector,blend_lrs
1,9059.529359311104,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],
2,6049.783200918467,3009.746158392637,"[ 0.23013532  0.20424856  1.61677816 -1.83496189 -1.38017337 -1.59341353
 -1.06402282 -0.91431013 -0.70718016]",
3,6695.803731270888,-646.0205303524217,"[-0.69352674  0.42229263 -2.01174042 -1.83496189 -0.68797145 -0.87508495
 -1.68905349 -1.5370691  -0.2106246 ]",
4,6740.017987536906,-44.2142562660174,"[-0.02866785  0.65609385 -1.42044222 -1.83496189 -1.66643025  0.15365645
 -1.2317783  -2.01650049 -0.84711743]",
5,5855.227588430637,884.7903991062685,"[ 0.20024628  0.90805822 -0.62573836 -1.83496189 -1.06653846 -1.56700162
 -1.80652129 -1.62450921 -0.38411758]",
6,4587.062502311135,1268.1650861195021,"[-0.71361299  1.1811796   0.55668521 -1.83496189 -0.25681306 -0.8391239
 -1.37533015 -2.08665294 -0.96772391]",
7,4720.840490435018,-133.777988123883,"[-0.05347627  1.47924566  0.55668521 -1.83496189 -1.4706697   0.20828211
 -0.84039418 -1.7060428  -0.53181927]",
8,4450.019028629885,270.82146180513337,"[ 0.17438157  1.80714159  0.55668521 -1.83496189 -0.8090906  -1.56001968
 -1.53936922 -2.15262874  0.01024025]",
9,4574.466311776642,-124.4472831467574,"[-0.73108031  2.17131238  0.55668521 -1.83496189  0.11187171 -0.82959653
 -1.04655735 -1.78242046 -0.70057005]",
10,4512.72196845536,61.74434332128203,"[-0.07502229  2.58049339  0.55668521 -1.83496189 -1.34770283  0.2228109
 -1.67707014 -2.21490788 -0.20237063]",
