Materials,Polymer Grade 1,Polymer Grade 2,Polymer Grade 3,Polymer Grade 4,Polymer Grade 5,SMILES1,SMILES2,SMILES3,SMILES4,SMILES5,vol_fraction1,vol_fraction2,vol_fraction3,vol_fraction4,vol_fraction5,Thickness_certification,enzyme kinetics,Xc,wa,wvtr,eab,ts,Tg,property1,property2,property1_label,property2_label
PLA,Ingeo 4032D,Unknown,Unknown,Unknown,Unknown,*OC(=O)C(*)C,,,,,1,,,,,,slow,0.3,25.3,1200,4.093333333,52.63666667,61,2,150,fixed,soft
PLA,Ingeo 4043D,Unknown,Unknown,Unknown,Unknown,*OC(=O)C(*)C,,,,,1,,,,,,slow,0.1,25.3,10450,4.99,52.74,55,10,150,fixed,soft
PLA,Luminy® L175,Unknown,Unknown,Unknown,Unknown,*OC(=O)C(*)C,,,,,1,,,,,,slow,0.2,25.3,3550,6.4,62.2,60,2,150,fixed,soft
PHB,Biocycle 1000,Unknown,Unknown,Unknown,Unknown,*OC(C)CC(=O)*,,,,,1,,,,,,fastest,0.64,1.3,550,3,30.25,0,35,60,soft,soft
PHB,ENMAT Y3000,Unknown,Unknown,Unknown,Unknown,*OC(C)CC(=O)*,,,,,1,,,,,,fastest,0.6,1.3,550,2.4,40.95,0,55,50,soft,soft
PHB,ENMAT™ Y1000P,Unknown,Unknown,Unknown,Unknown,*OC(CC)CC(=O)OC(C)CC(=O)*,,,,,1,,,,,600,fastest,0.67,1.3,8689,1.57,36.57,0,95,45,fixed,soft
PHB,Green Planet™ PHBH,Unknown,Unknown,Unknown,Unknown,*OC(CCC)CC(=O)OC(C)CC(=O)*,,,,,1,,,,,320,fastest,0.3,1.3,790,331,25,0,95,40,fixed,soft
PHA,PHACT A1000P,Unknown,Unknown,Unknown,Unknown,*OC(C)CC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)*,,,,,1,,,,,2480,fast,0.1,2.07,53523.25,500,43.9,-15,95,30,fixed,soft
PHA,PHACT S1000P,Unknown,Unknown,Unknown,Unknown,*OC(C)CC(=O)OCCCC(=O)*,,,,,1,,,,,330,fast,0.5,5.3,17408.45,60,38.2,-3,95,30,fixed,soft
PGA,Kuredux® PGA,Unknown,Unknown,Unknown,Unknown,*OCC(*)=O,,,,,1,,,,,,fast,0.5,1.495,200,50,315,40,75,80,soft,soft
