iteration,ki_value,percentage_change,error,polymer_family,additive
1,0.0,48.38010444380511,51.61989555619489,PLA,Glycerol
1,0.0,40.36775852320966,59.63224147679034,PHB,Glycerol
1,0.0,10.069168543426963,89.93083145657303,PHBV,Glycerol
1,0.0,35.13475290035901,64.86524709964098,PHAa,Glycerol
1,0.0,40.69144643104216,59.30855356895784,PGA,Glycerol
1,0.0,28.806945929004986,71.19305407099502,PCL,Glycerol
1,0.0,13.769855917982454,86.23014408201755,PBS,Glycerol
1,0.0,23.761218478957172,76.23878152104282,PBAT,Glycerol
1,0.0,41.985777611256275,58.014222388743725,PBSA,Glycerol
2,0.0,31.6536619059514,68.3463380940486,PLA,Glycerol
2,0.0,71.56241228497507,28.437587715024932,PHB,Glycerol
2,0.0,11.875764609879841,88.12423539012016,PHBV,Glycerol
2,0.0,46.61680164609316,53.38319835390684,PHAa,Glycerol
2,0.0,19.48111217563599,80.51888782436401,PGA,Glycerol
2,0.0,20.95626156282579,79.04373843717421,PCL,Glycerol
2,0.0,57.88016170811447,42.11983829188553,PBS,Glycerol
2,0.0,46.31489567127297,53.68510432872703,PBAT,Glycerol
2,0.0,86.4349639624435,13.565036037556496,PBSA,Glycerol
3,0.05,44.9326366418278,55.0673633581722,PLA,Glycerol
3,0.05,75.64941175340901,24.350588246590988,PHB,Glycerol
3,0.05,23.751135800561475,76.24886419943853,PHBV,Glycerol
3,0.05,50.83192988116433,49.16807011883567,PHAa,Glycerol
3,0.05,78.99092382913008,21.009076170869918,PGA,Glycerol
3,0.05,72.35122618903154,27.648773810968464,PCL,Glycerol
3,0.05,23.883237898114853,76.11676210188514,PBS,Glycerol
3,0.05,56.308643766479854,43.691356233520146,PBAT,Glycerol
3,0.05,45.845779930169996,54.154220069830004,PBSA,Glycerol
4,0.1,33.914794801001634,66.08520519899837,PLA,Glycerol
4,0.1,59.886214495470185,40.113785504529815,PHB,Glycerol
4,0.1,36.56154128263358,63.43845871736642,PHBV,Glycerol
4,0.1,86.76546651235515,13.234533487644853,PHAa,Glycerol
4,0.1,54.8488408533211,45.1511591466789,PGA,Glycerol
4,0.1,60.194478829642534,39.805521170357466,PCL,Glycerol
4,0.1,31.533667209316963,68.46633279068304,PBS,Glycerol
4,0.1,55.511678618646904,44.488321381353096,PBAT,Glycerol
4,0.1,81.7985089512741,18.2014910487259,PBSA,Glycerol
5,0.15000000000000002,55.541844944613956,44.458155055386044,PLA,Glycerol
5,0.15000000000000002,119.68389380886931,19.683893808869314,PHB,Glycerol
5,0.15000000000000002,78.63152136000058,21.368478639999424,PHBV,Glycerol
5,0.15000000000000002,46.17945292744679,53.82054707255321,PHAa,Glycerol
5,0.15000000000000002,19.922914202152946,80.07708579784705,PGA,Glycerol
5,0.15000000000000002,66.66917394875922,33.33082605124078,PCL,Glycerol
5,0.15000000000000002,52.143905818619324,47.856094181380676,PBS,Glycerol
5,0.15000000000000002,35.238402492146705,64.7615975078533,PBAT,Glycerol
5,0.15000000000000002,91.40179827417121,8.598201725828787,PBSA,Glycerol
6,0.2,37.19692432803722,62.80307567196278,PLA,Glycerol
6,0.10000000000000002,79.20674483278734,20.793255167212664,PHB,Glycerol
6,0.2,70.67274067293087,29.32725932706913,PHBV,Glycerol
6,0.2,35.738229742994825,64.26177025700517,PHAa,Glycerol
6,0.2,56.26738451370105,43.73261548629895,PGA,Glycerol
6,0.2,44.09062340099712,55.90937659900288,PCL,Glycerol
6,0.2,19.867891674245094,80.1321083257549,PBS,Glycerol
6,0.2,89.11531018075591,10.884689819244088,PBAT,Glycerol
6,0.2,73.12583472900819,26.87416527099181,PBSA,Glycerol
7,0.25,30.918400571513782,69.08159942848621,PLA,Glycerol
7,0.15000000000000002,81.13979505656243,18.860204943437566,PHB,Glycerol
7,0.25,58.78327740824822,41.21672259175178,PHBV,Glycerol
7,0.25,93.14705632677878,6.852943673221219,PHAa,Glycerol
7,0.25,63.29963645071712,36.70036354928288,PGA,Glycerol
7,0.25,64.74360536297458,35.25639463702542,PCL,Glycerol
7,0.25,41.773645755284726,58.226354244715274,PBS,Glycerol
7,0.25,79.37387310412181,20.626126895878187,PBAT,Glycerol
7,0.25,66.60394197677115,33.396058023228846,PBSA,Glycerol
8,0.3,61.58956260975594,38.41043739024406,PLA,Glycerol
8,0.2,95.69432267393233,4.305677326067666,PHB,Glycerol
8,0.3,41.87242632116153,58.12757367883847,PHBV,Glycerol
8,0.3,62.94735609701885,37.05264390298115,PHAa,Glycerol
8,0.3,54.4152973915431,45.5847026084569,PGA,Glycerol
8,0.3,80.24709899686287,19.752901003137126,PCL,Glycerol
8,0.3,91.4665982354501,8.533401764549893,PBS,Glycerol
8,0.3,58.84149207208967,41.15850792791033,PBAT,Glycerol
8,0.3,95.28334839539396,4.716651604606042,PBSA,Glycerol
9,0.35,90.986114998272,9.013885001728,PLA,Glycerol
9,0.2,104.98013840015304,4.980138400153038,PHB,Glycerol
9,0.35,64.83784327763944,35.162156722360564,PHBV,Glycerol
9,0.35,67.03372766377774,32.96627233622226,PHAa,Glycerol
9,0.35,57.5741477786666,42.4258522213334,PGA,Glycerol
9,0.35,44.700402853915875,55.299597146084125,PCL,Glycerol
9,0.35,72.32016537233352,27.67983462766648,PBS,Glycerol
9,0.35,72.63530405884322,27.364695941156782,PBAT,Glycerol
9,0.3,95.4623077524672,4.537692247532803,PBSA,Glycerol
10,0.39999999999999997,53.68157408581315,46.31842591418685,PLA,Glycerol
10,0.2,111.42506677732038,11.425066777320382,PHB,Glycerol
10,0.39999999999999997,38.2453718641146,61.7546281358854,PHBV,Glycerol
10,0.39999999999999997,70.4134042116424,29.5865957883576,PHAa,Glycerol
10,0.39999999999999997,53.62529901943969,46.37470098056031,PGA,Glycerol
10,0.39999999999999997,70.57636752899195,29.423632471008048,PCL,Glycerol
10,0.39999999999999997,63.00893366233778,36.99106633766222,PBS,Glycerol
10,0.39999999999999997,75.62140379293282,24.378596207067176,PBAT,Glycerol
10,0.3,119.42383476524383,19.423834765243825,PBSA,Glycerol
11,0.44999999999999996,69.71851700567687,30.281482994323127,PLA,Glycerol
11,0.15000000000000002,98.23100277911406,1.768997220885936,PHB,Glycerol
11,0.44999999999999996,31.02285589167719,68.97714410832282,PHBV,Glycerol
11,0.44999999999999996,116.22166394387871,16.22166394387871,PHAa,Glycerol
11,0.44999999999999996,53.755996161946655,46.244003838053345,PGA,Glycerol
11,0.44999999999999996,48.27038607541748,51.72961392458252,PCL,Glycerol
11,0.44999999999999996,74.75019707382742,25.249802926172578,PBS,Glycerol
11,0.44999999999999996,70.97669841070703,29.02330158929297,PBAT,Glycerol
11,0.25,99.07919462067902,0.9208053793209814,PBSA,Glycerol
12,0.49999999999999994,74.39129693149651,25.608703068503488,PLA,Glycerol
12,0.15000000000000002,99.7113750225253,0.2886249774746972,PHB,Glycerol
12,0.49999999999999994,41.34445134674811,58.65554865325189,PHBV,Glycerol
12,0.39999999999999997,32.125736580275095,67.87426341972491,PHAa,Glycerol
12,0.49999999999999994,35.17360246733105,64.82639753266895,PGA,Glycerol
12,0.49999999999999994,95.8123304514019,4.187669548598095,PCL,Glycerol
12,0.49999999999999994,67.39955163618608,32.600448363813925,PBS,Glycerol
12,0.49999999999999994,49.16776553816028,50.83223446183972,PBAT,Glycerol
12,0.25,65.33439849879501,34.66560150120499,PBSA,Glycerol
13,0.5499999999999999,100.62254547314217,0.6225454731421678,PLA,Glycerol
13,0.15000000000000002,62.637702511196665,37.362297488803335,PHB,Glycerol
13,0.5499999999999999,59.76876554968724,40.23123445031276,PHBV,Glycerol
13,0.44999999999999996,46.71378900877225,53.28621099122775,PHAa,Glycerol
13,0.5499999999999999,103.85949592239992,3.8594959223999155,PGA,Glycerol
