test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,2,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5, PHB, BIOCYCLE® 1000, 0.5",True,3.2907507,,250.0
2,2,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.524900832022988, PHB, BIOCYCLE® 1000, 0.475099167977012",True,3.2907507,,250.0
3,2,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5346092119225898, PHB, BIOCYCLE® 1000, 0.4653907880774102",True,3.2907507,,250.0
4,2,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5076188602479595, PHB, BIOCYCLE® 1000, 0.4923811397520404",True,3.2907507,,250.0
5,2,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5430111215532653, PHB, BIOCYCLE® 1000, 0.45698887844673464",True,2.9826057,,250.0
6,2,random_sample_5,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.4322803838716642, PHB, BIOCYCLE® 1000, 0.5677196161283358",True,2.8864675,,250.0
7,2,random_sample_6,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.32969956279452506, PHB, BIOCYCLE® 1000, 0.6703004372054749",True,2.8095338,,250.0
8,2,random_sample_7,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5377103358617255, PHB, BIOCYCLE® 1000, 0.4622896641382746",True,3.2907507,,250.0
9,2,random_sample_8,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.7748454010191176, PHB, BIOCYCLE® 1000, 0.2251545989808824",True,5.5515585,,250.0
10,2,random_sample_9,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.40816113019504097, PHB, BIOCYCLE® 1000, 0.591838869804959",True,2.688779,,250.0
11,2,random_sample_10,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5061530529624181, PHB, BIOCYCLE® 1000, 0.4938469470375819",True,3.2907507,,250.0
12,2,random_sample_11,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.2390646032019252, PHB, BIOCYCLE® 1000, 0.7609353967980748",True,2.487715,,250.0
13,2,random_sample_12,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5187473709615628, PHB, BIOCYCLE® 1000, 0.48125262903843724",True,3.2907507,,250.0
14,2,random_sample_13,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.4603656284870939, PHB, BIOCYCLE® 1000, 0.5396343715129062",True,2.8864675,,250.0
15,2,random_sample_14,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.036347649260484956, PHB, BIOCYCLE® 1000, 0.963652350739515",True,1.8805897,,250.0
16,2,random_sample_15,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.2830727471683515, PHB, BIOCYCLE® 1000, 0.7169272528316485",True,2.427839,,250.0
