test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,2.7238388,,50.0
2,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.45742716016663426, PHB, BIOCYCLE® 1000, 0.2346930318264559, PHA, PHACT A1000P, 0.3078798080069097",True,2.9979901,,50.0
3,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.5721728102753831, PHB, BIOCYCLE® 1000, 0.024227435431269956, PHA, PHACT A1000P, 0.4035997542933469",True,3.0654159,,50.0
4,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2777363378512229, PHB, BIOCYCLE® 1000, 0.09539543692496276, PHA, PHACT A1000P, 0.6268682252238145",True,2.682795,,50.0
5,3,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.4165336944855682, PHB, BIOCYCLE® 1000, 0.16042226941875862, PHA, PHACT A1000P, 0.42304403609567326",True,2.753508,,50.0
6,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,2.3803186,,50.0
7,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2721701067971385, PHB, BIOCYCLE® 1000, 0.1680966382459457, PHA, PHACT S1000P, 0.5597332549569158",True,2.3910203,,50.0
8,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.10426869489456522, PHB, BIOCYCLE® 1000, 0.364765664534369, PHA, PHACT S1000P, 0.5309656405710658",True,1.9742049,,50.0
9,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.38639880804752713, PHB, BIOCYCLE® 1000, 0.3240362716424703, PHA, PHACT S1000P, 0.2895649203100026",True,2.254866,,50.0
10,3,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.377904790214887, PHB, BIOCYCLE® 1000, 0.5065458387883569, PHA, PHACT S1000P, 0.11554937099675602",True,2.7775202,,50.0
11,3,equal,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, ENMAT Y3000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,2.7238388,,50.0
12,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2287984879707024, PHB, ENMAT Y3000, 0.5273046486591192, PHA, PHACT A1000P, 0.24389686337017846",True,2.4674566,,50.0
13,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.5584218207466404, PHB, ENMAT Y3000, 0.02842886709471261, PHA, PHACT A1000P, 0.41314931215864714",True,3.0654159,,50.0
14,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.23085868586496558, PHB, ENMAT Y3000, 0.31009843928789294, PHA, PHACT A1000P, 0.45904287484714146",True,2.6128461,,50.0
