test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,2,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5, PHB, BIOCYCLE® 1000, 0.5",True,8.409955889026012,,50.0
2,2,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5148908377710341, PHB, BIOCYCLE® 1000, 0.48510916222896594",True,8.291568139256887,,50.0
3,2,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.9209752570816784, PHB, BIOCYCLE® 1000, 0.07902474291832161",True,11.164374118827384,,50.0
4,2,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.10954994951962921, PHB, BIOCYCLE® 1000, 0.8904500504803708",True,5.460701582924479,,50.0
5,2,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.08656213638773415, PHB, BIOCYCLE® 1000, 0.9134378636122659",True,5.299971484029917,,50.0
6,2,random_sample_5,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.4556752587086204, PHB, BIOCYCLE® 1000, 0.5443247412913795",True,6.975223232755887,,50.0
7,2,random_sample_6,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.9296270273800538, PHB, BIOCYCLE® 1000, 0.07037297261994638",True,9.396498725921097,,50.0
8,2,random_sample_7,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.28318163662312, PHB, BIOCYCLE® 1000, 0.7168183633768799",True,6.024075131565987,,50.0
9,2,random_sample_8,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.05217819363606117, PHB, BIOCYCLE® 1000, 0.9478218063639389",True,6.277393278078921,,50.0
10,2,random_sample_9,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.9696518252443341, PHB, BIOCYCLE® 1000, 0.030348174755665917",True,7.761289012741742,,50.0
