test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,29.06734749344973,,250.0
2,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.48249736050095077, PHB, BIOCYCLE® 1000, 0.45149221730973105, PHA, PHACT A1000P, 0.06601042218931823",True,10.475371718490283,,250.0
3,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3010478631515014, PHB, BIOCYCLE® 1000, 0.6783236477442834, PHA, PHACT A1000P, 0.02062848910421512",True,9.568799517449824,,250.0
4,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3130690836626698, PHB, BIOCYCLE® 1000, 0.14959862377884825, PHA, PHACT A1000P, 0.5373322925584819",True,31.14617984038815,,250.0
5,3,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.21830214319209015, PHB, BIOCYCLE® 1000, 0.381374279764288, PHA, PHACT A1000P, 0.4003235770436219",True,56.814282466377165,,250.0
6,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,13.09398916301953,,250.0
7,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.5822297036357514, PHB, BIOCYCLE® 1000, 0.14278115517022863, PHA, PHACT S1000P, 0.27498914119401996",True,11.867365208612515,,250.0
8,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3129914389713242, PHB, BIOCYCLE® 1000, 0.06840975638953703, PHA, PHACT S1000P, 0.6185988046391387",True,23.875215195931737,,250.0
9,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.41503192466662847, PHB, BIOCYCLE® 1000, 0.41712891844958705, PHA, PHACT S1000P, 0.16783915688378442",True,11.367359707776645,,250.0
10,3,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3973191833590689, PHB, BIOCYCLE® 1000, 0.32454535053338407, PHA, PHACT S1000P, 0.27813546610754697",True,12.159493420906987,,250.0
