test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,2,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5, PHB, BIOCYCLE® 1000, 0.5",True,17.095266897601736,,10.0
2,2,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.41624120468130643, PHB, BIOCYCLE® 1000, 0.5837587953186936",True,18.514909595183724,,10.0
3,2,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.9009306747052344, PHB, BIOCYCLE® 1000, 0.09906932529476566",True,42.2243030511331,,10.0
4,2,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6936370331178151, PHB, BIOCYCLE® 1000, 0.30636296688218495",True,33.122272540112334,,10.0
5,2,random_sample_4,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6379492864113551, PHB, BIOCYCLE® 1000, 0.36205071358864493",True,32.43035487524919,,10.0
6,2,random_sample_5,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.49980658314375404, PHB, BIOCYCLE® 1000, 0.5001934168562459",True,16.57687913418187,,10.0
7,2,random_sample_6,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.22082353154096376, PHB, BIOCYCLE® 1000, 0.7791764684590362",True,10.017071331741867,,10.0
8,2,random_sample_7,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.3129862052027593, PHB, BIOCYCLE® 1000, 0.6870137947972407",True,12.825605913259974,,10.0
9,2,random_sample_8,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6590578568839852, PHB, BIOCYCLE® 1000, 0.34094214311601473",True,33.19487010055099,,10.0
10,2,random_sample_9,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.36585744729334974, PHB, BIOCYCLE® 1000, 0.6341425527066502",True,14.604875193722664,,10.0
11,2,random_sample_10,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.16283405160936376, PHB, BIOCYCLE® 1000, 0.8371659483906363",True,11.612994748087294,,10.0
12,2,random_sample_11,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.36151840319791195, PHB, BIOCYCLE® 1000, 0.638481596802088",True,14.604875193722672,,10.0
13,2,random_sample_12,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6195540512928968, PHB, BIOCYCLE® 1000, 0.38044594870710324",True,29.690204476581915,,10.0
14,2,random_sample_13,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.3727112908703392, PHB, BIOCYCLE® 1000, 0.6272887091296608",True,14.524997919644049,,10.0
15,2,random_sample_14,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6667354430129592, PHB, BIOCYCLE® 1000, 0.3332645569870409",True,33.282354514887714,,10.0
16,2,random_sample_15,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.2449689845558736, PHB, BIOCYCLE® 1000, 0.7550310154441264",True,9.622771159421703,,10.0
17,2,random_sample_16,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.6066856599599468, PHB, BIOCYCLE® 1000, 0.3933143400400531",True,29.62629233673591,,10.0
18,2,random_sample_17,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5354769954561569, PHB, BIOCYCLE® 1000, 0.464523004543843",True,21.57835411694465,,10.0
19,2,random_sample_18,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.7034091407224894, PHB, BIOCYCLE® 1000, 0.2965908592775106",True,32.97967558267418,,10.0
20,2,random_sample_19,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.4778671495177518, PHB, BIOCYCLE® 1000, 0.5221328504822482",True,17.628109795088136,,10.0
21,2,random_sample_20,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.34771218812502025, PHB, BIOCYCLE® 1000, 0.6522878118749796",True,14.328235346176266,,10.0
22,2,equal,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5, PHB, ENMAT Y3000, 0.5",True,17.06921994092731,,10.0
23,2,random_sample_1,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.14901533637033743, PHB, ENMAT Y3000, 0.8509846636296626",True,11.76911279057644,,10.0
24,2,random_sample_2,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5280421682745801, PHB, ENMAT Y3000, 0.47195783172541983",True,21.382959332885484,,10.0
25,2,random_sample_3,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.3594705785268329, PHB, ENMAT Y3000, 0.6405294214731672",True,14.53772960997894,,10.0
26,2,random_sample_4,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.5366069950158538, PHB, ENMAT Y3000, 0.46339300498414615",True,22.11724873144149,,10.0
27,2,random_sample_5,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.4740698293918837, PHB, ENMAT Y3000, 0.5259301706081163",True,17.08559995600483,,10.0
28,2,random_sample_6,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Ingeo 4032D, 0.183785171080202, PHB, ENMAT Y3000, 0.8162148289197979",True,10.777588352873893,,10.0
