test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
1,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,41.015549655441475,,50.0
2,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3994027812067932, PHB, BIOCYCLE® 1000, 0.5196617125240518, PHA, PHACT A1000P, 0.08093550626915495",True,44.188002109455866,,50.0
3,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.1454349255922529, PHB, BIOCYCLE® 1000, 0.5629055359315309, PHA, PHACT A1000P, 0.2916595384762163",True,40.339884540749985,,50.0
4,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.43081357075470894, PHB, BIOCYCLE® 1000, 0.5664235126312024, PHA, PHACT A1000P, 0.002762916614088652",True,40.48649487713299,,50.0
5,3,equal,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.591370218798374,,50.0
6,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.24315793875083658, PHB, BIOCYCLE® 1000, 0.24461669380355294, PHA, PHACT S1000P, 0.5122253674456105",True,41.07378323007029,,50.0
7,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.8442284760966906, PHB, BIOCYCLE® 1000, 0.06716476923417022, PHA, PHACT S1000P, 0.08860675466913912",True,50.20362899961462,,50.0
8,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2887918551136492, PHB, BIOCYCLE® 1000, 0.49302021319941924, PHA, PHACT S1000P, 0.2181879316869316",True,43.88284583813499,,50.0
9,3,equal,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, ENMAT Y3000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,41.0476116354953,,50.0
10,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.30674564632110113, PHB, ENMAT Y3000, 0.3954668743673051, PHA, PHACT A1000P, 0.29778747931159383",True,41.08752536050963,,50.0
