test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,ts,error,thickness
1,2,equal,"['PLA 4032D', 'PHB Biocycle 1000']","['PLA', 'PHB']","PLA, 4032D, 0.5, PHB, Biocycle 1000, 0.5",True,62.04,,100
2,2,random_sample_1,"['PLA 4032D', 'PHB Biocycle 1000']","['PLA', 'PHB']","PLA, 4032D, 0.7123020884485477, PHB, Biocycle 1000, 0.28769791155145225",True,59.01,,100
3,2,random_sample_2,"['PLA 4032D', 'PHB Biocycle 1000']","['PLA', 'PHB']","PLA, 4032D, 0.2420425518593401, PHB, Biocycle 1000, 0.7579574481406599",True,42.23,,100
4,2,equal,"['PLA 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, 4032D, 0.5, PHA, PHACT A1000P, 0.5",True,61.57,,100
5,2,random_sample_1,"['PLA 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, 4032D, 0.11675651404599488, PHA, PHACT A1000P, 0.8832434859540051",True,52.15,,100
6,2,random_sample_2,"['PLA 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, 4032D, 0.7420502079377314, PHA, PHACT A1000P, 0.2579497920622687",True,62.01,,100
7,2,equal,"['PLA 4032D', 'PGA Kuredux PGA']","['PLA', 'PGA']","PLA, 4032D, 0.5, PGA, Kuredux PGA, 0.5",True,82.89,,100
8,2,random_sample_1,"['PLA 4032D', 'PGA Kuredux PGA']","['PLA', 'PGA']","PLA, 4032D, 0.19302486345778902, PGA, Kuredux PGA, 0.806975136542211",True,114.23,,100
9,2,random_sample_2,"['PLA 4032D', 'PGA Kuredux PGA']","['PLA', 'PGA']","PLA, 4032D, 0.4245536847203454, PGA, Kuredux PGA, 0.5754463152796547",True,92.83,,100
10,2,equal,"['PLA 4032D', 'PBAT ecoflex® F Blend C1200']","['PLA', 'PBAT']","PLA, 4032D, 0.5, PBAT, ecoflex® F Blend C1200, 0.5",True,49.26,,100
11,2,random_sample_1,"['PLA 4032D', 'PBAT ecoflex® F Blend C1200']","['PLA', 'PBAT']","PLA, 4032D, 0.5150119638158255, PBAT, ecoflex® F Blend C1200, 0.48498803618417446",True,49.25,,100
12,2,random_sample_2,"['PLA 4032D', 'PBAT ecoflex® F Blend C1200']","['PLA', 'PBAT']","PLA, 4032D, 0.5797347295201375, PBAT, ecoflex® F Blend C1200, 0.4202652704798625",True,45.91,,100
13,2,equal,"['PLA 4032D', 'PBS BioPBS FZ91']","['PLA', 'PBS']","PLA, 4032D, 0.5, PBS, BioPBS FZ91, 0.5",True,57.78,,100
14,2,random_sample_1,"['PLA 4032D', 'PBS BioPBS FZ91']","['PLA', 'PBS']","PLA, 4032D, 0.8978719280018064, PBS, BioPBS FZ91, 0.10212807199819357",True,65.9,,100
15,2,random_sample_2,"['PLA 4032D', 'PBS BioPBS FZ91']","['PLA', 'PBS']","PLA, 4032D, 0.46818783622215226, PBS, BioPBS FZ91, 0.5318121637778477",True,44.89,,100
16,2,equal,"['PLA 4032D', ""Bio-PE I'm green STN7006""]","['PLA', 'Bio-PE']","PLA, 4032D, 0.5, Bio-PE, I'm green STN7006, 0.5",True,43.36,,100
17,2,random_sample_1,"['PLA 4032D', ""Bio-PE I'm green STN7006""]","['PLA', 'Bio-PE']","PLA, 4032D, 0.4928397687147632, Bio-PE, I'm green STN7006, 0.5071602312852369",True,43.4,,100
18,2,random_sample_2,"['PLA 4032D', ""Bio-PE I'm green STN7006""]","['PLA', 'Bio-PE']","PLA, 4032D, 0.006275511374585813, Bio-PE, I'm green STN7006, 0.9937244886254142",True,21.76,,100
19,2,equal,"['PLA 4032D', 'PCL Capa 6500']","['PLA', 'PCL']","PLA, 4032D, 0.5, PCL, Capa 6500, 0.5",True,62.36,,100
20,2,random_sample_1,"['PLA 4032D', 'PCL Capa 6500']","['PLA', 'PCL']","PLA, 4032D, 0.8413337885504987, PCL, Capa 6500, 0.15866621144950133",True,62.88,,100
21,2,random_sample_2,"['PLA 4032D', 'PCL Capa 6500']","['PLA', 'PCL']","PLA, 4032D, 0.9592001889400928, PCL, Capa 6500, 0.04079981105990706",True,67.67,,100
22,2,equal,"['PHB Biocycle 1000', 'PHA PHACT A1000P']","['PHB', 'PHA']","PHB, Biocycle 1000, 0.5, PHA, PHACT A1000P, 0.5",True,47.46,,100
23,2,random_sample_1,"['PHB Biocycle 1000', 'PHA PHACT A1000P']","['PHB', 'PHA']","PHB, Biocycle 1000, 0.04468671443431734, PHA, PHACT A1000P, 0.9553132855656825",True,49.75,,100
24,2,random_sample_2,"['PHB Biocycle 1000', 'PHA PHACT A1000P']","['PHB', 'PHA']","PHB, Biocycle 1000, 0.7121722379085593, PHA, PHACT A1000P, 0.2878277620914406",True,45.89,,100
25,2,equal,"['PHB Biocycle 1000', 'PGA Kuredux PGA']","['PHB', 'PGA']","PHB, Biocycle 1000, 0.5, PGA, Kuredux PGA, 0.5",True,62.73,,100
26,2,random_sample_1,"['PHB Biocycle 1000', 'PGA Kuredux PGA']","['PHB', 'PGA']","PHB, Biocycle 1000, 0.03380868824846104, PGA, Kuredux PGA, 0.966191311751539",True,146.36,,100
27,2,random_sample_2,"['PHB Biocycle 1000', 'PGA Kuredux PGA']","['PHB', 'PGA']","PHB, Biocycle 1000, 0.763538074281941, PGA, Kuredux PGA, 0.23646192571805894",True,42.31,,100
28,2,equal,"['PHB Biocycle 1000', 'PBAT ecoflex® F Blend C1200']","['PHB', 'PBAT']","PHB, Biocycle 1000, 0.5, PBAT, ecoflex® F Blend C1200, 0.5",True,37.42,,100
29,2,random_sample_1,"['PHB Biocycle 1000', 'PBAT ecoflex® F Blend C1200']","['PHB', 'PBAT']","PHB, Biocycle 1000, 0.11063072563523686, PBAT, ecoflex® F Blend C1200, 0.8893692743647632",True,36.24,,100
30,2,random_sample_2,"['PHB Biocycle 1000', 'PBAT ecoflex® F Blend C1200']","['PHB', 'PBAT']","PHB, Biocycle 1000, 0.32650227984974783, PBAT, ecoflex® F Blend C1200, 0.6734977201502521",True,36.62,,100
31,2,equal,"['PHB Biocycle 1000', 'PBS BioPBS FZ91']","['PHB', 'PBS']","PHB, Biocycle 1000, 0.5, PBS, BioPBS FZ91, 0.5",True,36.03,,100
32,2,random_sample_1,"['PHB Biocycle 1000', 'PBS BioPBS FZ91']","['PHB', 'PBS']","PHB, Biocycle 1000, 0.3718942768397532, PBS, BioPBS FZ91, 0.6281057231602467",True,38.33,,100
33,2,random_sample_2,"['PHB Biocycle 1000', 'PBS BioPBS FZ91']","['PHB', 'PBS']","PHB, Biocycle 1000, 0.97450921269654, PBS, BioPBS FZ91, 0.02549078730345988",True,37.7,,100
34,2,equal,"['PHB Biocycle 1000', ""Bio-PE I'm green STN7006""]","['PHB', 'Bio-PE']","PHB, Biocycle 1000, 0.5, Bio-PE, I'm green STN7006, 0.5",True,35.3,,100
35,2,random_sample_1,"['PHB Biocycle 1000', ""Bio-PE I'm green STN7006""]","['PHB', 'Bio-PE']","PHB, Biocycle 1000, 0.04878775266174715, Bio-PE, I'm green STN7006, 0.9512122473382529",True,24.75,,100
36,2,random_sample_2,"['PHB Biocycle 1000', ""Bio-PE I'm green STN7006""]","['PHB', 'Bio-PE']","PHB, Biocycle 1000, 0.06625290422166116, Bio-PE, I'm green STN7006, 0.9337470957783388",True,26.13,,100
37,2,equal,"['PHB Biocycle 1000', 'PCL Capa 6500']","['PHB', 'PCL']","PHB, Biocycle 1000, 0.5, PCL, Capa 6500, 0.5",True,37.16,,100
38,2,random_sample_1,"['PHB Biocycle 1000', 'PCL Capa 6500']","['PHB', 'PCL']","PHB, Biocycle 1000, 0.40667945310527304, PCL, Capa 6500, 0.593320546894727",True,37.69,,100
39,2,random_sample_2,"['PHB Biocycle 1000', 'PCL Capa 6500']","['PHB', 'PCL']","PHB, Biocycle 1000, 0.38317905599017404, PCL, Capa 6500, 0.6168209440098259",True,37.03,,100
40,2,equal,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.5, PGA, Kuredux PGA, 0.5",True,62.89,,100
41,2,random_sample_1,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.024774367408571668, PGA, Kuredux PGA, 0.9752256325914284",True,153.35,,100
42,2,random_sample_2,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.2575121591246784, PGA, Kuredux PGA, 0.7424878408753217",True,80.76,,100
43,2,equal,"['PHA PHACT A1000P', 'PBAT ecoflex® F Blend C1200']","['PHA', 'PBAT']","PHA, PHACT A1000P, 0.5, PBAT, ecoflex® F Blend C1200, 0.5",True,39.65,,100
44,2,random_sample_1,"['PHA PHACT A1000P', 'PBAT ecoflex® F Blend C1200']","['PHA', 'PBAT']","PHA, PHACT A1000P, 0.9937191001860382, PBAT, ecoflex® F Blend C1200, 0.006280899813961981",True,44.72,,100
