blend_id,blend_materials,blend_grades,blend_ratios,blend_input,thickness,ts,error,temperature,rh
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",20,36.08,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",40,34.29,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",60,34.34,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",80,34.72,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",100,36.03,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",120,39.09,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",140,43.1,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",160,43.4,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",180,43.56,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",200,43.52,,38,90
