Polymer Category,commercialName,Certifications,TUV_Home_Link,Thickness 1,TUV Home,TUV_Industrial_Link,BPI_Link
PLA,Ingeo 4032D ,BPI,-,,Not certified,-,https://products.bpiworld.org/?type=product&keyword=Natureworks
PLA,Ingeo 4043D ,BPI,-,,Not certified,-,https://products.bpiworld.org/?type=product&keyword=Natureworks
PLA,Luminy® L175,"TÜV Industrial, BPI",-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/totalenergies-corbion-bv
PHB,BIOCYCLE® 1000,N/A,-,,Not certified,-,-
PHB,ENMAT Y3000,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/ningbo-tianan-biologic-material-co-ltd
PHB,ENMAT™ Y1000P,"TÜV Home, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,600um,Certified,-,https://products.bpiworld.org/companies/ningbo-tianan-biologic-material-co-ltd
PHB,Green Planet™ PHBH,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,320um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/kaneka-corporation
PHA,PHACT A1000P,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,2.48mm,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/cj-biomaterials-inc
PHA,PHACT S1000P,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,330um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/cj-biomaterials-inc
PGA,Kuredux® PGA,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PGA,Polylactide,N/A,-,,Not certified,-,-
PBAT,ecoflex® F Blend C1200,"TÜV Industrial, BPI",-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT,Ecoworld,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,33um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/jinhui-zhaolong-high-technology-co-ltd
PBAT,Ecovance rf-PBAT,,-,,Not certified,-,-
PBAT,Tunhe TH801T,"TÜV Home, TÜV Industrial",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,33um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,
PBS,BioPBS™ FZ91,"TÜV Industrial, BPI",-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/ptt-mcc-biochem-company-limited
PBS,PBS TH803S,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,45um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/?type=product&keyword=TH803
PBS,BioPBS™ FD92,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,502um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/ptt-mcc-biochem-company-limited
Bio-PE,I'm green™ STN7006,N/A,-,,Not certified,-,-
PCL,Capa™ 6500,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,490um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/ingevity-corporation
PCL,Capa™ 6800,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,490um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/ingevity-corporation
LDPE,LDPE LD 150,N/A,-,,Not certified,-,-
PP,Total PPH 3270,N/A,-,,Not certified,-,-
PET,Mylar 48-F-OC Clear PET,N/A,-,,Not certified,-,-
TPE,Barrialon CX C6,N/A,-,,Not certified,-,-
PA,Aegis PCR-H135ZP Nylon 6,N/A,-,,Not certified,-,-
EVOH,EVAL F171B,N/A,-,,Not certified,-,-
PBAT/PLA,Ecovio 40 FG2331,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PBAT/PLA,EcoVio F2223,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F2224,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F2330,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,30um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F2331,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,30um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F2332,"TÜV Industrial, BPI",-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F2341,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,24um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT/PLA,EcoVio F23B1,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,24um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
Starch/PBAT,Terratek FX1515,N/A,-,,Not certified,-,-
Starch/PBAT,Terratek FX1515 - Blown Film,N/A,-,,Not certified,-,-
Starch/PBAT,Terratek FX2217,N/A,-,,Not certified,-,-
Starch/PBAT,Bio-Flex F1804,TÜV Home,https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,27um,Certified,-,-
PLA Blend,Bio-Flex FX1137,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PLA Blend,Bio-Flex F1140,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PLA Blend,Bio-Flex FX1130,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PLA Blend,Bio-Flex FX1135,N/A,-,,Not certified,-,-
PLA Blend,Bio-Flex F1801,N/A,-,,Not certified,-,-
PLA Blend,Bio-Flex F2110,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PLA Blend,Bio-Flex F2100,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
PLA Blend,Bio-Flex FX1821,TÜV Home,https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,32um,Certified,-,-
Likely PLA,BF2001,N/A,-,,Not certified,-,-
Likely PBAT,BF700Z-X,"TÜV Industrial, BPI",-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/northern-technologies-international-corporation-ntic
Likely PBAT,BF7002,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/northern-technologies-international-corporation-ntic
Starch Based,Bioplast GF 106,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,20um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/biome-bioplastics-ltd
Starch Based,Bioplast 500 A,"TÜV Home, TÜV Industrial",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,37um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
Starch Based,M Vera B5019,TÜV Industrial,-,,Not certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,-
Starch/PLA,M Vera B5033,TÜV Home,https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,31um,Certified,-,-
PBAT Blend,EcoWill,"TÜV Home, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,31um,Certified,-,https://products.bpiworld.org/companies/jinhui-zhaolong-high-technology-co-ltd
PHA Based,PHACT CA8570P ,N/A,-,,Not certified,-,-
PHA Based,PHACT CA1240PF,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/cj-biomaterials-inc
PHA Based,PHACT CA1270P,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/cj-biomaterials-inc
PBAT Blend,EcoVio PS1606,"TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,,Not certified,,https://products.bpiworld.org/companies/basf-corporation
PBAT Blend,EcoVio 70 PS14H6,"TÜV Home, TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,22um,Certified,https://drive.google.com/file/d/1vriMROBByvP-EjutKT5QEsCLi5lGRIJe/view?usp=drive_link,https://products.bpiworld.org/companies/basf-corporation
PBAT Blend,EcoVio T2308,"TÜV Industrial, BPI",https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,,Not certified,-,https://products.bpiworld.org/companies/basf-corporation
PLA,Nativia NTSS,TÜV Industrial,https://drive.google.com/file/d/1zLcOm1OWje-_O5bWi-ZXYKNlMN1Ua0_G/view?usp=sharing,,Not certified,-,-
TPS Blend,BioBlend,N/A,-,,Not certified,-,-
PBS,BioPBS™ FZ78TM,N/A,-,,Not certified,-,-
PBS,BioPBS™ FZ79AC,BPI,-,,Not certified,-,https://products.bpiworld.org/companies/ptt-mcc-biochem-company-limited
PBS,BioPBS™ FZ83AC,N/A,-,,Not certified,-,-
