Materials,Polymer Grade 1,Polymer Grade 2,Polymer Grade 3,Polymer Grade 4,Polymer Grade 5,SMILES1,SMILES2,SMILES3,SMILES4,SMILES5,vol_fraction1,vol_fraction2,vol_fraction3,vol_fraction4,vol_fraction5,Thickness (um),Crystallinity,property1,property2,type,miscibility,label_type
DV-0001-001,Ingeo 4043D,Ecoworld,Unknown,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,,,,0.2,0.8,,,,219.2,,28.6325,21.028,,,
DV-0001-002,Ingeo 4043D,Ecoworld,Unknown,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,,,,0.2,0.8,,,,23.4,,22.958,14.4175,,,
DV-0002,Ecoworld,ENMAT™ Y1000P,Unknown,Unknown,Unknown,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,*OC(CC)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)*,,,,0.5,0.5,,,,307.8,,8.01,6.234,,,
DV-0004,ENMAT™ Y1000P,PHACT S1000P,Unknown,Unknown,Unknown,*OC(CC)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)*,*OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)*,,,,0.5,0.5,,,,247.66,,25.634,20.77,,,
DV-0007,BioPBS™ FZ91,PHACT S1000P,Unknown,Unknown,Unknown,*CCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,*OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)*,,,,0.5,0.5,,,,237.2,,26.5325,27.336,,,
DV-0009,BioPBS™ FZ91,PHACT A1000P,Unknown,Unknown,Unknown,*CCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,*OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)*,,,,0.5,0.5,,,,238,,32.6375,12.948,,,
DV-0010,BioPBS™ FZ91,BioPBS™ FD92,Unknown,Unknown,Unknown,*CCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,CCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,,,,0.5,0.5,,,,227.6,,21.46,17.31,,,
DV-0011,ENMAT™ Y1000P,BioPBS™ FD92,Unknown,Unknown,Unknown,*OC(CC)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)*,CCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,,,,0.3,0.7,,,,263.6,,22.52,16.23,,,
DV-0015,Ingeo 4043D,I'm green™ STN7006,Unknown,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,*CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC*,,,,0.2,0.8,,,,229,,19.8575,8.138,,,
DV-0016,Ecoworld,I'm green™ STN7006,Unknown,Unknown,Unknown,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,*CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC*,,,,0.3,0.7,,,,260.4,,21.22,7.154,,,
DV-0018,Ecoworld,I'm green™ STN7006,Unknown,Unknown,Unknown,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,*CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC*,,,,0.8,0.2,,,,227.4,,21.16,14.047,,,
CP-0001,Ingeo 4043D,BioPBS™ FD92,PHACT A1000P,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,CCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,*OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)*,,,0.14,0.46,0.4,,,12,,18.284,5.556,,,
CP-0002,Ingeo 4043D,BioPBS™ FD92,PHACT S1000P,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,CCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,*OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)*,,,0.23,0.33,0.45,,,9.2,,26.58666,16.984,,,
CP-0003,Ingeo 4043D,Ecoworld,Unknown,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,,,,0.28,0.72,,,,8,,36.3725,17.22,,,
CP-0004,PHACT A1000P,BioPBS™ FZ91,Unknown,Unknown,Unknown,*OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)*,*CCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)O*,,,,0.57,0.43,,,,11.8,,16.06,4.2825,,,
CP-0005,Ingeo 4043D,Ecoworld,PHACT S1000P,Unknown,Unknown,*OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)OC(=O)C(C)*,*OC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(cc1)C(=O)O*,*OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OCCCC(=O)*,,,0.27,0.1,0.63,,,25.6,,15.6925,7.792,,,
