feature,importance
num__ester,0.09096633
num__tree_depth,0.05119193
num__secondary_carbon,0.041553717
num__branching_factor,0.04138562
num__long_chain,0.038271215
num__tertiary_carbon,0.035874404
num__alcohol,0.03504308
num__Thickness (um),0.031505946
num__ketone,0.0301751
num__vinyl,0.02973423
num__ether,0.02475662
cat__Polymer Grade 2_PHACT A1000P,0.024249662
cat__Polymer Grade 1_PHACT A1000P,0.023516508
num__SP3_O,0.021659994
cat__Polymer Grade 4_PHACT A1000P,0.021040147
num__primary_carbon,0.02044672
num__phenyls,0.018292604
num__SP2_C,0.017695662
cat__Polymer Grade 3_PHACT A1000P,0.016994344
num__propyl_chain,0.016277311
num__secondary_amine,0.012397657
cat__Polymer Grade 3_PBS TH803S,0.011796654
num__SP3_C,0.010760254
cat__Polymer Grade 2_PHACT S1000P,0.010645741
num__SP3_N,0.009900561
cat__Polymer Grade 5_PHACT A1000P,0.009270926
cat__Polymer Grade 2_BioPBS™ FZ91,0.00890581
cat__Polymer Grade 4_Unknown,0.008882201
cat__Polymer Grade 2_Ingeo 4043D,0.008540958
cat__Polymer Grade 1_PHACT S1000P,0.008474547
cat__Polymer Grade 3_PHACT S1000P,0.0080549745
cat__Polymer Grade 3_BioPBS™ FZ91,0.007912469
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.007349068
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.007343818
cat__Polymer Grade 1_PBS TH803S,0.007222777
cat__Polymer Grade 1_BioPBS™ FZ91,0.0072004925
cat__Polymer Grade 2_Ingeo 4032D,0.006631381
cat__Polymer Grade 4_Ingeo 4043D,0.006471851
num__SP2_O,0.006159427
cat__Polymer Grade 5_EVAL F171B,0.0059962105
cat__Polymer Grade 2_PBS TH803S,0.005776716
cat__Polymer Grade 4_EVAL F171B,0.0056772213
cat__Polymer Grade 4_BioPBS™ FZ91,0.005341163
cat__Polymer Grade 1_LDPE LD 150,0.005328044
cat__Polymer Grade 3_Luminy® L175,0.0051018638
cat__Polymer Grade 4_PBS TH803S,0.005084229
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.005059765
num__vol_fraction4,0.004994073
num__vol_fraction5,0.004707202
cat__Polymer Grade 2_Green Planet™ PHBH,0.0046385205
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0043555317
cat__Polymer Grade 3_Ingeo 4032D,0.0042737895
cat__Polymer Grade 1_Capa™ 6800,0.004142446
cat__Polymer Grade 3_LDPE LD 150,0.003927057
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.003765566
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.003725364
num__vol_fraction3,0.003550023
cat__Polymer Grade 1_Polylactide,0.003518435
cat__Polymer Grade 2_Unknown,0.003489898
cat__Polymer Grade 1_Luminy® L175,0.00340876
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0032758792
cat__Polymer Grade 3_Unknown,0.0032499041
cat__Polymer Grade 2_Kuredux® PGA,0.003090481
cat__Polymer Grade 4_PHACT S1000P,0.0030145813
num__vol_fraction2,0.0030084113
cat__Polymer Grade 3_Ingeo 4043D,0.0029622861
cat__Polymer Grade 5_BioPBS™ FZ91,0.0029081313
cat__Polymer Grade 5_PBS TH803S,0.0028738477
cat__Polymer Grade 5_Total PPH 3270,0.002731589
