feature,importance
num__ester,0.069680385
num__Thickness (um),0.05479721
num__tree_depth,0.04519863
num__tertiary_carbon,0.042352203
num__vinyl,0.04123716
num__alcohol,0.039604608
num__branching_factor,0.039136678
cat__Polymer Grade 1_PHACT A1000P,0.030379912
num__ketone,0.028180888
num__secondary_carbon,0.027090209
num__ether,0.02510288
cat__Polymer Grade 2_PHACT A1000P,0.024852762
cat__Polymer Grade 3_PHACT A1000P,0.024249071
num__long_chain,0.0194077
num__phenyls,0.0191649
num__propyl_chain,0.018288624
num__secondary_amine,0.01768044
cat__Polymer Grade 4_PHACT A1000P,0.017435748
num__primary_carbon,0.017351275
num__SP3_O,0.014345826
num__SP3_N,0.013064006
num__SP3_C,0.012848379
cat__Polymer Grade 1_PHACT S1000P,0.012281357
cat__Polymer Grade 2_BioPBS™ FZ91,0.01216605
num__SP2_C,0.011299651
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.010828499
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.009023875
cat__Polymer Grade 3_PBS TH803S,0.008196409
cat__Polymer Grade 3_Luminy® L175,0.007805107
cat__Polymer Grade 2_PBS TH803S,0.00762051
cat__Polymer Grade 5_PHACT A1000P,0.0072826985
cat__Polymer Grade 4_PBS TH803S,0.0072559514
cat__Polymer Grade 4_Ingeo 4032D,0.0071978667
cat__Polymer Grade 2_Ingeo 4043D,0.007089629
cat__Polymer Grade 3_LDPE LD 150,0.0070760553
cat__Polymer Grade 2_PHACT S1000P,0.0067985086
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.006795396
cat__Polymer Grade 3_PHACT S1000P,0.00676217
num__SP2_O,0.006491868
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0062939534
cat__Polymer Grade 3_I'm green™ STN7006,0.0058970726
cat__Polymer Grade 2_Capa™ 6500,0.00551671
cat__Polymer Grade 2_LDPE LD 150,0.0055047274
cat__Polymer Grade 4_BioPBS™ FZ91,0.0052412613
cat__Polymer Grade 4_EVAL F171B,0.0051843245
cat__Polymer Grade 2_I'm green™ STN7006,0.0051446618
cat__Polymer Grade 3_BioPBS™ FZ91,0.005107531
cat__Polymer Grade 1_Luminy® L175,0.0049683987
cat__Polymer Grade 3_Ingeo 4032D,0.0046041366
cat__Polymer Grade 4_ENMAT Y3000,0.00428597
cat__Polymer Grade 1_BioPBS™ FZ91,0.00425749
cat__Polymer Grade 2_Unknown,0.004119962
cat__Polymer Grade 2_Ingeo 4032D,0.0040711425
cat__Polymer Grade 3_Unknown,0.0040036226
cat__Polymer Grade 1_PBS TH803S,0.0038631372
cat__Polymer Grade 2_Kuredux® PGA,0.003821329
num__vol_fraction1,0.003809483
num__vol_fraction3,0.0037912438
cat__Polymer Grade 1_Polylactide,0.0037833424
cat__Polymer Grade 4_Unknown,0.0037237036
cat__Polymer Grade 1_LDPE LD 150,0.0036818804
cat__Polymer Grade 3_Ingeo 4043D,0.0036228958
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0036156168
cat__Polymer Grade 4_LDPE LD 150,0.0035894527
cat__Polymer Grade 4_Ingeo 4043D,0.0034528843
cat__Polymer Grade 2_Total PPH 3270,0.003331488
cat__Polymer Grade 3_Tunhe TH801T,0.0032351036
num__vol_fraction5,0.0031156035
cat__Polymer Grade 3_Polylactide,0.003073563
cat__Polymer Grade 3_ENMAT Y3000,0.003065355
num__vol_fraction4,0.003045805
cat__Polymer Grade 4_PHACT S1000P,0.0029182688
cat__Polymer Grade 4_I'm green™ STN7006,0.0028089033
cat__Polymer Grade 5_BioPBS™ FZ91,0.002781418
cat__Polymer Grade 5_PBS TH803S,0.0026715018
cat__Polymer Grade 4_Tunhe TH801T,0.0026574808
cat__Polymer Grade 1_Ingeo 4043D,0.0025135009
num__vol_fraction2,0.0024710929
cat__Polymer Grade 2_Luminy® L175,0.0024521162
cat__Polymer Grade 5_Ingeo 4032D,0.002429844
cat__Polymer Grade 3_Capa™ 6800,0.0023034594
cat__Polymer Grade 5_Unknown,0.0023028273
cat__Polymer Grade 3_Ecoworld,0.002283184
cat__Polymer Grade 2_Tunhe TH801T,0.0021373508
cat__Polymer Grade 1_ENMAT Y3000,0.002063199
cat__Polymer Grade 1_I'm green™ STN7006,0.002000433
cat__Polymer Grade 4_Luminy® L175,0.001965814
cat__Polymer Grade 4_Polylactide,0.0019170007
cat__Polymer Grade 2_ENMAT Y3000,0.0018014016
cat__Polymer Grade 5_I'm green™ STN7006,0.0016278349
cat__Polymer Grade 1_Capa™ 6800,0.0016064973
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0015732679
cat__Polymer Grade 5_Green Planet™ PHBH,0.0014917259
cat__Polymer Grade 2_EVAL F171B,0.0014553488
cat__Polymer Grade 5_Ingeo 4043D,0.0013734555
cat__Polymer Grade 1_Green Planet™ PHBH,0.0013400313
cat__Polymer Grade 5_Capa™ 6800,0.001332964
cat__Polymer Grade 3_Kuredux® PGA,0.0013050234
cat__Polymer Grade 5_Tunhe TH801T,0.0012564372
cat__Polymer Grade 4_Capa™ 6500,0.0011871165
cat__Polymer Grade 1_Ingeo 4032D,0.0011826908
cat__Polymer Grade 5_Luminy® L175,0.0011776568
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0011681515
cat__Polymer Grade 1_Kuredux® PGA,0.0011667666
cat__Polymer Grade 2_Capa™ 6800,0.001087152
cat__Polymer Grade 5_Polylactide,0.0010696279
cat__Polymer Grade 3_Total PPH 3270,0.0010631327
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0010498207
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.0009960938
cat__Polymer Grade 1_Ecovance rf-PBAT,0.00096592325
cat__Polymer Grade 5_ENMAT Y3000,0.00085465197
cat__Polymer Grade 3_Green Planet™ PHBH,0.00083887076
cat__Polymer Grade 1_Total PPH 3270,0.0008256984
cat__Polymer Grade 5_Kuredux® PGA,0.0008132495
cat__Polymer Grade 4_Green Planet™ PHBH,0.00077222905
cat__Polymer Grade 1_Capa™ 6500,0.00070564006
cat__Polymer Grade 3_EVAL F171B,0.00069489476
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.00068993174
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0006450013
cat__Polymer Grade 2_Polylactide,0.00063547044
cat__Polymer Grade 1_Ecoworld,0.0005920035
cat__Polymer Grade 2_Ecoworld,0.00056691305
cat__Polymer Grade 1_EVAL F171B,0.0005421829
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.00048848405
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.00045734868
cat__Polymer Grade 1_Biocycle 1000,0.00041520305
cat__Polymer Grade 4_Kuredux® PGA,0.00041451232
cat__Polymer Grade 2_Green Planet™ PHBH,0.00039031435
cat__Polymer Grade 2_Ecovance rf-PBAT,0.00038555163
cat__Polymer Grade 4_Total PPH 3270,0.0003736018
cat__Polymer Grade 4_Ecoworld,0.0002984239
cat__Polymer Grade 5_Ecoworld,0.00029047977
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.00026730768
cat__Polymer Grade 1_Tunhe TH801T,0.0002227702
cat__Polymer Grade 3_Capa™ 6500,0.00018393005
cat__Polymer Grade 5_Total PPH 3270,0.00013980603
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.00013601013
cat__Polymer Grade 3_ecoflex® F Blend C1200,9.593797e-05
cat__Polymer Grade 5_LDPE LD 150,6.4118016e-05
num__guanidine,0.0
num__allene,0.0
num__vinyl_halide,0.0
num__boron_3_coord,0.0
num__silicon_4_coord,0.0
num__sulfonyl_halide,0.0
num__thiourea,0.0
num__phosphonate,0.0
num__imide,0.0
cat__Polymer Grade 4_Capa™ 6800,0.0
num__azide,0.0
num__thiocyanate,0.0
num__isocyanate,0.0
num__ketal,0.0
num__azo,0.0
num__thiol,0.0
num__aldehyde,0.0
num__nitro,0.0
num__butyl_chain,0.0
num__ethyl_chain,0.0
cat__Polymer Grade 1_CX-C6,0.0
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0
num__quaternary_carbon,0.0
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0
cat__Polymer Grade 5_Capa™ 6500,0.0
cat__Polymer Grade 5_EVAL F171B,0.0
num__nitrile,0.0
num__imine,0.0
num__quaternary_amine,0.0
num__tertiary_amine,0.0
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0
num__primary_amine,0.0
num__thioether,0.0
num__acetal,0.0
num__sulfonamide,0.0
num__phosphate,0.0
num__SP3_F,0.0
num__cyclopentanes,0.0
num__cyclohexanes,0.0
cat__Polymer Grade 5_PHACT S1000P,0.0
num__SP3D2_S,0.0
num__SP3_I,0.0
num__SP3_Br,0.0
num__SP3_Cl,0.0
num__SP3_B,0.0
num__thiophenes,0.0
num__SP3_Si,0.0
num__SP3_P,0.0
num__SP3_S,0.0
num__SP2_B,0.0
num__SP2_S,0.0
num__SP2_N,0.0
num__SP_N,0.0
num__cyclopentenes,0.0
num__aromatic_rings_with_n,0.0
num__sulfoxide,0.0
num__acyl_halide,0.0
num__sulfone,0.0
num__SP_C,0.0
num__amide,0.0
num__thioamide,0.0
num__carbamate,0.0
num__urea,0.0
num__carbamide,0.0
num__anhydride,0.0
num__aromatic_rings_with_n_o,0.0
num__carboxylic_acid,0.0
num__other_rings,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
