feature,importance
num__branching_factor,0.17038006
num__vinyl,0.09617359
cat__Polymer Grade 1_Unknown,0.07865237
cat__Polymer Grade 2_Unknown,0.036909163
cat__Polymer Grade 2_I'm green™ STN7006,0.03282725
num__ketone,0.032702494
num__amide,0.026860416
cat__Polymer Grade 4_Unknown,0.023177171
cat__Polymer Grade 5_ENMAT™ Y1000P,0.018313153
num__sulfone,0.016661422
cat__Polymer Grade 5_PHACT A1000P,0.01642941
num__ethyl_chain,0.0150819635
cat__Polymer Grade 4_PHACT A1000P,0.014518702
num__SP3_N,0.013967427
cat__Polymer Grade 4_ENMAT™ Y1000P,0.013404589
cat__Polymer Grade 5_Unknown,0.013039167
cat__Polymer Grade 2_ENMAT™ Y1000P,0.012980775
cat__Polymer Grade 3_ENMAT™ Y1000P,0.01296028
cat__Polymer Grade 3_PHACT A1000P,0.012524016
num__vol_fraction2,0.011819297
cat__Polymer Grade 1_ENMAT™ Y1000P,0.010729858
num__quaternary_amine,0.009855703
num__SP3_O,0.008457343
cat__Polymer Grade 5_PHACT S1000P,0.008448569
cat__Polymer Grade 3_Unknown,0.008188616
cat__Polymer Grade 4_PHACT S1000P,0.0071218037
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0071061426
cat__Polymer Grade 3_PHACT S1000P,0.0069924346
num__tree_depth,0.0069883876
num__anhydride,0.0069030523
num__alcohol,0.006884897
num__long_chain,0.006702659
num__ester,0.006658566
num__tertiary_carbon,0.006444635
num__Thickness (um),0.0064420053
num__other_rings,0.006337644
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0055773766
cat__Polymer Grade 5_Green Planet™ PHBH,0.005487272
cat__Polymer Grade 1_I'm green™ STN7006,0.005284553
num__SP2_C,0.005193866
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0051186783
num__SP2_O,0.0049482738
cat__Polymer Grade 2_BioPBS™ FZ91,0.004815831
num__SP3_Cl,0.0048041306
num__phenyls,0.0047250176
num__quaternary_carbon,0.004439779
num__propyl_chain,0.004375335
cat__Polymer Grade 3_BioPBS™ FZ91,0.0041674203
num__SP3_F,0.0041671363
cat__Polymer Grade 2_PBS TH803S,0.0041664946
num__thioether,0.00407183
cat__Polymer Grade 2_PHACT A1000P,0.003938214
cat__Polymer Grade 1_LDPE LD 150,0.003898203
cat__Polymer Grade 1_BioPBS™ FZ91,0.0038665838
num__cyclopentanes,0.003574539
num__aromatic_rings_with_n,0.0035724314
num__secondary_carbon,0.0033291206
cat__Polymer Grade 3_Capa™ 6500,0.0033179258
cat__Polymer Grade 4_BioPBS™ FD92,0.003310867
num__cyclohexanes,0.0032396363
num__SP3_S,0.0031303216
num__vol_fraction5,0.003032579
cat__Polymer Grade 2_BioPBS™ FD92,0.002980253
num__aromatic_rings_with_n_o,0.002965929
cat__Polymer Grade 3_BioPBS™ FD92,0.0029186732
num__SP3_C,0.0029050366
num__SP2_N,0.0027773578
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.002754898
num__aliphatic_rings_with_n,0.002725383
cat__Polymer Grade 3_PBS TH803S,0.0025574532
num__ether,0.0025063185
num__aliphatic_rings_with_o,0.002444963
cat__Polymer Grade 1_PBS TH803S,0.0024094824
num__vol_fraction4,0.0023598718
num__butyl_chain,0.002321419
num__primary_carbon,0.0022672648
num__carbamate,0.0022468332
cat__Polymer Grade 1_Capa™ 6800,0.0022382832
num__SP3_Br,0.00212047
num__vol_fraction3,0.002077742
cat__Polymer Grade 5_BioPBS™ FD92,0.0020417573
cat__Polymer Grade 5_Ingeo 4032D,0.0020210247
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0019975856
cat__Polymer Grade 4_BioPBS™ FZ91,0.0019715212
num__vol_fraction1,0.0019489886
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0016273577
cat__Polymer Grade 3_Luminy® L175,0.0016169286
cat__Polymer Grade 4_PBS TH803S,0.0016138508
cat__Polymer Grade 1_PHACT A1000P,0.0015895399
cat__Polymer Grade 1_Capa™ 6500,0.0014714397
cat__Polymer Grade 3_Ingeo 4043D,0.0014472898
cat__Polymer Grade 2_LDPE LD 150,0.0014419052
num__carboxylic_acid,0.0013934545
cat__Polymer Grade 5_Capa™ 6800,0.0013571577
cat__Polymer Grade 2_PHACT S1000P,0.001353774
cat__Polymer Grade 2_Capa™ 6800,0.0012469481
num__SP_C,0.0011870739
cat__Polymer Grade 1_PHACT S1000P,0.0011573504
cat__Polymer Grade 1_BioPBS™ FD92,0.0011271801
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0010895587
num__primary_amine,0.0010024841
cat__Polymer Grade 2_Capa™ 6500,0.0009859039
cat__Polymer Grade 3_Kuredux® PGA,0.0009550196
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.00092489837
cat__Polymer Grade 5_PBS TH803S,0.00092100323
cat__Polymer Grade 4_Ingeo 4043D,0.0009171571
num__secondary_amine,0.0008703168
cat__Polymer Grade 4_Kuredux® PGA,0.00084174797
num__acetal,0.00083658507
cat__Polymer Grade 1_Ecovance rf-PBAT,0.00081836886
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0007715483
cat__Polymer Grade 3_Ecoworld,0.0007444109
cat__Polymer Grade 2_EVAL F171B,0.00073441886
cat__Polymer Grade 1_Total PPH 3270,0.0007282829
cat__Polymer Grade 1_EVAL F171B,0.0007031465
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.00070174644
cat__Polymer Grade 4_I'm green™ STN7006,0.0005443303
cat__Polymer Grade 4_Capa™ 6800,0.000528774
cat__Polymer Grade 1_Kuredux® PGA,0.0005212003
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.0004919383
cat__Polymer Grade 1_Ingeo 4032D,0.0004898926
cat__Polymer Grade 2_Green Planet™ PHBH,0.00046796325
cat__Polymer Grade 2_ENMAT Y3000,0.00046226112
cat__Polymer Grade 3_Polylactide,0.00046018764
cat__Polymer Grade 1_Green Planet™ PHBH,0.00045605635
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.00045458705
num__SP3_P,0.000419831
cat__Polymer Grade 2_Ecoworld,0.00040713113
cat__Polymer Grade 2_Polylactide,0.0003941312
cat__Polymer Grade 3_I'm green™ STN7006,0.00037638823
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0003360397
cat__Polymer Grade 1_Ecoworld,0.0002968883
cat__Polymer Grade 1_Polylactide,0.00027448314
cat__Polymer Grade 5_BioPBS™ FZ91,0.0002740507
cat__Polymer Grade 2_Ecovance rf-PBAT,0.00026254944
cat__Polymer Grade 3_LDPE LD 150,0.00025432443
cat__Polymer Grade 2_Total PPH 3270,0.00025096672
cat__Polymer Grade 3_ENMAT Y3000,0.00024500798
cat__Polymer Grade 1_ENMAT Y3000,0.0002278806
cat__Polymer Grade 5_Luminy® L175,0.00022252057
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.00021344496
cat__Polymer Grade 2_Ingeo 4032D,0.0002071844
cat__Polymer Grade 4_Polylactide,0.00017949402
cat__Polymer Grade 3_EVAL F171B,0.00016908282
cat__Polymer Grade 4_Capa™ 6500,0.00013960018
cat__Polymer Grade 2_Luminy® L175,0.00013795943
cat__Polymer Grade 1_Luminy® L175,0.00010997615
cat__Polymer Grade 3_Green Planet™ PHBH,9.746438e-05
cat__Polymer Grade 3_ecoflex® F Blend C1200,9.617969e-05
cat__Polymer Grade 2_Kuredux® PGA,9.40229e-05
cat__Polymer Grade 4_ENMAT Y3000,9.168963e-05
cat__Polymer Grade 1_Ingeo 4043D,8.5701744e-05
cat__Polymer Grade 3_Capa™ 6800,8.157596e-05
cat__Polymer Grade 4_EVAL F171B,6.0610866e-05
cat__Polymer Grade 4_Ecovance rf-PBAT,4.9169845e-05
cat__Polymer Grade 2_Ingeo 4043D,4.2144693e-05
cat__Polymer Grade 4_Total PPH 3270,4.1868047e-05
cat__Polymer Grade 3_Total PPH 3270,3.4282642e-05
cat__Polymer Grade 5_Ecoworld,1.1348315e-05
cat__Polymer Grade 5_Ingeo 4043D,2.7399924e-06
cat__Polymer Grade 3_Ingeo 4032D,3.141978e-07
num__thiocyanate,0.0
num__azide,0.0
num__azo,0.0
cat__Polymer Grade 1_Biocycle 1000,0.0
num__imide,0.0
num__nitrile,0.0
num__thiol,0.0
num__sulfonyl_halide,0.0
num__thiourea,0.0
num__phosphonate,0.0
num__vinyl_halide,0.0
num__guanidine,0.0
num__aldehyde,0.0
num__isocyanate,0.0
num__silicon_4_coord,0.0
num__boron_3_coord,0.0
num__imine,0.0
num__allene,0.0
num__tertiary_amine,0.0
num__carbamide,0.0
num__ketal,0.0
num__nitro,0.0
cat__Polymer Grade 4_Green Planet™ PHBH,0.0
cat__Polymer Grade 4_Ingeo 4032D,0.0
cat__Polymer Grade 4_LDPE LD 150,0.0
num__SP2_B,0.0
num__SP2_S,0.0
cat__Polymer Grade 4_Luminy® L175,0.0
num__SP_N,0.0
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0
cat__Polymer Grade 5_Capa™ 6500,0.0
cat__Polymer Grade 5_ENMAT Y3000,0.0
cat__Polymer Grade 5_I'm green™ STN7006,0.0
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0
cat__Polymer Grade 5_Kuredux® PGA,0.0
cat__Polymer Grade 5_Total PPH 3270,0.0
cat__Polymer Grade 5_Polylactide,0.0
cat__Polymer Grade 4_Ecoworld,0.0
num__SP3_Si,0.0
num__SP3_B,0.0
num__acyl_halide,0.0
num__phosphate,0.0
num__sulfoxide,0.0
num__sulfonamide,0.0
num__thioamide,0.0
num__urea,0.0
cat__Polymer Grade 5_LDPE LD 150,0.0
num__aliphatic_rings_with_s,0.0
num__SP3_I,0.0
num__aliphatic_rings_with_n_o,0.0
num__aromatic_rings_with_s,0.0
num__aromatic_rings_with_o,0.0
num__thiophenes,0.0
num__cyclopentenes,0.0
num__SP3D2_S,0.0
cat__Polymer Grade 5_EVAL F171B,0.0
