feature,importance
num__branching_factor,0.2163995
cat__Polymer Grade 5_PBS TH803S,0.11719385
cat__Polymer Grade 4_PBS TH803S,0.061951082
cat__Polymer Grade 4_Unknown,0.056049373
num__vinyl,0.046272203
cat__Polymer Grade 5_Unknown,0.043759845
cat__Polymer Grade 3_Unknown,0.031983446
cat__Polymer Grade 3_PBS TH803S,0.024555914
num__SP3_O,0.02229527
num__tertiary_carbon,0.02053149
num__phenyls,0.018072251
num__SP3_N,0.017487632
cat__Polymer Grade 5_BioPBS™ FD92,0.015124307
num__ethyl_chain,0.014999043
num__SP2_C,0.012019938
cat__Polymer Grade 2_PBS TH803S,0.010873935
num__vol_fraction4,0.010090469
cat__Polymer Grade 1_PHACT S1000P,0.009459176
num__long_chain,0.008441108
num__SP2_O,0.008218855
num__alcohol,0.008106907
cat__Polymer Grade 2_ENMAT Y3000,0.007842124
num__secondary_carbon,0.007546775
num__vol_fraction5,0.0074420916
num__tree_depth,0.007264281
cat__Polymer Grade 1_ENMAT Y3000,0.006631682
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.006282711
cat__Polymer Grade 1_Capa™ 6500,0.0062660114
num__primary_carbon,0.005937179
cat__Polymer Grade 2_PHACT S1000P,0.0057321256
cat__Polymer Grade 1_Capa™ 6800,0.005493526
cat__Polymer Grade 3_ENMAT Y3000,0.005275252
cat__Polymer Grade 3_PHACT S1000P,0.005113852
cat__Polymer Grade 4_PHACT S1000P,0.0048247175
num__ether,0.004746501
num__vol_fraction3,0.0046693804
cat__Polymer Grade 4_BioPBS™ FD92,0.0045442497
cat__Polymer Grade 2_Capa™ 6800,0.004432035
cat__Polymer Grade 2_Capa™ 6500,0.0043096594
num__propyl_chain,0.0039898725
cat__Polymer Grade 5_Ecovance rf-PBAT,0.00394485
cat__Polymer Grade 3_Capa™ 6500,0.0037925004
cat__Polymer Grade 4_ENMAT Y3000,0.0037924333
cat__Polymer Grade 4_Capa™ 6800,0.0035769762
cat__Polymer Grade 4_Capa™ 6500,0.0035010257
cat__Polymer Grade 5_PHACT S1000P,0.0034144106
num__ketone,0.0033639134
cat__Polymer Grade 1_BioPBS™ FZ91,0.0033031083
cat__Polymer Grade 3_BioPBS™ FZ91,0.0032178704
cat__Polymer Grade 2_BioPBS™ FZ91,0.0030842104
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0027635524
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0026463727
cat__Polymer Grade 3_BioPBS™ FD92,0.0026410285
cat__Polymer Grade 3_Capa™ 6800,0.0026346147
cat__Polymer Grade 5_Capa™ 6500,0.0026023712
num__SP3_C,0.0025564944
num__amide,0.0023498815
cat__Polymer Grade 5_ENMAT Y3000,0.0022894712
cat__Polymer Grade 5_Capa™ 6800,0.002190382
num__ester,0.00214123
cat__Polymer Grade 4_BioPBS™ FZ91,0.002088861
cat__Polymer Grade 2_BioPBS™ FD92,0.001959339
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0018821312
cat__Polymer Grade 1_PBS TH803S,0.0018717636
num__vol_fraction1,0.0018702802
num__vol_fraction2,0.0018673346
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0018433641
cat__Polymer Grade 3_PHACT A1000P,0.0016858537
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0016070907
cat__Polymer Grade 1_I'm green™ STN7006,0.0015232723
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0014991068
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0014925491
cat__Polymer Grade 2_Ecovance rf-PBAT,0.001422172
cat__Polymer Grade 4_Ecoworld,0.0013766588
cat__Polymer Grade 1_BioPBS™ FD92,0.0013290324
cat__Polymer Grade 1_Ingeo 4032D,0.0013056926
num__Thickness (um),0.0012710777
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0012572585
cat__Polymer Grade 2_Green Planet™ PHBH,0.0012352837
cat__Polymer Grade 2_Luminy® L175,0.0012308432
cat__Polymer Grade 2_PHACT A1000P,0.0011756724
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0011169441
cat__Polymer Grade 5_BioPBS™ FZ91,0.0011166102
cat__Polymer Grade 2_Ecoworld,0.0010687
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0009374973
cat__Polymer Grade 2_Ingeo 4032D,0.0009246504
cat__Polymer Grade 1_Ecovance rf-PBAT,0.00090176065
cat__Polymer Grade 3_Ecoworld,0.00087254075
