feature,importance
num__primary_carbon,0.061101437
num__tertiary_carbon,0.037379563
num__ethyl_chain,0.036627334
num__phenyls,0.024598654
num__propyl_chain,0.024565076
cat__Polymer Grade 5_I'm green™ STN7006,0.022062149
cat__Polymer Grade 4_PHACT S1000P,0.019753268
cat__Polymer Grade 3_PBS TH803S,0.0194517
cat__Polymer Grade 3_PHACT S1000P,0.01859986
cat__Polymer Grade 2_PHACT S1000P,0.016908804
num__ether,0.014914768
num__secondary_amine,0.014336405
cat__Polymer Grade 5_PHACT S1000P,0.014224928
num__long_chain,0.014198964
cat__Polymer Grade 3_Green Planet™ PHBH,0.014022576
cat__Polymer Grade 2_ENMAT Y3000,0.013682864
cat__Polymer Grade 1_PHACT S1000P,0.01359372
num__Thickness (um),0.013010397
cat__Polymer Grade 3_PHACT A1000P,0.0129233785
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.012469707
cat__Polymer Grade 3_I'm green™ STN7006,0.012460276
num__secondary_carbon,0.012437433
cat__Polymer Grade 1_Green Planet™ PHBH,0.012311344
num__SP3_O,0.012140099
cat__Polymer Grade 4_ENMAT™ Y1000P,0.011679011
cat__Polymer Grade 4_I'm green™ STN7006,0.011577431
cat__Polymer Grade 5_BioPBS™ FZ91,0.011454189
cat__Polymer Grade 4_ENMAT Y3000,0.011113488
cat__Polymer Grade 2_ENMAT™ Y1000P,0.010916617
cat__Polymer Grade 4_PHACT A1000P,0.010859811
num__ester,0.010116021
cat__Polymer Grade 1_BioPBS™ FZ91,0.009727831
cat__Polymer Grade 1_PHACT A1000P,0.009414418
cat__Polymer Grade 5_ENMAT™ Y1000P,0.009216455
cat__Polymer Grade 1_PBS TH803S,0.009077039
cat__Polymer Grade 5_ENMAT Y3000,0.008897907
cat__Polymer Grade 2_BioPBS™ FD92,0.008605981
num__SP3_N,0.008585907
cat__Polymer Grade 2_PBS TH803S,0.008574452
cat__Polymer Grade 3_Capa™ 6800,0.008523031
cat__Polymer Grade 3_ENMAT™ Y1000P,0.008410505
num__ketone,0.008305851
num__branching_factor,0.008044875
cat__Polymer Grade 3_Capa™ 6500,0.00800598
cat__Polymer Grade 4_BioPBS™ FZ91,0.007964123
num__SP2_C,0.007935581
cat__Polymer Grade 4_PBS TH803S,0.007928873
num__alcohol,0.0077886325
cat__Polymer Grade 3_ENMAT Y3000,0.0077799372
num__tree_depth,0.007734599
num__SP2_O,0.007447658
cat__Polymer Grade 4_Green Planet™ PHBH,0.007240246
cat__Polymer Grade 4_Ingeo 4032D,0.0069208606
cat__Polymer Grade 3_BioPBS™ FD92,0.0067212484
cat__Polymer Grade 5_PHACT A1000P,0.0066272514
cat__Polymer Grade 2_BioPBS™ FZ91,0.006555638
cat__Polymer Grade 5_Unknown,0.0063542705
num__SP3_C,0.005917936
cat__Polymer Grade 4_Unknown,0.0058444077
num__vol_fraction2,0.005692463
cat__Polymer Grade 5_PBS TH803S,0.005659311
cat__Polymer Grade 3_Total PPH 3270,0.005581882
cat__Polymer Grade 3_BioPBS™ FZ91,0.0055431863
