feature,importance
num__ethyl_chain,0.10342594
num__tertiary_carbon,0.038836703
num__ester,0.031790365
cat__Polymer Grade 4_PHACT S1000P,0.03168423
cat__Polymer Grade 3_PHACT S1000P,0.028784972
cat__Polymer Grade 5_PHACT A1000P,0.028450284
cat__Polymer Grade 3_PHACT A1000P,0.025084827
cat__Polymer Grade 1_PHACT S1000P,0.02305015
cat__Polymer Grade 2_ENMAT Y3000,0.022972953
cat__Polymer Grade 4_ENMAT Y3000,0.02279303
num__propyl_chain,0.022684993
cat__Polymer Grade 3_ENMAT™ Y1000P,0.02081583
cat__Polymer Grade 4_PHACT A1000P,0.017696332
cat__Polymer Grade 2_PHACT S1000P,0.017270748
cat__Polymer Grade 5_ENMAT™ Y1000P,0.016328592
cat__Polymer Grade 4_Unknown,0.01609385
num__primary_carbon,0.015513721
cat__Polymer Grade 5_PHACT S1000P,0.01520562
cat__Polymer Grade 3_ENMAT Y3000,0.015174686
num__phenyls,0.015083643
cat__Polymer Grade 4_ENMAT™ Y1000P,0.013526818
cat__Polymer Grade 5_Unknown,0.01331164
num__SP3_O,0.012993648
cat__Polymer Grade 5_ENMAT Y3000,0.012309487
num__ether,0.012061362
num__SP2_O,0.010491544
num__secondary_carbon,0.009958272
cat__Polymer Grade 3_Capa™ 6800,0.009885752
num__ketone,0.0097482
cat__Polymer Grade 2_Capa™ 6500,0.008760791
cat__Polymer Grade 1_ENMAT Y3000,0.008520531
cat__Polymer Grade 2_BioPBS™ FD92,0.008129671
cat__Polymer Grade 1_Capa™ 6500,0.008097158
num__secondary_amine,0.007630873
cat__Polymer Grade 2_Capa™ 6800,0.0072886366
cat__Polymer Grade 4_Green Planet™ PHBH,0.0072164154
cat__Polymer Grade 3_Capa™ 6500,0.00700848
num__SP3_N,0.006656694
cat__Polymer Grade 3_Green Planet™ PHBH,0.0065018297
num__SP2_C,0.0064176917
cat__Polymer Grade 3_BioPBS™ FD92,0.006151896
cat__Polymer Grade 4_Capa™ 6800,0.006138281
cat__Polymer Grade 1_PBS TH803S,0.006088457
cat__Polymer Grade 1_Capa™ 6800,0.005943882
num__Thickness (um),0.005863079
cat__Polymer Grade 2_PHACT A1000P,0.0057262904
cat__Polymer Grade 2_BioPBS™ FZ91,0.0054952167
cat__Polymer Grade 1_BioPBS™ FZ91,0.0054906704
cat__Polymer Grade 1_PHACT A1000P,0.005428529
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0054127467
cat__Polymer Grade 5_Ingeo 4032D,0.0054031364
num__vol_fraction4,0.0052410583
cat__Polymer Grade 3_PBS TH803S,0.0050234697
cat__Polymer Grade 1_BioPBS™ FD92,0.0050189365
cat__Polymer Grade 4_Ingeo 4043D,0.0049504703
num__vol_fraction5,0.004834721
cat__Polymer Grade 5_Capa™ 6500,0.0048285373
cat__Polymer Grade 4_Polylactide,0.0047540185
num__SP3_C,0.0045717927
num__tree_depth,0.0044437745
cat__Polymer Grade 5_Polylactide,0.004399558
cat__Polymer Grade 4_Capa™ 6500,0.0043860073
num__branching_factor,0.0043843733
num__vol_fraction3,0.004364128
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0040862937
num__vol_fraction2,0.004073188
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0040614503
cat__Polymer Grade 4_BioPBS™ FD92,0.004057446
cat__Polymer Grade 3_BioPBS™ FZ91,0.004025572
cat__Polymer Grade 3_Kuredux® PGA,0.0039541256
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0038475913
cat__Polymer Grade 3_Polylactide,0.0038455697
cat__Polymer Grade 3_Unknown,0.0038100784
cat__Polymer Grade 4_BioPBS™ FZ91,0.003785614
cat__Polymer Grade 5_PBS TH803S,0.003701418
cat__Polymer Grade 1_Polylactide,0.003698358
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0036493759
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0030988392
cat__Polymer Grade 2_Polylactide,0.0030959183
cat__Polymer Grade 5_BioPBS™ FZ91,0.0030817958
num__vol_fraction1,0.0030303197
num__alcohol,0.00294756
cat__Polymer Grade 2_Kuredux® PGA,0.0029464297
cat__Polymer Grade 3_Ingeo 4032D,0.002662487
cat__Polymer Grade 2_Green Planet™ PHBH,0.002513491
cat__Polymer Grade 4_Kuredux® PGA,0.0024895333
cat__Polymer Grade 2_Total PPH 3270,0.0024786459
cat__Polymer Grade 5_Ecovance rf-PBAT,0.002359236
cat__Polymer Grade 2_LDPE LD 150,0.0023517613
cat__Polymer Grade 5_I'm green™ STN7006,0.0022825347
cat__Polymer Grade 4_EVAL F171B,0.002267655
cat__Polymer Grade 3_Tunhe TH801T,0.0021684202
cat__Polymer Grade 1_LDPE LD 150,0.0021437367
num__vinyl,0.0020317247
cat__Polymer Grade 1_ENMAT™ Y1000P,0.001954524
cat__Polymer Grade 2_Ingeo 4043D,0.0019261835
cat__Polymer Grade 1_Ingeo 4032D,0.0019203576
cat__Polymer Grade 1_CX-C6,0.0019189486
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0018748149
cat__Polymer Grade 1_Luminy® L175,0.0018405564
cat__Polymer Grade 3_LDPE LD 150,0.0018041589
cat__Polymer Grade 2_Tunhe TH801T,0.0018011588
cat__Polymer Grade 4_Ingeo 4032D,0.0017965068
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0017447653
cat__Polymer Grade 5_BioPBS™ FD92,0.0017098383
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0016886983
cat__Polymer Grade 4_Ecoworld,0.0016786155
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.0016553283
cat__Polymer Grade 2_PBS TH803S,0.0014986363
cat__Polymer Grade 3_Total PPH 3270,0.0014220324
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0014128573
cat__Polymer Grade 2_Ecoworld,0.0013971336
cat__Polymer Grade 1_Green Planet™ PHBH,0.0013945511
cat__Polymer Grade 4_PBS TH803S,0.0013175948
cat__Polymer Grade 2_Luminy® L175,0.0012917356
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.0012527538
cat__Polymer Grade 1_Ingeo 4043D,0.0012457349
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0012168346
cat__Polymer Grade 3_I'm green™ STN7006,0.0012070793
cat__Polymer Grade 1_Ecoworld,0.0011627779
cat__Polymer Grade 4_Tunhe TH801T,0.0011592046
cat__Polymer Grade 2_Ingeo 4032D,0.0010926301
cat__Polymer Grade 4_LDPE LD 150,0.0010792257
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0010653503
cat__Polymer Grade 4_Luminy® L175,0.0010622818
cat__Polymer Grade 3_Luminy® L175,0.0010615687
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.0010572597
cat__Polymer Grade 2_I'm green™ STN7006,0.0010503201
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0010451179
cat__Polymer Grade 1_EVAL F171B,0.0009886923
cat__Polymer Grade 1_I'm green™ STN7006,0.0009862188
cat__Polymer Grade 3_EVAL F171B,0.0009653631
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.00095575076
cat__Polymer Grade 5_Luminy® L175,0.00092449604
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0008932631
cat__Polymer Grade 1_Total PPH 3270,0.0008834698
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0008051287
cat__Polymer Grade 3_Ingeo 4043D,0.0007981755
cat__Polymer Grade 1_Tunhe TH801T,0.0007670314
cat__Polymer Grade 5_Ingeo 4043D,0.0007615209
cat__Polymer Grade 4_Total PPH 3270,0.00075940776
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0007537187
cat__Polymer Grade 5_Capa™ 6800,0.0006541538
cat__Polymer Grade 3_Ecoworld,0.00064145785
cat__Polymer Grade 2_Unknown,0.0006225744
cat__Polymer Grade 5_Ecoworld,0.0005865474
cat__Polymer Grade 2_EVAL F171B,0.00036308917
cat__Polymer Grade 1_Kuredux® PGA,0.00035904028
cat__Polymer Grade 4_I'm green™ STN7006,0.00025302602
cat__Polymer Grade 5_Tunhe TH801T,0.00023760635
cat__Polymer Grade 5_EVAL F171B,4.391272e-05
cat__Polymer Grade 5_Total PPH 3270,4.1841613e-05
cat__Polymer Grade 5_LDPE LD 150,1.1723762e-06
num__azide,0.0
num__thiocyanate,0.0
num__isocyanate,0.0
num__imide,0.0
num__ketal,0.0
num__sulfonyl_halide,0.0
num__acetal,0.0
num__phosphonate,0.0
num__silicon_4_coord,0.0
num__thiourea,0.0
num__guanidine,0.0
num__azo,0.0
num__primary_amine,0.0
num__boron_3_coord,0.0
num__vinyl_halide,0.0
num__allene,0.0
num__aldehyde,0.0
num__thiol,0.0
num__thioether,0.0
num__phosphate,0.0
num__tertiary_amine,0.0
num__quaternary_amine,0.0
num__imine,0.0
num__nitrile,0.0
num__quaternary_carbon,0.0
cat__Polymer Grade 1_Biocycle 1000,0.0
num__butyl_chain,0.0
num__nitro,0.0
num__urea,0.0
num__sulfoxide,0.0
num__sulfone,0.0
num__cyclohexanes,0.0
num__SP3D2_S,0.0
num__SP3_I,0.0
num__SP3_Br,0.0
num__SP3_Cl,0.0
num__SP3_F,0.0
num__SP3_B,0.0
num__SP3_Si,0.0
num__SP3_P,0.0
num__SP3_S,0.0
num__SP2_B,0.0
num__SP2_S,0.0
num__SP2_N,0.0
num__SP_N,0.0
num__SP_C,0.0
cat__Polymer Grade 5_Green Planet™ PHBH,0.0
cat__Polymer Grade 5_Kuredux® PGA,0.0
num__cyclopentanes,0.0
num__cyclopentenes,0.0
num__thiophenes,0.0
num__carboxylic_acid,0.0
num__sulfonamide,0.0
num__amide,0.0
num__thioamide,0.0
num__carbamate,0.0
num__carbamide,0.0
num__acyl_halide,0.0
num__anhydride,0.0
num__other_rings,0.0
num__aromatic_rings_with_n,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
num__aliphatic_rings_with_n,0.0
num__aromatic_rings_with_s,0.0
num__aromatic_rings_with_n_o,0.0
num__aromatic_rings_with_o,0.0
num__long_chain,0.0
