feature,importance
num__tertiary_carbon,0.058862213
num__primary_carbon,0.055799887
cat__Polymer Grade 3_ENMAT Y3000,0.038436577
cat__Polymer Grade 5_PHACT S1000P,0.0345861
cat__Polymer Grade 5_ENMAT Y3000,0.03439465
cat__Polymer Grade 5_Unknown,0.031262014
cat__Polymer Grade 4_ENMAT Y3000,0.030383024
cat__Polymer Grade 5_Green Planet™ PHBH,0.027793143
cat__Polymer Grade 5_ENMAT™ Y1000P,0.024728112
cat__Polymer Grade 4_PHACT S1000P,0.024052175
cat__Polymer Grade 4_ENMAT™ Y1000P,0.021176238
cat__Polymer Grade 3_PHACT S1000P,0.018892072
cat__Polymer Grade 4_Unknown,0.018630723
num__ether,0.018097868
num__tree_depth,0.018078905
num__ketone,0.017276457
cat__Polymer Grade 5_PBS TH803S,0.015640453
cat__Polymer Grade 4_Green Planet™ PHBH,0.015314294
cat__Polymer Grade 5_Ingeo 4032D,0.013434379
num__SP3_O,0.01221393
cat__Polymer Grade 3_Green Planet™ PHBH,0.012063073
cat__Polymer Grade 5_Ingeo 4043D,0.011698655
cat__Polymer Grade 5_Luminy® L175,0.0113826785
cat__Polymer Grade 3_BioPBS™ FD92,0.0109834
cat__Polymer Grade 4_PHACT A1000P,0.010086398
cat__Polymer Grade 4_Capa™ 6500,0.009908929
num__Thickness (um),0.00958317
cat__Polymer Grade 5_PHACT A1000P,0.008859304
cat__Polymer Grade 5_I'm green™ STN7006,0.008829848
cat__Polymer Grade 3_ENMAT™ Y1000P,0.008324224
cat__Polymer Grade 3_PHACT A1000P,0.008322952
num__alcohol,0.00830838
cat__Polymer Grade 3_Unknown,0.00781444
cat__Polymer Grade 5_Capa™ 6500,0.007813736
num__vol_fraction4,0.0076655243
cat__Polymer Grade 5_Capa™ 6800,0.0071310047
cat__Polymer Grade 4_BioPBS™ FD92,0.0070993295
cat__Polymer Grade 5_BioPBS™ FD92,0.007049591
num__vol_fraction5,0.0069085713
num__ethyl_chain,0.006907009
num__secondary_carbon,0.0068431334
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.00677455
num__phenyls,0.006497276
cat__Polymer Grade 2_ENMAT Y3000,0.0062640207
num__secondary_amine,0.0059548044
cat__Polymer Grade 4_Ingeo 4043D,0.005926841
cat__Polymer Grade 3_Capa™ 6800,0.0057537463
cat__Polymer Grade 3_Ingeo 4032D,0.0056726746
cat__Polymer Grade 5_Ecoworld,0.00557097
cat__Polymer Grade 4_Capa™ 6800,0.0055078366
num__vol_fraction3,0.00548237
cat__Polymer Grade 4_I'm green™ STN7006,0.005434214
cat__Polymer Grade 4_Luminy® L175,0.005198175
cat__Polymer Grade 4_BioPBS™ FZ91,0.0048461678
cat__Polymer Grade 2_Luminy® L175,0.0048441086
num__branching_factor,0.0047418163
cat__Polymer Grade 2_PHACT S1000P,0.0045990874
cat__Polymer Grade 5_Kuredux® PGA,0.0045929872
cat__Polymer Grade 1_PBS TH803S,0.0045383256
cat__Polymer Grade 5_BioPBS™ FZ91,0.0044336137
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0043508243
num__propyl_chain,0.0043363213
num__SP3_N,0.004282329
cat__Polymer Grade 4_PBS TH803S,0.0042548277
num__ester,0.00423303
cat__Polymer Grade 1_ENMAT Y3000,0.004135257
cat__Polymer Grade 4_LDPE LD 150,0.0040972712
cat__Polymer Grade 1_PHACT A1000P,0.0040888474
cat__Polymer Grade 3_LDPE LD 150,0.0039772308
cat__Polymer Grade 2_Ingeo 4032D,0.0039746887
cat__Polymer Grade 2_Green Planet™ PHBH,0.0039530788
cat__Polymer Grade 2_BioPBS™ FD92,0.0037758464
cat__Polymer Grade 4_Ingeo 4032D,0.0037573862
num__SP2_O,0.0036806483
num__vol_fraction1,0.0036343583
cat__Polymer Grade 2_Ingeo 4043D,0.0036176667
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.003603004
num__SP3_C,0.0035947768
num__long_chain,0.0035470945
cat__Polymer Grade 3_Capa™ 6500,0.0035339375
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0035213656
cat__Polymer Grade 3_Total PPH 3270,0.0032855496
cat__Polymer Grade 1_Ingeo 4043D,0.0032131576
cat__Polymer Grade 3_PBS TH803S,0.0031959985
cat__Polymer Grade 5_LDPE LD 150,0.0030211732
cat__Polymer Grade 1_Luminy® L175,0.0029626575
cat__Polymer Grade 3_Luminy® L175,0.0029445654
cat__Polymer Grade 4_Tunhe TH801T,0.0028975052
num__SP2_C,0.0026790856
cat__Polymer Grade 4_Total PPH 3270,0.0026673567
cat__Polymer Grade 3_I'm green™ STN7006,0.0026573923
num__vol_fraction2,0.0025906188
cat__Polymer Grade 1_BioPBS™ FZ91,0.0024741713
cat__Polymer Grade 2_Ecoworld,0.0024038285
cat__Polymer Grade 1_ENMAT™ Y1000P,0.002333935
cat__Polymer Grade 1_Polylactide,0.0022992282
cat__Polymer Grade 1_BioPBS™ FD92,0.0022966897
cat__Polymer Grade 2_Unknown,0.0022705623
cat__Polymer Grade 3_EVAL F171B,0.002228993
cat__Polymer Grade 2_Tunhe TH801T,0.0021299103
