feature,importance
num__tertiary_carbon,0.0541843
num__primary_carbon,0.051014744
cat__Polymer Grade 5_ENMAT Y3000,0.041702922
cat__Polymer Grade 5_PHACT S1000P,0.035060048
cat__Polymer Grade 4_ENMAT Y3000,0.03049807
cat__Polymer Grade 5_Unknown,0.03014058
cat__Polymer Grade 5_Green Planet™ PHBH,0.029407574
cat__Polymer Grade 5_ENMAT™ Y1000P,0.02925918
cat__Polymer Grade 4_Unknown,0.029122246
cat__Polymer Grade 4_PHACT S1000P,0.022601806
cat__Polymer Grade 4_ENMAT™ Y1000P,0.022350846
num__ether,0.019136928
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.01801732
num__ketone,0.016783541
cat__Polymer Grade 4_Green Planet™ PHBH,0.016177675
num__tree_depth,0.016025813
num__SP3_O,0.0159533
cat__Polymer Grade 3_ENMAT Y3000,0.01488375
cat__Polymer Grade 3_PHACT S1000P,0.013883992
cat__Polymer Grade 5_PHACT A1000P,0.0127966525
num__alcohol,0.012786094
cat__Polymer Grade 5_Ingeo 4032D,0.01269362
num__secondary_amine,0.012232257
cat__Polymer Grade 5_Luminy® L175,0.01204863
cat__Polymer Grade 5_Ingeo 4043D,0.011373992
cat__Polymer Grade 5_Capa™ 6500,0.011199414
cat__Polymer Grade 5_PBS TH803S,0.0109742945
cat__Polymer Grade 5_LDPE LD 150,0.010658118
cat__Polymer Grade 3_Green Planet™ PHBH,0.01046339
cat__Polymer Grade 4_Ingeo 4043D,0.009371692
cat__Polymer Grade 4_PHACT A1000P,0.009215621
cat__Polymer Grade 3_ENMAT™ Y1000P,0.008870249
num__Thickness (um),0.008725357
cat__Polymer Grade 3_Unknown,0.0086966
cat__Polymer Grade 3_BioPBS™ FD92,0.008391032
num__ethyl_chain,0.008281393
num__phenyls,0.008170036
num__vol_fraction5,0.007894498
cat__Polymer Grade 5_I'm green™ STN7006,0.007710505
cat__Polymer Grade 5_BioPBS™ FD92,0.007583875
cat__Polymer Grade 3_PHACT A1000P,0.007341326
cat__Polymer Grade 4_BioPBS™ FD92,0.007169518
num__SP3_C,0.007068754
num__ester,0.007027166
num__vol_fraction4,0.0069985935
cat__Polymer Grade 4_LDPE LD 150,0.0067705973
cat__Polymer Grade 2_Luminy® L175,0.0067119338
num__secondary_carbon,0.0063686287
cat__Polymer Grade 1_ENMAT Y3000,0.006327922
num__SP3_N,0.0062395907
cat__Polymer Grade 5_Capa™ 6800,0.005359817
num__vol_fraction3,0.0052705873
cat__Polymer Grade 3_LDPE LD 150,0.005007406
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.004782048
cat__Polymer Grade 4_Luminy® L175,0.004554017
num__propyl_chain,0.0045470614
num__SP2_O,0.0043056537
cat__Polymer Grade 2_Ingeo 4032D,0.004305355
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.004149776
cat__Polymer Grade 4_Ingeo 4032D,0.0041425973
cat__Polymer Grade 4_I'm green™ STN7006,0.004141283
num__vol_fraction1,0.004127279
cat__Polymer Grade 1_Luminy® L175,0.004089626
num__vol_fraction2,0.0039145006
cat__Polymer Grade 4_Capa™ 6500,0.0037147019
cat__Polymer Grade 5_Total PPH 3270,0.0035651694
cat__Polymer Grade 1_PHACT A1000P,0.0034901812
cat__Polymer Grade 2_ENMAT Y3000,0.0034159918
cat__Polymer Grade 1_PBS TH803S,0.0034086874
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0033292922
cat__Polymer Grade 2_BioPBS™ FD92,0.003310465
cat__Polymer Grade 2_Ingeo 4043D,0.0032361466
cat__Polymer Grade 3_I'm green™ STN7006,0.0032332945
cat__Polymer Grade 5_BioPBS™ FZ91,0.0032196934
num__long_chain,0.0032177055
num__SP2_C,0.0031601277
cat__Polymer Grade 4_Kuredux® PGA,0.0031256338
cat__Polymer Grade 4_BioPBS™ FZ91,0.0030859313
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0030771776
num__amide,0.0030725405
cat__Polymer Grade 3_Capa™ 6800,0.0029867932
cat__Polymer Grade 5_Kuredux® PGA,0.0029588887
cat__Polymer Grade 2_Green Planet™ PHBH,0.0029143288
cat__Polymer Grade 5_EVAL F171B,0.002894729
cat__Polymer Grade 3_Polylactide,0.0026591804
cat__Polymer Grade 1_Ingeo 4043D,0.002557916
cat__Polymer Grade 3_EVAL F171B,0.002510086
cat__Polymer Grade 2_BioPBS™ FZ91,0.002428201
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0024193563
num__branching_factor,0.0023876939
cat__Polymer Grade 2_PHACT A1000P,0.0023307707
