feature,importance
cat__Polymer Grade 5_ENMAT Y3000,0.5001373
cat__Polymer Grade 5_ENMAT™ Y1000P,0.06831543
cat__Polymer Grade 4_ENMAT Y3000,0.06297487
num__primary_carbon,0.031321604
cat__Polymer Grade 4_ENMAT™ Y1000P,0.022339633
cat__Polymer Grade 5_Unknown,0.017875927
num__ethyl_chain,0.013196838
cat__Polymer Grade 5_Barrialon CX C6,0.012875421
num__tertiary_carbon,0.010302417
cat__Polymer Grade 3_ENMAT Y3000,0.010214817
cat__Polymer Grade 4_Unknown,0.009094515
cat__Polymer Grade 5_BIOCYCLE® 1000,0.008886585
cat__Polymer Grade 5_Luminy® L175,0.0075481166
cat__Polymer Grade 5_I'm green™ STN7006,0.0067629153
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0065689166
num__vol_fraction5,0.0064771874
cat__Polymer Grade 5_Ingeo 4043D,0.00636299
cat__Polymer Grade 5_Ingeo 4032D,0.0060212007
cat__Polymer Grade 5_BioPBS™ FD92,0.004914624
num__ether,0.0047594267
num__SP3_O,0.0046955426
num__phenyls,0.0041225636
cat__Polymer Grade 3_Unknown,0.003775645
num__tree_depth,0.0034232966
num__vol_fraction4,0.003190195
cat__Polymer Grade 4_BIOCYCLE® 1000,0.0031876403
num__Thickness (um),0.0031780282
cat__Polymer Grade 4_I'm green™ STN7006,0.0031644024
num__alcohol,0.0030598585
num__ketone,0.0030479445
cat__Polymer Grade 4_Luminy® L175,0.0029929501
num__ester,0.0028289163
num__SP2_O,0.0027626432
cat__Polymer Grade 4_BioPBS™ FD92,0.002755466
num__secondary_carbon,0.0027121808
num__quaternary_carbon,0.0027001882
cat__Polymer Grade 3_BioPBS™ FD92,0.002675388
cat__Polymer Grade 4_Ingeo 4032D,0.0026635008
cat__Polymer Grade 4_Barrialon CX C6,0.0025564674
cat__Polymer Grade 5_PHACT A1000P,0.0025495153
num__SP3_Cl,0.0025097053
cat__Polymer Grade 4_Ingeo 4043D,0.0023281616
num__amide,0.0022299786
cat__Polymer Grade 2_ENMAT™ Y1000P,0.002188614
num__branching_factor,0.0021876842
num__SP3_C,0.0020645694
cat__Polymer Grade 4_Capa™ 6500,0.0019700439
cat__Polymer Grade 5_Capa™ 6500,0.0018161213
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0017994184
cat__Polymer Grade 4_Capa™ 6800,0.0017959062
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0017586311
num__long_chain,0.0016685588
num__SP2_C,0.0016453677
num__vol_fraction1,0.0016036968
num__vol_fraction2,0.0015741276
cat__Polymer Grade 4_BioPBS™ FZ91,0.0015306904
num__vol_fraction3,0.0015258659
cat__Polymer Grade 5_Capa™ 6800,0.0014592127
cat__Polymer Grade 5_BioPBS™ FZ91,0.0014254432
cat__Polymer Grade 5_Polylactide,0.0014168548
cat__Polymer Grade 2_ENMAT Y3000,0.0013807932
cat__Polymer Grade 5_Glycerol,0.0013790652
cat__Polymer Grade 5_LDPE LD 150,0.0013289612
cat__Polymer Grade 4_PHACT A1000P,0.0013264691
num__SP3_N,0.0012905673
cat__Polymer Grade 3_PBS TH803S,0.001283167
num__vinyl,0.0012640669
cat__Polymer Grade 5_PBS TH803S,0.0012489907
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0012419501
cat__Polymer Grade 5_EVAL F171B,0.0012347614
cat__Polymer Grade 5_Tunhe TH801T,0.0012291723
cat__Polymer Grade 4_LDPE LD 150,0.0012023606
cat__Polymer Grade 3_BioPBS™ FZ91,0.0011912306
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0011697153
cat__Polymer Grade 4_PBS TH803S,0.0011693237
cat__Polymer Grade 5_Ecoworld,0.0011463857
cat__Polymer Grade 3_Barrialon CX C6,0.0011447747
cat__Polymer Grade 2_BioPBS™ FD92,0.0011308007
cat__Polymer Grade 2_Barrialon CX C6,0.0010991083
num__secondary_amine,0.0010973692
cat__Polymer Grade 3_I'm green™ STN7006,0.0010924845
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0010782355
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0010752251
cat__Polymer Grade 1_BioPBS™ FD92,0.0010715382
cat__Polymer Grade 4_Glycerol,0.001057842
cat__Polymer Grade 2_Tunhe TH801T,0.0010489443
cat__Polymer Grade 3_Capa™ 6500,0.0010446981
cat__Polymer Grade 2_Polylactide,0.0010298437
cat__Polymer Grade 3_Ingeo 4043D,0.0010248544
cat__Polymer Grade 3_Polylactide,0.0010107242
cat__Polymer Grade 4_Polylactide,0.0009439716
cat__Polymer Grade 5_Kuredux® PGA,0.00093882706
cat__Polymer Grade 3_Ingeo 4032D,0.00093743287
cat__Polymer Grade 3_Tunhe TH801T,0.00092976075
cat__Polymer Grade 3_BIOCYCLE® 1000,0.00092368916
cat__Polymer Grade 3_Luminy® L175,0.0009147886
cat__Polymer Grade 2_BioPBS™ FZ91,0.0008884224
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.00087717664
cat__Polymer Grade 3_Capa™ 6800,0.0008678973
cat__Polymer Grade 5_Ecovance rf-PBAT,0.00086489227
cat__Polymer Grade 2_Capa™ 6800,0.00084875704
cat__Polymer Grade 2_LDPE LD 150,0.0008475718
cat__Polymer Grade 3_Ecoworld,0.00084549387
cat__Polymer Grade 5_Total PPH 3270,0.00082788855
cat__Polymer Grade 1_Polylactide,0.0008217557
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0008160921
cat__Polymer Grade 2_Capa™ 6500,0.0007898584
cat__Polymer Grade 2_PBS TH803S,0.0007878933
cat__Polymer Grade 3_LDPE LD 150,0.00078487664
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0007827639
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0007751408
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.000771911
cat__Polymer Grade 2_EVAL F171B,0.00077180594
cat__Polymer Grade 3_Glycerol,0.0007645674
cat__Polymer Grade 4_Ecoworld,0.00076265674
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0007557475
cat__Polymer Grade 3_PHACT A1000P,0.0007496389
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0007469414
cat__Polymer Grade 4_Kuredux® PGA,0.0007326054
cat__Polymer Grade 4_Total PPH 3270,0.00070463854
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.0007024627
cat__Polymer Grade 2_Luminy® L175,0.0006936588
cat__Polymer Grade 3_Kuredux® PGA,0.0006926654
cat__Polymer Grade 4_EVAL F171B,0.00068904983
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0006781391
cat__Polymer Grade 2_Ingeo 4043D,0.00067197403
cat__Polymer Grade 2_Ecoworld,0.00067102624
cat__Polymer Grade 1_Glycerol,0.0006654538
cat__Polymer Grade 2_BIOCYCLE® 1000,0.000658071
cat__Polymer Grade 3_EVAL F171B,0.00065088953
cat__Polymer Grade 2_Ingeo 4032D,0.00064991013
