feature,importance
cat__Polymer Grade 3_EVAL F171B,0.10372127
cat__Polymer Grade 4_EVAL F171B,0.0982521
cat__Polymer Grade 1_EVAL F171B,0.08620691
cat__Polymer Grade 2_EVAL F171B,0.08222557
num__alcohol,0.07948391
cat__Polymer Grade 5_EVAL F171B,0.051134177
cat__Polymer Grade 3_Polylactide,0.043618996
cat__Polymer Grade 2_Polylactide,0.0427105
cat__Polymer Grade 4_Polylactide,0.039106324
cat__Polymer Grade 4_Kuredux® PGA,0.033458002
cat__Polymer Grade 1_Polylactide,0.032147687
cat__Polymer Grade 3_Kuredux® PGA,0.031737007
cat__Polymer Grade 2_Kuredux® PGA,0.026917793
num__tree_depth,0.025962163
cat__Polymer Grade 1_Kuredux® PGA,0.024901886
cat__Polymer Grade 5_Polylactide,0.023461314
cat__Polymer Grade 5_Kuredux® PGA,0.021626815
num__SP3_O,0.021568904
num__tertiary_carbon,0.010746244
cat__Polymer Grade 5_Glycerol,0.00882927
num__SP2_O,0.008494399
cat__Polymer Grade 3_Glycerol,0.0072841668
cat__Polymer Grade 4_Glycerol,0.006716233
num__SP3_C,0.005914489
cat__Polymer Grade 2_Glycerol,0.0047613066
num__ketone,0.0043382715
num__ester,0.0030458202
num__primary_carbon,0.0030235036
cat__Polymer Grade 1_Glycerol,0.002838021
num__phenyls,0.0026232037
num__branching_factor,0.0021215947
num__SP3_Cl,0.0018346747
cat__Polymer Grade 1_CX-C6,0.0016774866
num__long_chain,0.0016213378
num__SP2_C,0.0015658533
num__secondary_carbon,0.0014973283
num__ether,0.0013653095
num__vinyl,0.0012808532
num__quaternary_carbon,0.0012780061
num__amide,0.0011499817
num__SP3_N,0.0011104079
num__vol_fraction5,0.0010393846
num__vol_fraction1,0.0010389766
num__vol_fraction4,0.0010213738
num__vol_fraction3,0.0009772418
num__vol_fraction2,0.0008772074
cat__Polymer Grade 5_I'm green™ STN7006,0.00078283664
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.00072130485
cat__Polymer Grade 5_BIOCYCLE® 1000,0.00068947306
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0006588971
cat__Polymer Grade 5_Unknown,0.00064487243
num__Temperature (C),0.00061543833
cat__Polymer Grade 5_LDPE LD 150,0.0005993156
cat__Polymer Grade 5_Ecoworld,0.0005880603
num__RH (%),0.0005823502
cat__Polymer Grade 5_Capa™ 6800,0.00058134535
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0005746377
cat__Polymer Grade 4_I'm green™ STN7006,0.00055877253
cat__Polymer Grade 5_Tunhe TH801T,0.00055013644
cat__Polymer Grade 3_Unknown,0.0005399834
cat__Polymer Grade 5_Capa™ 6500,0.0005377081
cat__Polymer Grade 4_PHACT S1000P,0.0005287568
num__secondary_amine,0.0005276962
cat__Polymer Grade 5_Total PPH 3270,0.00052570103
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0005136733
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.00051250437
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.00051000837
cat__Polymer Grade 3_I'm green™ STN7006,0.0005030388
cat__Polymer Grade 5_Ingeo 4032D,0.00050046406
cat__Polymer Grade 4_LDPE LD 150,0.0004899655
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0004794618
cat__Polymer Grade 4_Total PPH 3270,0.0004792747
cat__Polymer Grade 4_Tunhe TH801T,0.00047696033
cat__Polymer Grade 2_Total PPH 3270,0.00045914666
cat__Polymer Grade 5_Ingeo 4043D,0.0004333637
cat__Polymer Grade 4_Capa™ 6800,0.00043031204
cat__Polymer Grade 5_PHACT S1000P,0.00042638544
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0004253922
num__Thickness (um),0.0004213539
num__ethyl_chain,0.000419113
cat__Polymer Grade 5_BioPBS™ FD92,0.00040903557
cat__Polymer Grade 2_BioPBS™ FD92,0.00039808435
