feature,importance
num__ester,0.08961301
num__branching_factor,0.06552559
num__alcohol,0.056330997
num__ketone,0.04869394
num__tertiary_carbon,0.04832389
cat__Polymer Grade 1_CX-C6,0.039039362
num__secondary_carbon,0.036731992
num__propyl_chain,0.033967283
num__primary_carbon,0.027237458
num__tree_depth,0.025104793
num__ether,0.023901975
num__SP3_N,0.022961581
num__vinyl,0.021030838
cat__Polymer Grade 1_PHACT A1000P,0.018904617
num__secondary_amine,0.018867517
cat__Polymer Grade 4_PHACT A1000P,0.017480673
num__Thickness (um),0.016561462
cat__Polymer Grade 3_PHACT A1000P,0.015496669
cat__Polymer Grade 2_PHACT A1000P,0.014220238
num__phenyls,0.014031183
num__SP2_C,0.012389319
cat__Polymer Grade 5_Unknown,0.012380059
cat__Polymer Grade 2_BioPBS™ FZ91,0.012011976
cat__Polymer Grade 4_PBS TH803S,0.011528125
num__SP3_C,0.011398978
cat__Polymer Grade 3_PBS TH803S,0.011264763
cat__Polymer Grade 3_BioPBS™ FZ91,0.0107570095
num__SP3_O,0.010638161
cat__Polymer Grade 1_BioPBS™ FZ91,0.010362036
cat__Polymer Grade 1_PBS TH803S,0.009295577
cat__Polymer Grade 2_PHACT S1000P,0.009216165
cat__Polymer Grade 2_PBS TH803S,0.008785174
cat__Polymer Grade 3_Ingeo 4043D,0.008476066
num__SP2_O,0.0079204505
cat__Polymer Grade 2_Capa™ 6500,0.0071434425
cat__Polymer Grade 4_BioPBS™ FZ91,0.006896918
cat__Polymer Grade 3_PHACT S1000P,0.006559489
num__long_chain,0.0063629644
cat__Polymer Grade 1_PHACT S1000P,0.0062707644
cat__Polymer Grade 3_Capa™ 6800,0.0061450773
cat__Polymer Grade 1_Luminy® L175,0.005574971
num__vol_fraction4,0.005408523
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0042162836
cat__Polymer Grade 5_BioPBS™ FZ91,0.004011595
cat__Polymer Grade 5_PHACT A1000P,0.003882143
cat__Polymer Grade 4_PHACT S1000P,0.0038398344
cat__Polymer Grade 2_Ingeo 4043D,0.0035913098
cat__Polymer Grade 2_EVAL F171B,0.0035591228
num__vol_fraction1,0.0033837282
cat__Polymer Grade 3_Ingeo 4032D,0.0032851605
cat__Polymer Grade 3_Luminy® L175,0.0031865581
num__vol_fraction2,0.0031749127
cat__Polymer Grade 5_PHACT S1000P,0.0031241374
cat__Polymer Grade 2_Ingeo 4032D,0.003102004
cat__Polymer Grade 5_PBS TH803S,0.002959681
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.002917193
num__vol_fraction3,0.0028096456
cat__Polymer Grade 5_Total PPH 3270,0.0027339594
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0027240464
cat__Polymer Grade 2_Ecoworld,0.0026195447
cat__Polymer Grade 2_Green Planet™ PHBH,0.0026038282
cat__Polymer Grade 1_Capa™ 6800,0.0025732836
cat__Polymer Grade 4_Unknown,0.0024795022
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0024696945
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0024496978
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0024209213
cat__Polymer Grade 2_ENMAT Y3000,0.0023802558
num__vol_fraction5,0.002326045
cat__Polymer Grade 3_Capa™ 6500,0.0023207394
cat__Polymer Grade 4_Luminy® L175,0.0022507797
cat__Polymer Grade 5_BioPBS™ FD92,0.002201543
cat__Polymer Grade 1_Ingeo 4032D,0.0021487284
cat__Polymer Grade 3_Polylactide,0.0020090826
cat__Polymer Grade 2_Luminy® L175,0.001943351
cat__Polymer Grade 1_Ecoworld,0.001816656
cat__Polymer Grade 2_Kuredux® PGA,0.0017916044
cat__Polymer Grade 4_Ingeo 4032D,0.0017164019
cat__Polymer Grade 4_Ingeo 4043D,0.0016613591
cat__Polymer Grade 4_Green Planet™ PHBH,0.0016608143
cat__Polymer Grade 3_Total PPH 3270,0.0016113608
cat__Polymer Grade 3_ENMAT Y3000,0.0016033945
cat__Polymer Grade 5_Ingeo 4032D,0.0015762816
cat__Polymer Grade 1_Ingeo 4043D,0.0015734317
cat__Polymer Grade 4_Capa™ 6500,0.0015524817
