feature,importance
num__vinyl,0.09653511
num__SP3_N,0.073501274
num__amide,0.07091704
num__SP3_O,0.057203323
num__SP2_C,0.056306116
num__secondary_amine,0.050120432
num__SP2_O,0.04390605
num__phenyls,0.024809806
num__ether,0.02097612
num__long_chain,0.016682278
num__SP3_C,0.015192509
cat__Polymer Grade 5_Kuredux® PGA,0.014734703
cat__Polymer Grade 3_Kuredux® PGA,0.014424447
num__branching_factor,0.012415717
num__quaternary_carbon,0.011964655
num__secondary_carbon,0.011497724
num__SP3_Cl,0.011073221
num__tree_depth,0.010909587
num__ester,0.010774528
num__ketone,0.010036377
cat__Polymer Grade 2_Kuredux® PGA,0.009477072
num__tertiary_carbon,0.009269658
cat__Polymer Grade 4_Kuredux® PGA,0.009125384
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0090441
num__primary_carbon,0.008709894
cat__Polymer Grade 1_Kuredux® PGA,0.007629268
num__ethyl_chain,0.0067854947
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.006781951
num__Thickness (um),0.0067404835
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0067317514
cat__Polymer Grade 4_PHACT A1000P,0.006087813
cat__Polymer Grade 3_PHACT A1000P,0.0059473743
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.005947138
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.005907162
cat__Polymer Grade 5_PHACT A1000P,0.0056222603
cat__Polymer Grade 4_BioPBS™ FZ91,0.005313939
cat__Polymer Grade 3_BioPBS™ FZ91,0.005304659
num__alcohol,0.004607396
cat__Polymer Grade 4_Total PPH 3270,0.00455082
cat__Polymer Grade 5_Total PPH 3270,0.004536902
cat__Polymer Grade 5_LDPE LD 150,0.004314522
cat__Polymer Grade 5_Barrialon CX C6,0.0042934073
num__vol_fraction5,0.004185431
cat__Polymer Grade 2_PHACT A1000P,0.0036916581
cat__Polymer Grade 3_Total PPH 3270,0.0035242138
num__vol_fraction4,0.0034303134
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0033642128
num__propyl_chain,0.0033583213
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0033119728
cat__Polymer Grade 1_Total PPH 3270,0.0030901053
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0030821557
cat__Polymer Grade 1_PHACT A1000P,0.0030388192
num__vol_fraction3,0.003028435
cat__Polymer Grade 5_BIOCYCLE® 1000,0.0030078564
cat__Polymer Grade 2_Total PPH 3270,0.002886543
num__vol_fraction2,0.002850514
cat__Polymer Grade 5_ENMAT™ Y1000P,0.00284786
cat__Polymer Grade 5_Unknown,0.002801311
cat__Polymer Grade 5_I'm green™ STN7006,0.002737544
cat__Polymer Grade 1_BioPBS™ FZ91,0.0027308105
cat__Polymer Grade 5_ENMAT Y3000,0.002672795
cat__Polymer Grade 2_BioPBS™ FZ91,0.0026488854
num__vol_fraction1,0.0026441251
cat__Polymer Grade 4_Unknown,0.0026348797
cat__Polymer Grade 5_Green Planet™ PHBH,0.0025540837
cat__Polymer Grade 5_Polylactide,0.0025365443
cat__Polymer Grade 4_LDPE LD 150,0.0024438044
cat__Polymer Grade 2_Polylactide,0.0024170321
cat__Polymer Grade 3_Polylactide,0.0024135176
cat__Polymer Grade 4_Tunhe TH801T,0.0023453133
cat__Polymer Grade 1_Polylactide,0.0023027544
