feature,importance
num__vinyl,0.10521853
num__SP2_C,0.060906168
num__ether,0.06020583
num__SP3_N,0.05934743
num__amide,0.05308536
num__secondary_amine,0.04470961
num__SP3_O,0.03575336
num__SP2_O,0.031416368
num__phenyls,0.025591604
num__tertiary_carbon,0.01592431
num__ketone,0.014958048
num__tree_depth,0.01286413
num__SP3_C,0.0123184025
num__secondary_carbon,0.011523126
num__long_chain,0.0114406
num__quaternary_carbon,0.011388371
num__branching_factor,0.010675382
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.01061867
num__SP3_Cl,0.0103333425
cat__Polymer Grade 4_Total PPH 3270,0.010120342
num__primary_carbon,0.009980766
num__ester,0.009331995
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.009051957
cat__Polymer Grade 5_PHACT A1000P,0.008803133
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.008662977
cat__Polymer Grade 3_PHACT A1000P,0.008614841
cat__Polymer Grade 3_Kuredux® PGA,0.008462419
cat__Polymer Grade 5_Kuredux® PGA,0.008231743
cat__Polymer Grade 3_Total PPH 3270,0.007688499
cat__Polymer Grade 4_PHACT A1000P,0.0070383423
cat__Polymer Grade 5_Total PPH 3270,0.0069887894
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0069696703
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.006124123
num__ethyl_chain,0.0060294066
cat__Polymer Grade 2_PHACT A1000P,0.0056733745
num__Thickness (um),0.005663485
cat__Polymer Grade 1_Total PPH 3270,0.0054992195
cat__Polymer Grade 2_Total PPH 3270,0.005313776
cat__Polymer Grade 3_BioPBS™ FZ91,0.0050694207
cat__Polymer Grade 4_BioPBS™ FZ91,0.0049615894
num__vol_fraction5,0.0049285744
cat__Polymer Grade 2_Kuredux® PGA,0.004524938
cat__Polymer Grade 4_Kuredux® PGA,0.0043682326
num__propyl_chain,0.0040375795
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0039904574
cat__Polymer Grade 5_LDPE LD 150,0.003744205
cat__Polymer Grade 5_Barrialon CX C6,0.0037318307
num__vol_fraction4,0.00358962
cat__Polymer Grade 1_PHACT A1000P,0.0035561011
cat__Polymer Grade 4_Unknown,0.0034791445
cat__Polymer Grade 5_ENMAT Y3000,0.003461221
num__alcohol,0.0033285797
cat__Polymer Grade 5_Ecovance rf-PBAT,0.00330608
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0032556802
cat__Polymer Grade 1_Kuredux® PGA,0.003252671
cat__Polymer Grade 5_Unknown,0.0032201533
