feature,importance
num__vinyl,0.08558857
num__SP3_N,0.0652951
num__amide,0.0647554
num__SP2_C,0.063651636
num__secondary_amine,0.05036992
num__SP2_O,0.049979787
num__SP3_O,0.049201023
num__phenyls,0.026316214
num__ether,0.02581816
num__long_chain,0.018643493
num__branching_factor,0.017779319
cat__Polymer Grade 3_Kuredux® PGA,0.015576644
cat__Polymer Grade 5_Kuredux® PGA,0.0139375385
num__SP3_C,0.011906532
cat__Polymer Grade 2_Kuredux® PGA,0.011579295
num__ester,0.0115722185
num__tree_depth,0.011271822
num__quaternary_carbon,0.011232488
num__SP3_Cl,0.011127754
num__ketone,0.011098962
num__primary_carbon,0.010425129
num__tertiary_carbon,0.010009541
num__secondary_carbon,0.009191232
cat__Polymer Grade 1_Kuredux® PGA,0.008864108
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.008367266
num__Thickness (um),0.008111355
cat__Polymer Grade 4_PHACT A1000P,0.008089808
cat__Polymer Grade 4_Kuredux® PGA,0.007915232
cat__Polymer Grade 5_PHACT A1000P,0.007779519
cat__Polymer Grade 3_PHACT A1000P,0.0076189423
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.005839351
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0058212774
cat__Polymer Grade 4_Total PPH 3270,0.0056016636
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0054215854
cat__Polymer Grade 3_BioPBS™ FZ91,0.0053268443
cat__Polymer Grade 4_BioPBS™ FZ91,0.0051633944
num__vol_fraction5,0.005136202
cat__Polymer Grade 3_Total PPH 3270,0.004815523
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.004508491
cat__Polymer Grade 5_Barrialon CX C6,0.004485307
cat__Polymer Grade 5_Total PPH 3270,0.004370884
num__ethyl_chain,0.0043314705
cat__Polymer Grade 5_LDPE LD 150,0.0041874037
num__propyl_chain,0.004169191
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0041226866
cat__Polymer Grade 1_Total PPH 3270,0.0039669317
cat__Polymer Grade 2_PHACT A1000P,0.003873947
num__alcohol,0.0037431845
cat__Polymer Grade 2_Total PPH 3270,0.0035006166
cat__Polymer Grade 5_Unknown,0.0034901267
num__vol_fraction4,0.003489083
cat__Polymer Grade 1_PHACT A1000P,0.003462213
num__vol_fraction2,0.0033614407
num__vol_fraction3,0.0033537087
cat__Polymer Grade 4_Unknown,0.0032372768
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0032371797
num__vol_fraction1,0.0029771214
cat__Polymer Grade 2_BioPBS™ FZ91,0.0029748152
cat__Polymer Grade 1_BioPBS™ FZ91,0.0028736107
cat__Polymer Grade 4_Tunhe TH801T,0.0027725017
cat__Polymer Grade 3_Barrialon CX C6,0.0025507708
cat__Polymer Grade 5_EVAL F171B,0.0025378105
cat__Polymer Grade 3_Capa™ 6500,0.0025365918
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0024507667
cat__Polymer Grade 2_I'm green™ STN7006,0.0023408714
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.002288943
cat__Polymer Grade 2_Green Planet™ PHBH,0.0022856311
cat__Polymer Grade 3_Polylactide,0.002281597
cat__Polymer Grade 5_Capa™ 6800,0.0022762113
cat__Polymer Grade 5_Tunhe TH801T,0.0022325614
cat__Polymer Grade 2_Polylactide,0.0022151398
cat__Polymer Grade 5_I'm green™ STN7006,0.0022075612
cat__Polymer Grade 5_Green Planet™ PHBH,0.002192206
cat__Polymer Grade 5_BIOCYCLE® 1000,0.0021721064
cat__Polymer Grade 5_BioPBS™ FD92,0.0021676784
cat__Polymer Grade 3_BioPBS™ FD92,0.0021475705
cat__Polymer Grade 5_ENMAT Y3000,0.0020925486
cat__Polymer Grade 5_PHACT S1000P,0.0020840843
cat__Polymer Grade 2_BioPBS™ FD92,0.0020720717
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0020058705
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0020036686
cat__Polymer Grade 5_Polylactide,0.0019399951
cat__Polymer Grade 1_Polylactide,0.0019121957
cat__Polymer Grade 2_Ecoworld,0.0019103119
cat__Polymer Grade 4_LDPE LD 150,0.0018702539
cat__Polymer Grade 5_Capa™ 6500,0.0018392064
cat__Polymer Grade 4_Polylactide,0.0018315696
cat__Polymer Grade 5_ENMAT™ Y1000P,0.0018200916
cat__Polymer Grade 2_ENMAT Y3000,0.0018187045
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0018164181
cat__Polymer Grade 4_Luminy® L175,0.0018031569
cat__Polymer Grade 4_BioPBS™ FD92,0.0017976906
cat__Polymer Grade 4_PHACT S1000P,0.0017887786
cat__Polymer Grade 2_Barrialon CX C6,0.001776685
cat__Polymer Grade 3_LDPE LD 150,0.0017616724
cat__Polymer Grade 4_Barrialon CX C6,0.0017521325
cat__Polymer Grade 2_PHACT S1000P,0.0017385061
cat__Polymer Grade 4_ENMAT Y3000,0.0017114175
cat__Polymer Grade 3_Capa™ 6800,0.0017054675
cat__Polymer Grade 4_Capa™ 6800,0.0017030578
cat__Polymer Grade 5_Ingeo 4043D,0.0017006051
cat__Polymer Grade 3_Green Planet™ PHBH,0.0016968774
cat__Polymer Grade 2_Capa™ 6800,0.0016927124
cat__Polymer Grade 4_BIOCYCLE® 1000,0.0016899178
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0016347332
cat__Polymer Grade 5_BioPBS™ FZ91,0.0016233671
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0016211381
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0016039669
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0015976704
cat__Polymer Grade 3_Ecoworld,0.0015228837
cat__Polymer Grade 1_ENMAT Y3000,0.0015153164
cat__Polymer Grade 3_I'm green™ STN7006,0.0014819644
cat__Polymer Grade 5_Ecoworld,0.0014785781
cat__Polymer Grade 2_Tunhe TH801T,0.0014650156
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0014442249
cat__Polymer Grade 3_ENMAT Y3000,0.0014367861
cat__Polymer Grade 3_Tunhe TH801T,0.0014305383
cat__Polymer Grade 3_EVAL F171B,0.0014300733
cat__Polymer Grade 1_Tunhe TH801T,0.0014294253
cat__Polymer Grade 1_BIOCYCLE® 1000,0.0014008547
cat__Polymer Grade 2_Ingeo 4043D,0.0013848919
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.001373922
cat__Polymer Grade 5_Ingeo 4032D,0.0013674524
cat__Polymer Grade 5_Luminy® L175,0.001366606
cat__Polymer Grade 4_I'm green™ STN7006,0.0013523462
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0013433159
cat__Polymer Grade 3_Luminy® L175,0.0013388129
cat__Polymer Grade 2_BIOCYCLE® 1000,0.0013187609
cat__Polymer Grade 1_Capa™ 6500,0.0013058404
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0012878176
cat__Polymer Grade 3_BIOCYCLE® 1000,0.001284517
cat__Polymer Grade 2_LDPE LD 150,0.0012833254
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.001279008
cat__Polymer Grade 4_Green Planet™ PHBH,0.0012609939
cat__Polymer Grade 4_Capa™ 6500,0.0012441665
cat__Polymer Grade 3_Ingeo 4032D,0.0012339954
cat__Polymer Grade 1_Green Planet™ PHBH,0.0012187687
cat__Polymer Grade 1_BioPBS™ FD92,0.0011922109
cat__Polymer Grade 1_Capa™ 6800,0.0011674204
cat__Polymer Grade 4_Ingeo 4043D,0.0011638895
cat__Polymer Grade 4_EVAL F171B,0.0011548395
cat__Polymer Grade 1_Barrialon CX C6,0.0011391348
cat__Polymer Grade 4_PBS TH803S,0.0010972101
cat__Polymer Grade 3_PHACT S1000P,0.0010906346
