feature,importance
num__vinyl,0.1021194
num__ether,0.07149719
num__SP2_C,0.066264644
num__SP3_N,0.05297355
num__amide,0.051109295
num__secondary_amine,0.03785969
num__SP3_O,0.03116759
num__SP2_O,0.027500216
num__phenyls,0.02736736
num__ketone,0.016240977
num__tertiary_carbon,0.013832775
num__long_chain,0.013763643
num__tree_depth,0.013647876
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.013091977
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.011761726
cat__Polymer Grade 5_PHACT A1000P,0.011471845
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0111588
num__SP3_C,0.011047899
num__branching_factor,0.010684622
num__primary_carbon,0.010566307
cat__Polymer Grade 3_PHACT A1000P,0.010461226
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.009673925
num__ester,0.009527853
cat__Polymer Grade 3_Kuredux® PGA,0.009016152
num__quaternary_carbon,0.008646551
cat__Polymer Grade 4_PHACT A1000P,0.008548234
num__secondary_carbon,0.0076238653
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.007550409
cat__Polymer Grade 5_Kuredux® PGA,0.007504632
cat__Polymer Grade 4_Total PPH 3270,0.007468183
cat__Polymer Grade 3_Total PPH 3270,0.006877002
num__SP3_Cl,0.006557479
num__Thickness (um),0.0062709283
cat__Polymer Grade 5_Total PPH 3270,0.0057531246
cat__Polymer Grade 2_Kuredux® PGA,0.005703259
cat__Polymer Grade 2_PHACT A1000P,0.005671528
num__vol_fraction5,0.0053412877
cat__Polymer Grade 3_BioPBS™ FZ91,0.0052450635
cat__Polymer Grade 1_Total PPH 3270,0.0050300523
cat__Polymer Grade 4_BioPBS™ FZ91,0.0048345746
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0046747657
cat__Polymer Grade 2_Total PPH 3270,0.0045810887
cat__Polymer Grade 5_LDPE LD 150,0.0045008166
cat__Polymer Grade 4_Kuredux® PGA,0.0044678706
num__ethyl_chain,0.0043844567
num__propyl_chain,0.0043404414
cat__Polymer Grade 1_Kuredux® PGA,0.0041919164
cat__Polymer Grade 5_Unknown,0.0040618093
cat__Polymer Grade 4_Unknown,0.003908533
num__vol_fraction4,0.0038979836
cat__Polymer Grade 1_PHACT A1000P,0.0038723499
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0037830141
cat__Polymer Grade 4_Tunhe TH801T,0.0033772308
num__vol_fraction2,0.0032331108
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0030749051
cat__Polymer Grade 5_PHACT S1000P,0.0030715596
cat__Polymer Grade 5_Tunhe TH801T,0.0030652052
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0029657485
num__vol_fraction1,0.002943822
num__vol_fraction3,0.0029376948
cat__Polymer Grade 5_Polylactide,0.0029292821
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.002850272
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0027386951
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0026767375
cat__Polymer Grade 5_Capa™ 6800,0.0026761906
cat__Polymer Grade 5_Barrialon CX C6,0.002650738
cat__Polymer Grade 2_BioPBS™ FZ91,0.0026414313
cat__Polymer Grade 1_BioPBS™ FZ91,0.0026001784
cat__Polymer Grade 5_ENMAT Y3000,0.002519801
cat__Polymer Grade 4_PHACT S1000P,0.0024769078
cat__Polymer Grade 5_EVAL F171B,0.0024334656
num__alcohol,0.0024168498
cat__Polymer Grade 5_Green Planet™ PHBH,0.002396779
cat__Polymer Grade 4_ENMAT Y3000,0.0023277267
cat__Polymer Grade 3_BioPBS™ FD92,0.0023064255
cat__Polymer Grade 4_BIOCYCLE® 1000,0.002281329
cat__Polymer Grade 4_Luminy® L175,0.002273379
cat__Polymer Grade 3_Capa™ 6500,0.0022418445
cat__Polymer Grade 5_ENMAT™ Y1000P,0.0022133284
cat__Polymer Grade 3_Ecoworld,0.0021978305
cat__Polymer Grade 4_Capa™ 6800,0.0021925783
cat__Polymer Grade 2_PHACT S1000P,0.0021536085
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0021479412
cat__Polymer Grade 5_BioPBS™ FD92,0.0021415874
cat__Polymer Grade 5_Ingeo 4032D,0.002133866
cat__Polymer Grade 2_ENMAT Y3000,0.0021295187
cat__Polymer Grade 2_Green Planet™ PHBH,0.0021109367
cat__Polymer Grade 3_Polylactide,0.0020746922
cat__Polymer Grade 5_BIOCYCLE® 1000,0.002051471
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0020438908
cat__Polymer Grade 2_Ecoworld,0.0020426966
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0019736043
cat__Polymer Grade 5_Ecoworld,0.0019689435
