feature,importance
num__vinyl,0.108387776
num__SP2_C,0.06559679
num__ether,0.060810883
num__SP3_N,0.0542945
num__amide,0.052824304
num__SP3_O,0.034758464
num__secondary_amine,0.031388693
num__SP2_O,0.031070279
num__phenyls,0.028990557
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.017450696
num__ketone,0.01569531
num__tree_depth,0.014146509
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.014099308
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.013154707
num__long_chain,0.012394703
num__SP3_C,0.01222395
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.012063351
cat__Polymer Grade 4_Total PPH 3270,0.011286061
num__tertiary_carbon,0.010529441
cat__Polymer Grade 5_PHACT A1000P,0.010488845
num__branching_factor,0.00964987
num__ester,0.009413133
cat__Polymer Grade 3_PHACT A1000P,0.009027205
num__quaternary_carbon,0.008760574
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.008718393
num__primary_carbon,0.008618106
cat__Polymer Grade 4_PHACT A1000P,0.007886427
num__secondary_carbon,0.0077242595
cat__Polymer Grade 3_Total PPH 3270,0.0076484988
cat__Polymer Grade 3_Kuredux® PGA,0.0076210354
num__SP3_Cl,0.0067178574
num__ethyl_chain,0.0066780495
cat__Polymer Grade 2_Total PPH 3270,0.006655538
cat__Polymer Grade 5_Kuredux® PGA,0.006037017
num__Thickness (um),0.0058769546
cat__Polymer Grade 1_Total PPH 3270,0.005709359
num__vol_fraction5,0.0055967574
cat__Polymer Grade 2_PHACT A1000P,0.005542781
cat__Polymer Grade 2_Kuredux® PGA,0.005393923
cat__Polymer Grade 4_Kuredux® PGA,0.0048664403
cat__Polymer Grade 3_BioPBS™ FZ91,0.0048428616
cat__Polymer Grade 4_BioPBS™ FZ91,0.0045126826
cat__Polymer Grade 5_Total PPH 3270,0.0044546793
cat__Polymer Grade 4_Unknown,0.0043484275
num__propyl_chain,0.004260987
cat__Polymer Grade 5_Ecovance rf-PBAT,0.00413789
cat__Polymer Grade 1_Kuredux® PGA,0.0041370266
