feature,importance
cat__Polymer Grade 4_BioPBS™ FZ91,0.12597778
cat__Polymer Grade 5_BioPBS™ FZ91,0.113720745
cat__Polymer Grade 3_BioPBS™ FZ91,0.08915171
cat__Polymer Grade 2_BioPBS™ FZ91,0.052102026
num__ether,0.027099486
cat__Polymer Grade 1_BioPBS™ FZ91,0.023632996
cat__Polymer Grade 4_PHACT A1000P,0.023562197
cat__Polymer Grade 5_PHACT A1000P,0.02231323
num__vinyl,0.020104859
num__ethyl_chain,0.01995104
num__propyl_chain,0.01435767
cat__Polymer Grade 4_I'm green™ STN7006,0.013013702
cat__Polymer Grade 3_PHACT A1000P,0.012973903
num__ketone,0.012103974
cat__Polymer Grade 3_I'm green™ STN7006,0.0120683815
cat__Polymer Grade 2_I'm green™ STN7006,0.0118699735
cat__Polymer Grade 4_Ecoworld,0.011764384
cat__Polymer Grade 4_BioPBS™ FD92,0.011565432
cat__Polymer Grade 5_I'm green™ STN7006,0.010445522
cat__Polymer Grade 5_Total PPH 3270,0.010196248
num__SP3_C,0.009539365
cat__Polymer Grade 5_BioPBS™ FD92,0.009537906
cat__Polymer Grade 4_PHACT S1000P,0.009454444
cat__Polymer Grade 3_ENMAT Y3000,0.009298912
cat__Polymer Grade 3_PHACT S1000P,0.009297974
num__branching_factor,0.009123848
cat__Polymer Grade 3_Tunhe TH801T,0.008051015
cat__Polymer Grade 2_PHACT A1000P,0.0080246525
cat__Polymer Grade 3_BioPBS™ FD92,0.007813122
num__phenyls,0.0077884123
cat__Polymer Grade 5_ENMAT Y3000,0.007725647
cat__Polymer Grade 2_ENMAT Y3000,0.00747151
cat__Polymer Grade 5_Ecoworld,0.0073109805
cat__Polymer Grade 4_ENMAT Y3000,0.007276651
cat__Polymer Grade 2_PHACT S1000P,0.007021235
cat__Polymer Grade 5_PHACT S1000P,0.0067464295
num__tertiary_carbon,0.0066160155
num__secondary_carbon,0.0064989184
cat__Polymer Grade 2_Ecoworld,0.006398492
cat__Polymer Grade 1_Kuredux® PGA,0.006336134
num__ester,0.0059884223
num__secondary_amine,0.005659626
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0055561597
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0052766358
cat__Polymer Grade 3_Ecoworld,0.0051437546
cat__Polymer Grade 2_Kuredux® PGA,0.0050346483
num__SP2_C,0.005030771
cat__Polymer Grade 1_I'm green™ STN7006,0.004917752
num__vol_fraction4,0.0048110434
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.004765407
