feature,importance
cat__Polymer Grade 5_BioPBS™ FZ91,0.11540899
cat__Polymer Grade 4_BioPBS™ FZ91,0.11350638
cat__Polymer Grade 3_BioPBS™ FZ91,0.07051612
cat__Polymer Grade 2_BioPBS™ FZ91,0.04471184
num__ethyl_chain,0.032214142
num__ether,0.02629665
cat__Polymer Grade 4_PHACT A1000P,0.022697493
cat__Polymer Grade 5_PHACT A1000P,0.021787545
num__vinyl,0.021024782
cat__Polymer Grade 1_BioPBS™ FZ91,0.018617265
cat__Polymer Grade 4_I'm green™ STN7006,0.01397912
num__branching_factor,0.0139754005
cat__Polymer Grade 4_BioPBS™ FD92,0.013156955
cat__Polymer Grade 4_Ecoworld,0.012635505
cat__Polymer Grade 3_I'm green™ STN7006,0.012598634
num__ketone,0.012231607
cat__Polymer Grade 4_PHACT S1000P,0.0120515395
cat__Polymer Grade 3_PHACT A1000P,0.011918927
num__SP3_C,0.011761707
cat__Polymer Grade 3_ENMAT Y3000,0.011546084
num__propyl_chain,0.011053034
cat__Polymer Grade 5_I'm green™ STN7006,0.010969275
cat__Polymer Grade 2_I'm green™ STN7006,0.010196443
cat__Polymer Grade 5_BioPBS™ FD92,0.0095575955
cat__Polymer Grade 4_ENMAT Y3000,0.008830079
cat__Polymer Grade 2_ENMAT Y3000,0.0087999
cat__Polymer Grade 3_PHACT S1000P,0.00874398
cat__Polymer Grade 4_ENMAT™ Y1000P,0.008107301
cat__Polymer Grade 5_PHACT S1000P,0.007878673
cat__Polymer Grade 2_PHACT S1000P,0.00753653
cat__Polymer Grade 5_Total PPH 3270,0.00746266
cat__Polymer Grade 5_Ecoworld,0.007284804
cat__Polymer Grade 5_ENMAT Y3000,0.0069400123
cat__Polymer Grade 5_ENMAT™ Y1000P,0.0067062415
num__tertiary_carbon,0.006534615
cat__Polymer Grade 2_PHACT A1000P,0.006356273
cat__Polymer Grade 1_ENMAT Y3000,0.0063000945
cat__Polymer Grade 4_Capa™ 6800,0.0062402333
cat__Polymer Grade 5_Unknown,0.0060009477
num__phenyls,0.0059999935
cat__Polymer Grade 1_PHACT A1000P,0.005940942
cat__Polymer Grade 1_Kuredux® PGA,0.0058368244
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0058338325
num__ester,0.0057678786
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0056009106
num__secondary_carbon,0.00546116
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.005182314
cat__Polymer Grade 4_Unknown,0.005132743
cat__Polymer Grade 2_Green Planet™ PHBH,0.0049178125
num__vol_fraction4,0.0047245217
num__SP3_O,0.0047020656
