feature,importance
cat__Polymer Grade 5_BioPBS™ FZ91,0.109025136
cat__Polymer Grade 4_BioPBS™ FZ91,0.10234561
cat__Polymer Grade 3_BioPBS™ FZ91,0.070399605
cat__Polymer Grade 2_BioPBS™ FZ91,0.04417776
num__ether,0.033651605
cat__Polymer Grade 4_PHACT A1000P,0.028821507
num__ethyl_chain,0.028820997
cat__Polymer Grade 5_PHACT A1000P,0.026336255
cat__Polymer Grade 1_BioPBS™ FZ91,0.024120357
num__vinyl,0.020504158
cat__Polymer Grade 3_PHACT A1000P,0.01701583
num__propyl_chain,0.016511181
cat__Polymer Grade 3_I'm green™ STN7006,0.014437557
cat__Polymer Grade 4_I'm green™ STN7006,0.013026727
num__ketone,0.012704379
cat__Polymer Grade 3_ENMAT Y3000,0.012678741
num__phenyls,0.011943817
cat__Polymer Grade 4_Ecoworld,0.011575644
cat__Polymer Grade 4_BioPBS™ FD92,0.011179764
cat__Polymer Grade 4_PHACT S1000P,0.0110212425
cat__Polymer Grade 2_ENMAT Y3000,0.0108728325
cat__Polymer Grade 2_I'm green™ STN7006,0.010649786
cat__Polymer Grade 5_BioPBS™ FD92,0.01058097
cat__Polymer Grade 5_I'm green™ STN7006,0.010184527
cat__Polymer Grade 3_PHACT S1000P,0.009741786
cat__Polymer Grade 4_ENMAT Y3000,0.0097323125
cat__Polymer Grade 5_ENMAT Y3000,0.009393235
num__branching_factor,0.009256255
num__SP3_C,0.008693656
num__tertiary_carbon,0.008567796
cat__Polymer Grade 5_Ecoworld,0.008442897
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.008397271
num__ester,0.008122298
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.007060154
cat__Polymer Grade 1_ENMAT Y3000,0.006756928
cat__Polymer Grade 1_I'm green™ STN7006,0.0067448695
cat__Polymer Grade 2_PHACT A1000P,0.006525316
cat__Polymer Grade 3_Ecoworld,0.0062704454
cat__Polymer Grade 2_Kuredux® PGA,0.0060920957
cat__Polymer Grade 3_BioPBS™ FD92,0.006057105
cat__Polymer Grade 5_PHACT S1000P,0.0060128323
num__secondary_carbon,0.005890974
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0058712
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.005788708
cat__Polymer Grade 1_Kuredux® PGA,0.0056656743
cat__Polymer Grade 3_Kuredux® PGA,0.0053165066
num__SP2_C,0.0051243943
num__primary_carbon,0.004955884
cat__Polymer Grade 5_Ingeo 4032D,0.004752208
cat__Polymer Grade 2_Ecoworld,0.0047452482
cat__Polymer Grade 5_Unknown,0.004693177
cat__Polymer Grade 1_PHACT A1000P,0.0044012405
cat__Polymer Grade 2_PBS TH803S,0.004299014
cat__Polymer Grade 2_PHACT S1000P,0.0041482695
num__Thickness (um),0.004123779
num__SP3_O,0.0040348484
num__vol_fraction3,0.004023195
num__vol_fraction1,0.00396446
num__vol_fraction4,0.003916042
cat__Polymer Grade 4_Capa™ 6500,0.003912846
cat__Polymer Grade 5_EVAL F171B,0.0038948753
