feature,importance
num__vinyl,0.090571165
num__amide,0.083966434
num__SP3_O,0.0629106
num__SP3_N,0.053174477
num__SP2_C,0.050094925
num__ethyl_chain,0.03148565
cat__Polymer Grade 5_I'm green™ STN7006,0.025036197
num__phenyls,0.022501651
cat__Polymer Grade 5_LDPE LD 150,0.020254772
num__ether,0.016932148
num__tree_depth,0.014816965
cat__Polymer Grade 5_Unknown,0.014189414
num__SP3_C,0.013886385
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.013349193
cat__Polymer Grade 3_Unknown,0.011437405
num__tertiary_carbon,0.011136344
cat__Polymer Grade 4_I'm green™ STN7006,0.011102687
num__SP2_O,0.011098429
num__secondary_carbon,0.010963899
cat__Polymer Grade 3_LDPE LD 150,0.010707012
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.010430425
num__primary_carbon,0.009742858
num__alcohol,0.00943377
num__secondary_amine,0.00918707
num__long_chain,0.009020157
num__ketone,0.008966229
cat__Polymer Grade 1_ENMAT Y3000,0.008841434
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.008758979
cat__Polymer Grade 3_I'm green™ STN7006,0.0085810125
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.008542023
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.008283745
num__propyl_chain,0.008246872
cat__Polymer Grade 3_ENMAT Y3000,0.008217728
cat__Polymer Grade 2_ENMAT Y3000,0.008203399
num__ester,0.008078412
num__Thickness (um),0.007675268
cat__Polymer Grade 2_Kuredux® PGA,0.007541546
cat__Polymer Grade 2_BioPBS™ FZ91,0.0074290666
cat__Polymer Grade 2_PHACT A1000P,0.0073366403
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0067087566
cat__Polymer Grade 3_BioPBS™ FZ91,0.006681435
cat__Polymer Grade 1_LDPE LD 150,0.006661326
cat__Polymer Grade 4_ENMAT Y3000,0.006521912
cat__Polymer Grade 4_LDPE LD 150,0.0063036927
cat__Polymer Grade 5_BioPBS™ FD92,0.006238433
num__branching_factor,0.0061860876
cat__Polymer Grade 4_BioPBS™ FZ91,0.006089549
cat__Polymer Grade 1_Kuredux® PGA,0.005969658
cat__Polymer Grade 5_BioPBS™ FZ91,0.005969438
cat__Polymer Grade 2_LDPE LD 150,0.005733557
cat__Polymer Grade 3_PHACT A1000P,0.005580426
num__vol_fraction4,0.00538555
cat__Polymer Grade 4_Unknown,0.005224953
cat__Polymer Grade 3_Kuredux® PGA,0.0050579086
cat__Polymer Grade 5_ENMAT Y3000,0.0050281654
cat__Polymer Grade 4_Luminy® L175,0.00501619
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0049832226
cat__Polymer Grade 3_Ecovance rf-PBAT,0.004876708
cat__Polymer Grade 5_Kuredux® PGA,0.004602961
num__vol_fraction5,0.0044500744
cat__Polymer Grade 1_BioPBS™ FZ91,0.0044236355
cat__Polymer Grade 4_Green Planet™ PHBH,0.00440097
cat__Polymer Grade 2_Tunhe TH801T,0.0043952116
cat__Polymer Grade 1_PHACT A1000P,0.0041054147
cat__Polymer Grade 4_Total PPH 3270,0.0039355606
cat__Polymer Grade 4_Kuredux® PGA,0.0038659284
cat__Polymer Grade 4_Polylactide,0.0037539625
cat__Polymer Grade 3_Tunhe TH801T,0.0036309413
cat__Polymer Grade 4_Tunhe TH801T,0.0036108394
cat__Polymer Grade 4_PHACT A1000P,0.0034145454
cat__Polymer Grade 5_Total PPH 3270,0.003312066
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0029662903
cat__Polymer Grade 1_Tunhe TH801T,0.002929966
cat__Polymer Grade 4_Capa™ 6500,0.0028242313
cat__Polymer Grade 5_PHACT A1000P,0.0027996677
cat__Polymer Grade 2_Green Planet™ PHBH,0.0026444416
cat__Polymer Grade 4_Ecoworld,0.0025968677
num__vol_fraction1,0.002539439
