feature,importance
num__ether,0.12758993
num__SP3_C,0.05665464
num__vinyl,0.055382498
cat__Polymer Grade 5_I'm green™ STN7006,0.044172153
num__ketone,0.036804684
num__branching_factor,0.033857554
cat__Polymer Grade 4_I'm green™ STN7006,0.028303472
num__SP3_N,0.024377922
cat__Polymer Grade 3_I'm green™ STN7006,0.018678367
num__primary_carbon,0.018270157
cat__Polymer Grade 4_Unknown,0.018091936
num__tertiary_carbon,0.017649962
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.015732443
num__phenyls,0.014697638
num__long_chain,0.014318628
num__SP2_C,0.014247931
cat__Polymer Grade 5_Unknown,0.013745501
num__secondary_carbon,0.012094306
cat__Polymer Grade 2_Kuredux® PGA,0.011408256
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.01027512
cat__Polymer Grade 5_PBS TH803S,0.009832313
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0096065225
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.009388459
num__Thickness (um),0.008125187
num__vol_fraction4,0.008112206
cat__Polymer Grade 4_ENMAT Y3000,0.007983274
cat__Polymer Grade 4_PHACT A1000P,0.007845432
num__propyl_chain,0.007820712
cat__Polymer Grade 5_ENMAT Y3000,0.0075340825
num__vol_fraction5,0.007426602
num__ester,0.007395412
cat__Polymer Grade 3_PHACT A1000P,0.0071622473
num__ethyl_chain,0.006906916
cat__Polymer Grade 2_PHACT A1000P,0.0066756397
num__SP3_O,0.0066616973
cat__Polymer Grade 3_ENMAT Y3000,0.006647486
num__tree_depth,0.006558036
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0063769794
cat__Polymer Grade 5_PHACT A1000P,0.0063743917
cat__Polymer Grade 3_Kuredux® PGA,0.006243387
cat__Polymer Grade 5_BioPBS™ FD92,0.0061829127
cat__Polymer Grade 2_ENMAT Y3000,0.0059641316
cat__Polymer Grade 1_PHACT A1000P,0.0058970093
cat__Polymer Grade 4_Tunhe TH801T,0.0057596597
cat__Polymer Grade 3_Polylactide,0.0057439706
cat__Polymer Grade 3_BioPBS™ FZ91,0.0056214556
cat__Polymer Grade 1_Kuredux® PGA,0.005527419
cat__Polymer Grade 3_Unknown,0.0054264492
num__secondary_amine,0.0054169
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0052940566
cat__Polymer Grade 2_Tunhe TH801T,0.0051339525
cat__Polymer Grade 4_BioPBS™ FD92,0.005025092
cat__Polymer Grade 2_PHACT S1000P,0.0048973793
cat__Polymer Grade 4_Green Planet™ PHBH,0.004764486
cat__Polymer Grade 5_Capa™ 6800,0.004541268
