feature,importance
num__amide,0.08879493
num__vinyl,0.07618886
num__SP3_N,0.064220764
num__SP3_O,0.05609379
num__SP2_C,0.041007616
cat__Polymer Grade 5_I'm green™ STN7006,0.029531961
cat__Polymer Grade 5_Unknown,0.021525702
cat__Polymer Grade 5_LDPE LD 150,0.021016298
num__phenyls,0.020396657
num__ethyl_chain,0.020255253
num__ether,0.0148847215
num__tree_depth,0.014682164
cat__Polymer Grade 3_I'm green™ STN7006,0.014397157
cat__Polymer Grade 2_ENMAT Y3000,0.01308394
cat__Polymer Grade 3_ENMAT Y3000,0.012768518
cat__Polymer Grade 4_I'm green™ STN7006,0.012624015
num__SP3_C,0.012499448
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.01137595
cat__Polymer Grade 3_Unknown,0.0112938285
cat__Polymer Grade 1_ENMAT Y3000,0.01117265
num__SP2_O,0.011147848
cat__Polymer Grade 4_ENMAT Y3000,0.009939973
cat__Polymer Grade 4_Unknown,0.009785042
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.009733948
cat__Polymer Grade 2_Kuredux® PGA,0.0095244115
num__secondary_carbon,0.008765937
num__Thickness (um),0.008586043
cat__Polymer Grade 4_LDPE LD 150,0.008567179
cat__Polymer Grade 1_Kuredux® PGA,0.008519635
cat__Polymer Grade 3_BioPBS™ FZ91,0.008403881
num__ketone,0.008355311
cat__Polymer Grade 1_LDPE LD 150,0.008267162
num__primary_carbon,0.008109531
cat__Polymer Grade 2_LDPE LD 150,0.007984632
num__long_chain,0.007976595
cat__Polymer Grade 3_Kuredux® PGA,0.0077604717
num__branching_factor,0.007728474
num__propyl_chain,0.0076905643
num__ester,0.007443599
cat__Polymer Grade 3_LDPE LD 150,0.00739591
cat__Polymer Grade 4_Kuredux® PGA,0.0071539963
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0070340866
num__tertiary_carbon,0.007023573
cat__Polymer Grade 4_Luminy® L175,0.006710022
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.006661489
cat__Polymer Grade 5_BioPBS™ FD92,0.0064917984
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0063235583
cat__Polymer Grade 5_Kuredux® PGA,0.0060189054
cat__Polymer Grade 1_BioPBS™ FZ91,0.0060057766
num__alcohol,0.0058836034
cat__Polymer Grade 2_BioPBS™ FZ91,0.0049952683
cat__Polymer Grade 5_ENMAT Y3000,0.0049888976
cat__Polymer Grade 4_BioPBS™ FZ91,0.004897452
num__vol_fraction4,0.0048843017
cat__Polymer Grade 5_Ecovance rf-PBAT,0.00482831
cat__Polymer Grade 3_PHACT A1000P,0.0045457766
cat__Polymer Grade 1_I'm green™ STN7006,0.0044414327
cat__Polymer Grade 4_Green Planet™ PHBH,0.0043094833
cat__Polymer Grade 3_PHACT S1000P,0.004281637
cat__Polymer Grade 5_BioPBS™ FZ91,0.0041286875
cat__Polymer Grade 4_Tunhe TH801T,0.0040413933
cat__Polymer Grade 5_PHACT S1000P,0.003964191
cat__Polymer Grade 3_BioPBS™ FD92,0.003914125
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0038094665
cat__Polymer Grade 1_PHACT A1000P,0.0037237399
num__vol_fraction5,0.0036270458
cat__Polymer Grade 1_Capa™ 6500,0.0036078047
cat__Polymer Grade 2_PHACT A1000P,0.0033559678
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0032195975
num__vol_fraction2,0.0031238997
cat__Polymer Grade 1_Tunhe TH801T,0.0030297092
cat__Polymer Grade 2_Capa™ 6500,0.003013174
cat__Polymer Grade 4_PHACT S1000P,0.0029798804
cat__Polymer Grade 5_Green Planet™ PHBH,0.0029444636
cat__Polymer Grade 2_I'm green™ STN7006,0.0029291022
cat__Polymer Grade 3_Polylactide,0.0028637361
cat__Polymer Grade 2_PHACT S1000P,0.0028116223
cat__Polymer Grade 4_Total PPH 3270,0.0027845232
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0027713224
cat__Polymer Grade 1_PHACT S1000P,0.0026003332
cat__Polymer Grade 4_Polylactide,0.0025974868
num__vol_fraction1,0.0025729511
num__vol_fraction3,0.0024821793
cat__Polymer Grade 2_Tunhe TH801T,0.0024441532
cat__Polymer Grade 4_Capa™ 6800,0.0023981663
cat__Polymer Grade 3_Tunhe TH801T,0.0023142367
cat__Polymer Grade 5_ENMAT™ Y1000P,0.0022659928
cat__Polymer Grade 5_PHACT A1000P,0.002227604
cat__Polymer Grade 4_PHACT A1000P,0.002206585
cat__Polymer Grade 5_Capa™ 6500,0.0022042
cat__Polymer Grade 4_BioPBS™ FD92,0.0021927156
cat__Polymer Grade 1_Green Planet™ PHBH,0.0020905305
cat__Polymer Grade 2_Total PPH 3270,0.0020811113
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0020251267
cat__Polymer Grade 2_Polylactide,0.0019054267
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0018454536
cat__Polymer Grade 5_Ingeo 4043D,0.0018339725
cat__Polymer Grade 3_Total PPH 3270,0.0017500866
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.0017410147
num__secondary_amine,0.0017278136
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0016414983
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0015405695
cat__Polymer Grade 3_Green Planet™ PHBH,0.0013857896
cat__Polymer Grade 5_Total PPH 3270,0.0013852658
cat__Polymer Grade 1_BioPBS™ FD92,0.0013700405
cat__Polymer Grade 5_Luminy® L175,0.0013068648
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.0011833602
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0010964498
cat__Polymer Grade 3_Ingeo 4032D,0.0010811196
cat__Polymer Grade 4_Capa™ 6500,0.0010696606
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0010306203
cat__Polymer Grade 3_Ingeo 4043D,0.0009996534
cat__Polymer Grade 2_Green Planet™ PHBH,0.0009995698
cat__Polymer Grade 1_PBS TH803S,0.0009843421
cat__Polymer Grade 1_EVAL F171B,0.0009618258
cat__Polymer Grade 4_PBS TH803S,0.0009550105
cat__Polymer Grade 5_EVAL F171B,0.0009122237
cat__Polymer Grade 4_EVAL F171B,0.0008912689
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0008824384
cat__Polymer Grade 3_PBS TH803S,0.00088168605
cat__Polymer Grade 3_Ecoworld,0.000849691
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.00081997935
cat__Polymer Grade 2_Ecoworld,0.00080914167
cat__Polymer Grade 5_Capa™ 6800,0.0008079296
cat__Polymer Grade 4_ENMAT™ Y1000P,0.00078538526
cat__Polymer Grade 1_Total PPH 3270,0.0007810229
cat__Polymer Grade 4_Ingeo 4043D,0.00077856873
cat__Polymer Grade 2_Luminy® L175,0.00076249265
