feature,importance
num__amide,0.1058288
num__vinyl,0.07690223
num__SP3_N,0.060596067
num__SP2_C,0.042582955
num__SP3_O,0.041784495
num__ester,0.031149901
cat__Polymer Grade 5_I'm green™ STN7006,0.030237673
num__SP2_O,0.027762054
cat__Polymer Grade 5_LDPE LD 150,0.02427189
num__ether,0.015322264
cat__Polymer Grade 5_Unknown,0.015152595
num__phenyls,0.0151273245
num__tree_depth,0.014450554
num__ethyl_chain,0.013482479
cat__Polymer Grade 4_LDPE LD 150,0.012807143
cat__Polymer Grade 4_I'm green™ STN7006,0.01221381
cat__Polymer Grade 3_I'm green™ STN7006,0.011932031
cat__Polymer Grade 3_Kuredux® PGA,0.010981742
cat__Polymer Grade 4_Kuredux® PGA,0.0105750635
num__propyl_chain,0.010236486
num__secondary_carbon,0.009999608
num__SP3_C,0.009955786
cat__Polymer Grade 2_Kuredux® PGA,0.009907507
cat__Polymer Grade 1_ENMAT Y3000,0.009890782
num__ketone,0.009830664
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.009674016
cat__Polymer Grade 3_LDPE LD 150,0.0094491895
cat__Polymer Grade 1_Kuredux® PGA,0.008693404
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.008535051
num__long_chain,0.008267668
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.008151222
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.008112135
cat__Polymer Grade 1_LDPE LD 150,0.007832355
num__branching_factor,0.007768741
num__alcohol,0.007161325
cat__Polymer Grade 3_BioPBS™ FZ91,0.006992353
num__Thickness (um),0.0069691325
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.00694402
num__tertiary_carbon,0.006920294
cat__Polymer Grade 1_BIOCYCLE® 1000,0.0065862336
cat__Polymer Grade 5_Kuredux® PGA,0.006581017
cat__Polymer Grade 4_BIOCYCLE® 1000,0.006576026
num__primary_carbon,0.006502733
cat__Polymer Grade 2_BIOCYCLE® 1000,0.006220875
cat__Polymer Grade 3_BIOCYCLE® 1000,0.0062114326
cat__Polymer Grade 2_ENMAT Y3000,0.0058021573
cat__Polymer Grade 5_BIOCYCLE® 1000,0.00575006
cat__Polymer Grade 3_ENMAT Y3000,0.0057055773
cat__Polymer Grade 5_BioPBS™ FD92,0.005503811
cat__Polymer Grade 4_Unknown,0.00533121
num__vol_fraction5,0.0051732324
cat__Polymer Grade 2_BioPBS™ FZ91,0.0050513595
cat__Polymer Grade 5_ENMAT Y3000,0.0050199293
cat__Polymer Grade 4_BioPBS™ FZ91,0.0049920753
cat__Polymer Grade 2_LDPE LD 150,0.004901954
cat__Polymer Grade 1_BioPBS™ FZ91,0.0044362103
cat__Polymer Grade 3_Unknown,0.0043641273
cat__Polymer Grade 3_PHACT A1000P,0.004298422
cat__Polymer Grade 2_PHACT A1000P,0.004242275
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0038756193
cat__Polymer Grade 4_PHACT A1000P,0.0038743166
cat__Polymer Grade 5_BioPBS™ FZ91,0.0038196638
cat__Polymer Grade 4_ENMAT Y3000,0.0036373467
cat__Polymer Grade 1_PHACT A1000P,0.0034413408
cat__Polymer Grade 3_EVAL F171B,0.0033274558
cat__Polymer Grade 5_Polylactide,0.0033135524
cat__Polymer Grade 4_PHACT S1000P,0.003234171
cat__Polymer Grade 3_PHACT S1000P,0.003217719
cat__Polymer Grade 5_PHACT S1000P,0.003147541
num__vol_fraction4,0.0030255679
cat__Polymer Grade 4_Luminy® L175,0.0028426142
cat__Polymer Grade 4_BioPBS™ FD92,0.0027234256
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0026300815
cat__Polymer Grade 5_Ingeo 4043D,0.0026048976
cat__Polymer Grade 2_Glycerol,0.0025542472
cat__Polymer Grade 4_Ecovance rf-PBAT,0.002537857
cat__Polymer Grade 5_PHACT A1000P,0.002468059
num__vol_fraction1,0.0023202943
cat__Polymer Grade 2_Ecovance rf-PBAT,0.002296699
cat__Polymer Grade 3_Luminy® L175,0.002269011
num__vol_fraction2,0.0022285169
cat__Polymer Grade 2_I'm green™ STN7006,0.002151966
cat__Polymer Grade 5_Capa™ 6500,0.0021338607
cat__Polymer Grade 1_I'm green™ STN7006,0.0021119944
cat__Polymer Grade 2_PHACT S1000P,0.0021053301
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0021013906
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.002086301
cat__Polymer Grade 3_Ecoworld,0.0020621142
cat__Polymer Grade 2_Green Planet™ PHBH,0.002041489
cat__Polymer Grade 2_Tunhe TH801T,0.001981621
num__vol_fraction3,0.0019455669
cat__Polymer Grade 5_Tunhe TH801T,0.0018637779
cat__Polymer Grade 2_Capa™ 6800,0.0018521468
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0017190861
cat__Polymer Grade 5_EVAL F171B,0.0016691249
cat__Polymer Grade 5_Total PPH 3270,0.0016592565
cat__Polymer Grade 3_Tunhe TH801T,0.0016584398
cat__Polymer Grade 2_BioPBS™ FD92,0.0016358902
cat__Polymer Grade 1_Polylactide,0.0016147778
cat__Polymer Grade 2_Ecoworld,0.0015417421
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0015087716
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0014396455
cat__Polymer Grade 1_Tunhe TH801T,0.0014382704
cat__Polymer Grade 3_Glycerol,0.0014298933
cat__Polymer Grade 4_Polylactide,0.00139804
cat__Polymer Grade 4_EVAL F171B,0.0013879939
cat__Polymer Grade 4_Ecoworld,0.001316423
cat__Polymer Grade 3_Polylactide,0.0013106605
cat__Polymer Grade 5_Ecoworld,0.0012904613
cat__Polymer Grade 4_PBS TH803S,0.0012857363
cat__Polymer Grade 4_Tunhe TH801T,0.0012553623
cat__Polymer Grade 1_PHACT S1000P,0.0011413735
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0010886458
cat__Polymer Grade 5_Ingeo 4032D,0.0010497225
cat__Polymer Grade 5_ENMAT™ Y1000P,0.0010017703
cat__Polymer Grade 1_Ecoworld,0.0009856255
cat__Polymer Grade 3_BioPBS™ FD92,0.0009849011
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0009297083
cat__Polymer Grade 5_Green Planet™ PHBH,0.00089894526
cat__Polymer Grade 4_Total PPH 3270,0.0008399263
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0008242829
cat__Polymer Grade 1_Total PPH 3270,0.00074694975
cat__Polymer Grade 3_PBS TH803S,0.00071931724
cat__Polymer Grade 2_Total PPH 3270,0.00071430265
cat__Polymer Grade 1_PBS TH803S,0.00071130565
cat__Polymer Grade 3_Total PPH 3270,0.00070935494
cat__Polymer Grade 2_Capa™ 6500,0.000707573
cat__Polymer Grade 1_Capa™ 6500,0.00070008973
cat__Polymer Grade 4_Glycerol,0.00069487875
cat__Polymer Grade 4_Capa™ 6800,0.0006924877
cat__Polymer Grade 4_Green Planet™ PHBH,0.0006909184
cat__Polymer Grade 2_Luminy® L175,0.000674684
cat__Polymer Grade 1_Glycerol,0.0006393205
cat__Polymer Grade 5_Luminy® L175,0.00062676164
cat__Polymer Grade 1_Ingeo 4043D,0.0006254942
cat__Polymer Grade 4_Ingeo 4032D,0.000609359
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.000604772
cat__Polymer Grade 2_EVAL F171B,0.00058816647
cat__Polymer Grade 3_Capa™ 6800,0.00056171266
cat__Polymer Grade 1_Luminy® L175,0.0005409477
cat__Polymer Grade 3_Capa™ 6500,0.0005099527
cat__Polymer Grade 2_Ingeo 4043D,0.00050744327
cat__Polymer Grade 2_PBS TH803S,0.0005045733
cat__Polymer Grade 1_Capa™ 6800,0.00046347902
cat__Polymer Grade 2_Ingeo 4032D,0.00045441007
cat__Polymer Grade 5_Glycerol,0.0004522404
cat__Polymer Grade 1_BioPBS™ FD92,0.00043228088
cat__Polymer Grade 5_PBS TH803S,0.00043187587
cat__Polymer Grade 4_Ingeo 4043D,0.00043055764
cat__Polymer Grade 3_Ingeo 4043D,0.0004133833
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.0003849968
cat__Polymer Grade 3_Ingeo 4032D,0.00038177634
cat__Polymer Grade 1_EVAL F171B,0.00034837256
cat__Polymer Grade 1_Green Planet™ PHBH,0.00034130126
cat__Polymer Grade 3_Green Planet™ PHBH,0.00032971735
cat__Polymer Grade 2_Polylactide,0.0002707527
cat__Polymer Grade 1_ENMAT™ Y1000P,0.00025664354
cat__Polymer Grade 1_Ingeo 4032D,0.00019455445
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.00017959706
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.00015722473
cat__Polymer Grade 4_Capa™ 6500,0.000101643025
cat__Polymer Grade 5_Capa™ 6800,3.5544766e-05
cat__Polymer Grade 4_ENMAT™ Y1000P,2.365899e-05
num__SP3_B,0.0
num__guanidine,0.0
num__SP2_S,0.0
num__allene,0.0
num__vinyl_halide,0.0
num__SP2_B,0.0
num__boron_3_coord,0.0
num__silicon_4_coord,0.0
num__phosphonate,0.0
num__thiourea,0.0
