feature,importance
num__vinyl,0.10224867
num__SP3_N,0.07903198
num__amide,0.07836157
num__SP2_C,0.054911174
num__SP3_O,0.051842447
num__secondary_amine,0.048358854
num__SP2_O,0.036488857
num__ether,0.025149712
num__phenyls,0.024475256
num__long_chain,0.015194928
num__SP3_C,0.013693346
cat__Polymer Grade 3_Kuredux® PGA,0.013218506
num__secondary_carbon,0.012074369
cat__Polymer Grade 5_Kuredux® PGA,0.0120708635
num__quaternary_carbon,0.011537232
num__ethyl_chain,0.011272141
num__tertiary_carbon,0.011263948
num__tree_depth,0.010935038
num__ketone,0.0108764395
num__SP3_Cl,0.010629575
num__branching_factor,0.010444932
num__ester,0.009049967
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.008870944
cat__Polymer Grade 2_Kuredux® PGA,0.008762342
num__primary_carbon,0.008151544
cat__Polymer Grade 4_Kuredux® PGA,0.0078096185
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.006483104
cat__Polymer Grade 1_Kuredux® PGA,0.006471731
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0062484713
num__propyl_chain,0.0062429965
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0061232257
num__Thickness (um),0.006032333
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0053075417
cat__Polymer Grade 3_BioPBS™ FZ91,0.005127177
cat__Polymer Grade 4_PHACT A1000P,0.005093377
cat__Polymer Grade 5_PHACT A1000P,0.0050638863
cat__Polymer Grade 4_BioPBS™ FZ91,0.0049371123
cat__Polymer Grade 3_PHACT A1000P,0.004934127
num__alcohol,0.0047214315
cat__Polymer Grade 5_Total PPH 3270,0.0045603137
cat__Polymer Grade 4_Total PPH 3270,0.0044089714
cat__Polymer Grade 3_Total PPH 3270,0.0042180996
num__vol_fraction5,0.003952908
cat__Polymer Grade 5_LDPE LD 150,0.0039322525
cat__Polymer Grade 2_PHACT A1000P,0.0038589095
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0036703912
cat__Polymer Grade 4_LDPE LD 150,0.0035535826
num__vol_fraction4,0.003339252
cat__Polymer Grade 4_BIOCYCLE® 1000,0.00313082
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0030673014
cat__Polymer Grade 3_LDPE LD 150,0.0029636913
cat__Polymer Grade 5_BIOCYCLE® 1000,0.0029225422
cat__Polymer Grade 2_Total PPH 3270,0.0028145302
cat__Polymer Grade 5_Unknown,0.0027972704
cat__Polymer Grade 2_LDPE LD 150,0.0027948292
cat__Polymer Grade 1_Total PPH 3270,0.0027725792
num__vol_fraction3,0.0027562275
