feature,importance
num__amide,0.077364795
num__vinyl,0.074802116
num__SP3_O,0.06903354
num__SP3_N,0.047702715
num__SP2_C,0.038479947
cat__Polymer Grade 5_I'm green™ STN7006,0.031642463
num__ethyl_chain,0.029421043
cat__Polymer Grade 5_Unknown,0.021638947
cat__Polymer Grade 5_LDPE LD 150,0.021419277
num__phenyls,0.019019788
num__SP2_O,0.01649737
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.016119845
num__secondary_amine,0.015494823
cat__Polymer Grade 4_I'm green™ STN7006,0.015375523
num__SP3_C,0.01470741
num__secondary_carbon,0.013249365
num__tree_depth,0.012556904
cat__Polymer Grade 3_LDPE LD 150,0.0122441705
num__ether,0.011449517
cat__Polymer Grade 3_I'm green™ STN7006,0.011408033
cat__Polymer Grade 2_Kuredux® PGA,0.011114978
cat__Polymer Grade 2_ENMAT Y3000,0.010772242
cat__Polymer Grade 4_Unknown,0.0106762275
cat__Polymer Grade 1_ENMAT Y3000,0.010618318
cat__Polymer Grade 3_Kuredux® PGA,0.0098905675
cat__Polymer Grade 1_Kuredux® PGA,0.009563367
cat__Polymer Grade 5_PHACT A1000P,0.009448656
cat__Polymer Grade 3_Unknown,0.009243444
cat__Polymer Grade 1_LDPE LD 150,0.009161223
num__long_chain,0.008859645
cat__Polymer Grade 3_ENMAT Y3000,0.0083327275
num__Thickness (um),0.00814755
num__propyl_chain,0.008104648
cat__Polymer Grade 4_Kuredux® PGA,0.008043018
cat__Polymer Grade 4_ENMAT Y3000,0.007971052
num__branching_factor,0.007953648
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.00778386
cat__Polymer Grade 4_EVAL F171B,0.007549459
cat__Polymer Grade 4_LDPE LD 150,0.007547203
num__tertiary_carbon,0.0075289
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0074282824
cat__Polymer Grade 3_BioPBS™ FZ91,0.0073912605
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.007388343
num__primary_carbon,0.0069645243
num__alcohol,0.006829529
cat__Polymer Grade 5_Kuredux® PGA,0.0066746185
cat__Polymer Grade 2_LDPE LD 150,0.00658321
cat__Polymer Grade 5_BioPBS™ FD92,0.0065063164
num__ester,0.0064873653
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.006115133
cat__Polymer Grade 2_BioPBS™ FZ91,0.005448306
cat__Polymer Grade 3_PHACT A1000P,0.004549235
num__ketone,0.004483974
cat__Polymer Grade 5_PHACT S1000P,0.0044700466
num__vol_fraction4,0.004406874
cat__Polymer Grade 4_Luminy® L175,0.004406515
num__vol_fraction5,0.004137937
cat__Polymer Grade 1_BioPBS™ FZ91,0.00413224
cat__Polymer Grade 3_PHACT S1000P,0.0039385697
cat__Polymer Grade 4_BioPBS™ FZ91,0.0038921733
cat__Polymer Grade 5_ENMAT Y3000,0.003566529
cat__Polymer Grade 2_PHACT A1000P,0.0035476203
cat__Polymer Grade 4_Polylactide,0.003534954
cat__Polymer Grade 1_PHACT A1000P,0.0032671753
cat__Polymer Grade 1_I'm green™ STN7006,0.0032545228
cat__Polymer Grade 1_Tunhe TH801T,0.003214712
cat__Polymer Grade 4_ENMAT™ Y1000P,0.0031341803
cat__Polymer Grade 3_Tunhe TH801T,0.0031299868
cat__Polymer Grade 3_ENMAT™ Y1000P,0.0030745885
cat__Polymer Grade 1_Ecovance rf-PBAT,0.0030013795
cat__Polymer Grade 4_Tunhe TH801T,0.002982536
num__vol_fraction1,0.002929897
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0029266195
cat__Polymer Grade 4_PHACT A1000P,0.0028645769
num__vol_fraction3,0.0026526686
cat__Polymer Grade 4_Green Planet™ PHBH,0.0026148204
cat__Polymer Grade 4_PHACT S1000P,0.0025713446
cat__Polymer Grade 4_Capa™ 6800,0.002564319
cat__Polymer Grade 3_Polylactide,0.0025502353
cat__Polymer Grade 2_I'm green™ STN7006,0.0023857788
cat__Polymer Grade 4_Total PPH 3270,0.0023449627
num__vol_fraction2,0.0023273488
cat__Polymer Grade 2_Green Planet™ PHBH,0.0023072264
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.0022796604
cat__Polymer Grade 2_Ecovance rf-PBAT,0.0022731503
cat__Polymer Grade 2_Capa™ 6500,0.002083107
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0020780761
cat__Polymer Grade 1_Green Planet™ PHBH,0.0020605754
cat__Polymer Grade 3_BioPBS™ FD92,0.001994563
cat__Polymer Grade 5_ENMAT™ Y1000P,0.001988668
cat__Polymer Grade 2_Polylactide,0.0019363032
cat__Polymer Grade 2_Tunhe TH801T,0.0018246662
cat__Polymer Grade 5_Capa™ 6500,0.0017912671
cat__Polymer Grade 5_PBS TH803S,0.0017645112
cat__Polymer Grade 3_Green Planet™ PHBH,0.0016798616
cat__Polymer Grade 5_Polylactide,0.0016362816
cat__Polymer Grade 5_BioPBS™ FZ91,0.0016202083
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0015884233
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0015880003
cat__Polymer Grade 3_PBS TH803S,0.0015613425
cat__Polymer Grade 2_EVAL F171B,0.0015543323
cat__Polymer Grade 2_Luminy® L175,0.0015492525
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0014906
cat__Polymer Grade 5_Capa™ 6800,0.0014228778
cat__Polymer Grade 2_Ingeo 4032D,0.0013310094
cat__Polymer Grade 2_PHACT S1000P,0.0013233072
cat__Polymer Grade 1_Capa™ 6800,0.0012788873
cat__Polymer Grade 3_Total PPH 3270,0.001267012
cat__Polymer Grade 2_Ecoworld,0.0012507822
cat__Polymer Grade 1_EVAL F171B,0.0011978582
