feature,importance
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.24474765
num__SP3_C,0.12912004
num__SP3_O,0.0933534
num__tertiary_carbon,0.0774673
num__Thickness (um),0.07141095
num__secondary_carbon,0.068322815
num__SP2_O,0.050438024
num__SP2_C,0.041124545
num__ketone,0.03684241
num__phenyls,0.027509535
num__ester,0.021931345
num__RH (%),0.019172894
num__primary_carbon,0.011049582
cat__Polymer Grade 1_Green Planet™ PHBH,0.01096958
num__Temperature (C),0.009263132
cat__Polymer Grade 1_Capa™ 6800,0.0071203583
cat__Polymer Grade 1_Ingeo 4043D,0.007000562
num__propyl_chain,0.006755396
num__tree_depth,0.0061784964
cat__Polymer Grade 2_Ecoworld,0.005956206
num__branching_factor,0.005121425
cat__Polymer Grade 1_Ingeo 4032D,0.0049887574
cat__Polymer Grade 2_Unknown,0.004438664
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.004014963
cat__Polymer Grade 1_Luminy® L175,0.0035722856
num__vol_fraction2,0.0035104833
num__vol_fraction1,0.0034749014
cat__Polymer Grade 1_Unknown,0.0032872043
cat__Polymer Grade 1_Polylactide,0.002544716
cat__Polymer Grade 1_Biocycle 1000,0.0024289975
cat__Polymer Grade 1_EVAL F171B,0.0024270269
cat__Polymer Grade 1_ENMAT Y3000,0.0024245263
cat__Polymer Grade 1_LDPE LD 150,0.002011818
cat__Polymer Grade 1_PHACT A1000P,0.0016004415
cat__Polymer Grade 1_I'm green™ STN7006,0.0013016401
cat__Polymer Grade 1_BioPBS™ FZ91,0.0011819731
num__ethyl_chain,0.0010486225
cat__Polymer Grade 1_BioPBS™ FD92,0.0010426198
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0007706781
cat__Polymer Grade 1_CX-C6,0.00075765053
num__SP3_Cl,0.0007301313
num__ether,0.0006463522
cat__Polymer Grade 1_ENMAT™ Y1000P,0.00050572876
cat__Polymer Grade 1_PHACT S1000P,0.00028479035
cat__Polymer Grade 1_Ecoworld,0.00012014317
num__alcohol,2.275711e-05
cat__Polymer Grade 1_Kuredux® PGA,6.4846104e-06
num__ketal,0.0
num__isocyanate,0.0
num__thiocyanate,0.0
num__guanidine,0.0
num__acetal,0.0
num__nitro,0.0
num__azo,0.0
num__phosphate,0.0
num__sulfoxide,0.0
num__sulfone,0.0
num__imide,0.0
num__sulfonyl_halide,0.0
num__phosphonate,0.0
num__thiourea,0.0
num__azide,0.0
num__vinyl_halide,0.0
num__silicon_4_coord,0.0
num__boron_3_coord,0.0
num__vinyl,0.0
num__sulfonamide,0.0
num__allene,0.0
num__aldehyde,0.0
num__thiol,0.0
num__thioether,0.0
num__primary_amine,0.0
num__secondary_amine,0.0
num__butyl_chain,0.0
num__quaternary_carbon,0.0
num__quaternary_amine,0.0
num__imine,0.0
num__nitrile,0.0
num__tertiary_amine,0.0
num__aromatic_rings_with_n,0.0
num__amide,0.0
num__SP2_N,0.0
num__SP3_F,0.0
num__SP3_B,0.0
num__SP3_Si,0.0
num__SP3_P,0.0
num__SP3_S,0.0
num__SP3_N,0.0
num__SP2_B,0.0
num__SP2_S,0.0
num__SP_N,0.0
num__thioamide,0.0
num__SP_C,0.0
num__vol_fraction5,0.0
num__vol_fraction4,0.0
num__vol_fraction3,0.0
cat__Polymer Grade 5_Unknown,0.0
cat__Polymer Grade 4_Unknown,0.0
cat__Polymer Grade 3_Unknown,0.0
cat__Polymer Grade 2_ENMAT Y3000,0.0
num__SP3_Br,0.0
num__SP3_I,0.0
num__SP3D2_S,0.0
num__cyclohexanes,0.0
num__carbamate,0.0
num__urea,0.0
num__carbamide,0.0
num__acyl_halide,0.0
num__anhydride,0.0
num__carboxylic_acid,0.0
num__other_rings,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
num__aliphatic_rings_with_n,0.0
num__aromatic_rings_with_s,0.0
num__aromatic_rings_with_n_o,0.0
num__aromatic_rings_with_o,0.0
num__thiophenes,0.0
num__cyclopentenes,0.0
num__cyclopentanes,0.0
num__long_chain,0.0
