feature,importance
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.13693959
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.12664025
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.11138581
num__ethyl_chain,0.10963978
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.10453168
cat__Polymer Grade 2_Unknown,0.09562429
cat__Polymer Grade 3_Unknown,0.06820691
cat__Polymer Grade 1_BioPBS™ FD92,0.054462984
cat__Polymer Grade 1_Unknown,0.050485734
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.041070726
num__SP3_O,0.011688705
num__SP3_N,0.009734459
num__ketone,0.008425128
num__phenyls,0.007080295
num__secondary_amine,0.0057356586
num__ether,0.0038179494
num__Thickness (um),0.0032857477
num__branching_factor,0.0027389606
num__vinyl,0.0027006275
num__tree_depth,0.0025403092
num__SP3_C,0.002490479
num__tertiary_carbon,0.0020277915
num__vol_fraction2,0.0018877891
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.0018146618
num__SP2_O,0.0017452717
num__Temperature (C),0.0016691382
num__vol_fraction1,0.0014854398
cat__Polymer Grade 4_Unknown,0.0014596854
cat__Polymer Grade 2_Polylactide,0.0014294563
cat__Polymer Grade 4_Polylactide,0.001383146
num__secondary_carbon,0.0012461545
cat__Polymer Grade 3_Polylactide,0.0011662729
num__ester,0.0011055615
num__vol_fraction4,0.0010878743
num__RH (%),0.00095699873
num__vol_fraction3,0.0008097147
num__propyl_chain,0.00078393926
num__SP2_C,0.0007288894
num__long_chain,0.0006703454
cat__Polymer Grade 3_Ingeo 4043D,0.0006340583
num__vol_fraction5,0.000618802
cat__Polymer Grade 1_Polylactide,0.0006086654
cat__Polymer Grade 4_Luminy® L175,0.0005780007
num__primary_carbon,0.0005410658
cat__Polymer Grade 2_Luminy® L175,0.00052790606
cat__Polymer Grade 2_Capa™ 6500,0.0004906723
cat__Polymer Grade 4_Capa™ 6800,0.00048285822
cat__Polymer Grade 1_Ingeo 4043D,0.00047365835
cat__Polymer Grade 1_Luminy® L175,0.00045551898
cat__Polymer Grade 2_Capa™ 6800,0.0004480672
cat__Polymer Grade 4_PHACT A1000P,0.00042825463
cat__Polymer Grade 3_Luminy® L175,0.00041235395
cat__Polymer Grade 2_Ingeo 4043D,0.00038370496
num__aldehyde,0.0003804266
cat__Polymer Grade 3_ENMAT Y3000,0.00037043044
cat__Polymer Grade 5_Kuredux® PGA,0.00036768662
cat__Polymer Grade 5_PHACT A1000P,0.0003660997
cat__Polymer Grade 4_Ingeo 4043D,0.0003553366
cat__Polymer Grade 3_Capa™ 6800,0.0003395696
cat__Polymer Grade 3_PHACT A1000P,0.0003392584
cat__Polymer Grade 4_Capa™ 6500,0.00033691208
cat__Polymer Grade 1_Capa™ 6500,0.00032815404
cat__Polymer Grade 1_ENMAT Y3000,0.00032078472
cat__Polymer Grade 1_Capa™ 6800,0.00031455877
cat__Polymer Grade 1_PHACT A1000P,0.0003122194
num__alcohol,0.00030489048
cat__Polymer Grade 3_PHACT S1000P,0.000297088
cat__Polymer Grade 2_PHACT A1000P,0.00029693483
cat__Polymer Grade 4_ENMAT Y3000,0.00025755548
cat__Polymer Grade 3_Ingeo 4032D,0.00022783688
cat__Polymer Grade 3_Capa™ 6500,0.0002210724
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0002113859
cat__Polymer Grade 5_Luminy® L175,0.00019487542
cat__Polymer Grade 1_PHACT S1000P,0.00017663073
cat__Polymer Grade 5_Polylactide,0.00016597824
cat__Polymer Grade 2_Ecovance rf-PBAT,0.00016033062
cat__Polymer Grade 5_Capa™ 6500,0.00015958764
cat__Polymer Grade 3_EVAL F171B,0.00015896547
cat__Polymer Grade 3_PBS TH803S,0.00015771108
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.00015626146
cat__Polymer Grade 2_ENMAT Y3000,0.00014152164
cat__Polymer Grade 4_Ecovance rf-PBAT,0.00014122506
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.00013898441
cat__Polymer Grade 1_Ecoworld,0.00011147666
cat__Polymer Grade 5_PBS TH803S,0.00010057789
cat__Polymer Grade 5_LDPE LD 150,9.998043e-05
cat__Polymer Grade 2_PHACT S1000P,9.948525e-05
cat__Polymer Grade 4_Kuredux® PGA,8.5821586e-05
cat__Polymer Grade 2_Kuredux® PGA,7.914722e-05
cat__Polymer Grade 3_Total PPH 3270,7.890688e-05
cat__Polymer Grade 1_ecoflex® F Blend C1200,7.652345e-05
cat__Polymer Grade 5_Ingeo 4043D,7.2110044e-05
cat__Polymer Grade 4_BioPBS™ FZ91,7.133409e-05
cat__Polymer Grade 4_I'm green™ STN7006,7.131116e-05
cat__Polymer Grade 4_PHACT S1000P,6.612134e-05
cat__Polymer Grade 5_Ingeo 4032D,6.600107e-05
cat__Polymer Grade 5_Ecoworld,6.442881e-05
cat__Polymer Grade 1_Ingeo 4032D,6.242501e-05
cat__Polymer Grade 3_Kuredux® PGA,6.0671984e-05
cat__Polymer Grade 1_Ecovance rf-PBAT,6.021719e-05
cat__Polymer Grade 3_Ecoworld,5.798791e-05
cat__Polymer Grade 2_Green Planet™ PHBH,5.5683122e-05
cat__Polymer Grade 4_EVAL F171B,5.3394204e-05
cat__Polymer Grade 5_PHACT S1000P,5.3122087e-05
cat__Polymer Grade 4_PBS TH803S,5.2837688e-05
cat__Polymer Grade 2_PBS TH803S,5.2282565e-05
cat__Polymer Grade 2_BioPBS™ FZ91,4.8417634e-05
cat__Polymer Grade 3_Green Planet™ PHBH,4.6784156e-05
cat__Polymer Grade 2_EVAL F171B,4.4362412e-05
cat__Polymer Grade 3_BioPBS™ FZ91,4.323698e-05
cat__Polymer Grade 1_BioPBS™ FZ91,4.1511877e-05
cat__Polymer Grade 4_Green Planet™ PHBH,3.579636e-05
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,3.5587098e-05
cat__Polymer Grade 4_Ingeo 4032D,3.469209e-05
cat__Polymer Grade 2_Ingeo 4032D,3.441073e-05
cat__Polymer Grade 5_Unknown,3.287474e-05
cat__Polymer Grade 1_Total PPH 3270,3.154826e-05
cat__Polymer Grade 3_Ecovance rf-PBAT,3.0967458e-05
cat__Polymer Grade 3_LDPE LD 150,3.053924e-05
cat__Polymer Grade 2_I'm green™ STN7006,2.8321194e-05
cat__Polymer Grade 5_I'm green™ STN7006,2.666664e-05
cat__Polymer Grade 4_Total PPH 3270,2.6315327e-05
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,2.6243017e-05
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,2.517358e-05
cat__Polymer Grade 1_PBS TH803S,2.3028162e-05
cat__Polymer Grade 1_Kuredux® PGA,2.2433609e-05
cat__Polymer Grade 1_LDPE LD 150,2.0721835e-05
cat__Polymer Grade 2_Total PPH 3270,1.8659402e-05
cat__Polymer Grade 3_I'm green™ STN7006,1.8567742e-05
cat__Polymer Grade 4_LDPE LD 150,1.8504985e-05
cat__Polymer Grade 1_EVAL F171B,1.6300206e-05
cat__Polymer Grade 5_Total PPH 3270,1.6022035e-05
cat__Polymer Grade 2_Ecoworld,1.5157971e-05
cat__Polymer Grade 1_Green Planet™ PHBH,1.3064367e-05
cat__Polymer Grade 2_LDPE LD 150,1.2904987e-05
cat__Polymer Grade 5_BioPBS™ FZ91,1.2547423e-05
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,1.1166285e-05
cat__Polymer Grade 5_EVAL F171B,1.0663838e-05
cat__Polymer Grade 1_I'm green™ STN7006,9.110239e-06
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,8.997256e-06
cat__Polymer Grade 5_Capa™ 6800,8.827627e-06
num__thiourea,0.0
num__guanidine,0.0
num__phosphonate,0.0
num__thiocyanate,0.0
num__sulfonyl_halide,0.0
num__imide,0.0
num__azo,0.0
num__azide,0.0
num__boron_3_coord,0.0
num__isocyanate,0.0
num__ketal,0.0
num__acetal,0.0
num__silicon_4_coord,0.0
num__thiol,0.0
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0
num__vinyl_halide,0.0
num__allene,0.0
num__phosphate,0.0
num__thioether,0.0
num__primary_amine,0.0
num__tertiary_amine,0.0
num__quaternary_amine,0.0
num__imine,0.0
num__nitrile,0.0
cat__Polymer Grade 5_ENMAT Y3000,0.0
num__quaternary_carbon,0.0
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0
num__butyl_chain,0.0
num__nitro,0.0
cat__Polymer Grade 5_Green Planet™ PHBH,0.0
num__sulfoxide,0.0
num__SP3_Si,0.0
num__cyclohexanes,0.0
num__SP3D2_S,0.0
num__SP3_I,0.0
num__SP3_Br,0.0
num__SP3_Cl,0.0
num__SP3_F,0.0
num__SP3_B,0.0
num__SP3_P,0.0
num__cyclopentenes,0.0
num__SP3_S,0.0
cat__Polymer Grade 4_Ecoworld,0.0
num__SP2_B,0.0
num__SP2_S,0.0
num__SP2_N,0.0
num__SP_N,0.0
num__SP_C,0.0
num__cyclopentanes,0.0
num__thiophenes,0.0
num__sulfone,0.0
num__anhydride,0.0
num__sulfonamide,0.0
num__amide,0.0
num__thioamide,0.0
num__carbamate,0.0
num__urea,0.0
num__carbamide,0.0
num__acyl_halide,0.0
num__carboxylic_acid,0.0
num__aromatic_rings_with_n,0.0
num__other_rings,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
num__aliphatic_rings_with_n,0.0
num__aromatic_rings_with_s,0.0
num__aromatic_rings_with_o,0.0
num__aromatic_rings_with_n_o,0.0
