feature,importance
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.20774224
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.20042652
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.18010642
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.16352887
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.052909333
num__long_chain,0.026730703
num__phenyls,0.022134656
num__ether,0.018024111
num__SP3_N,0.015552523
num__secondary_amine,0.01226119
num__branching_factor,0.011868808
num__SP3_C,0.011781386
num__SP3_O,0.009212846
num__ketone,0.0067971754
num__Thickness (um),0.0054618595
num__tertiary_carbon,0.0037733754
num__secondary_carbon,0.0034211255
num__RH (%),0.0022437184
num__vinyl,0.0019329181
num__vol_fraction1,0.0018490964
num__Temperature (C),0.0018308724
num__tree_depth,0.0018104448
num__ester,0.0017111438
num__vol_fraction3,0.0015951972
num__vol_fraction4,0.0015621256
num__vol_fraction5,0.001286107
num__vol_fraction2,0.0012757152
num__propyl_chain,0.0011918967
cat__Polymer Grade 4_ENMAT Y3000,0.0010239586
cat__Polymer Grade 2_Unknown,0.0009809778
num__alcohol,0.0009783914
cat__Polymer Grade 3_Ingeo 4043D,0.0009698422
num__primary_carbon,0.00095033325
num__SP2_O,0.0009420959
cat__Polymer Grade 3_ENMAT Y3000,0.0008097629
cat__Polymer Grade 1_BioPBS™ FD92,0.00078070164
cat__Polymer Grade 1_Capa™ 6500,0.00075006334
cat__Polymer Grade 2_Polylactide,0.00074632134
cat__Polymer Grade 1_ENMAT Y3000,0.00065523695
cat__Polymer Grade 4_Polylactide,0.0006543656
num__SP2_C,0.0006383385
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.00059493544
cat__Polymer Grade 3_Polylactide,0.0005896342
cat__Polymer Grade 1_Capa™ 6800,0.00057006493
cat__Polymer Grade 2_Ingeo 4043D,0.000564735
cat__Polymer Grade 3_Luminy® L175,0.00056314346
cat__Polymer Grade 4_Luminy® L175,0.0005615287
cat__Polymer Grade 2_Luminy® L175,0.0005614171
cat__Polymer Grade 5_Capa™ 6500,0.00055747223
cat__Polymer Grade 4_Capa™ 6500,0.0005121811
cat__Polymer Grade 1_Ingeo 4043D,0.0004924002
cat__Polymer Grade 2_Capa™ 6800,0.00046105348
cat__Polymer Grade 2_ENMAT Y3000,0.00043963743
cat__Polymer Grade 1_Polylactide,0.00043568545
cat__Polymer Grade 1_PHACT A1000P,0.00042782357
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.0003992104
cat__Polymer Grade 3_Capa™ 6800,0.00039640663
cat__Polymer Grade 3_Unknown,0.00038202223
cat__Polymer Grade 2_PHACT A1000P,0.0003812975
cat__Polymer Grade 5_Capa™ 6800,0.0003546996
cat__Polymer Grade 4_Ingeo 4043D,0.00032416126
cat__Polymer Grade 3_Capa™ 6500,0.00031534015
cat__Polymer Grade 4_PHACT A1000P,0.00030670053
cat__Polymer Grade 1_Luminy® L175,0.00029141942
cat__Polymer Grade 5_Unknown,0.00028536023
cat__Polymer Grade 2_PHACT S1000P,0.0002825262
cat__Polymer Grade 4_BioPBS™ FZ91,0.0002793358
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.0002640717
cat__Polymer Grade 4_Unknown,0.00024424645
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.00023047379
cat__Polymer Grade 4_Green Planet™ PHBH,0.00022763768
cat__Polymer Grade 3_PHACT A1000P,0.0002247888
cat__Polymer Grade 2_Capa™ 6500,0.00021222781
cat__Polymer Grade 5_Ingeo 4043D,0.00020762961
cat__Polymer Grade 3_PHACT S1000P,0.00020059169
cat__Polymer Grade 1_Ecoworld,0.00019446405
cat__Polymer Grade 4_PBS TH803S,0.00019112797
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.00018775256
cat__Polymer Grade 2_LDPE LD 150,0.00018624909
cat__Polymer Grade 4_Ecoworld,0.0001689719
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.00016753012
cat__Polymer Grade 2_Ecovance rf-PBAT,0.00016615214
cat__Polymer Grade 2_Kuredux® PGA,0.000165806
cat__Polymer Grade 4_Ingeo 4032D,0.00016012472
cat__Polymer Grade 5_Ingeo 4032D,0.00015897334
cat__Polymer Grade 3_Kuredux® PGA,0.00015703942
cat__Polymer Grade 3_Ecovance rf-PBAT,0.0001462429
cat__Polymer Grade 4_Total PPH 3270,0.00014378822
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.00014090458
cat__Polymer Grade 3_Ecoworld,0.00014042828
cat__Polymer Grade 4_Capa™ 6800,0.00013850267
cat__Polymer Grade 4_Ecovance rf-PBAT,0.00013290907
cat__Polymer Grade 2_Ecoworld,0.00013082098
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.00013035195
cat__Polymer Grade 3_Green Planet™ PHBH,0.00012379733
cat__Polymer Grade 1_Kuredux® PGA,0.0001212854
cat__Polymer Grade 5_BioPBS™ FZ91,0.00011995939
cat__Polymer Grade 1_PHACT S1000P,0.000118173404
cat__Polymer Grade 3_Total PPH 3270,0.000115811934
cat__Polymer Grade 5_Green Planet™ PHBH,0.00011015188
cat__Polymer Grade 5_LDPE LD 150,0.00010807513
cat__Polymer Grade 1_Ecovance rf-PBAT,0.00010455167
cat__Polymer Grade 4_PHACT S1000P,0.00010309219
cat__Polymer Grade 4_LDPE LD 150,0.00010016749
cat__Polymer Grade 5_PHACT A1000P,9.736211e-05
