feature,importance
cat__Polymer Grade 5_PBS TH803S,0.10198759
cat__Polymer Grade 5_BioPBS™ FZ91,0.08159998
num__long_chain,0.045185182
cat__Polymer Grade 4_Unknown,0.04384898
num__alcohol,0.040395197
cat__Polymer Grade 5_Unknown,0.03920999
cat__Polymer Grade 4_PBS TH803S,0.037481528
cat__Polymer Grade 4_BioPBS™ FZ91,0.033829138
num__vinyl,0.030554317
cat__Polymer Grade 2_Kuredux® PGA,0.028095618
cat__Polymer Grade 3_Kuredux® PGA,0.027008213
cat__Polymer Grade 1_Kuredux® PGA,0.022758085
cat__Polymer Grade 3_Polylactide,0.022208942
cat__Polymer Grade 4_Kuredux® PGA,0.020876462
num__secondary_amine,0.020726781
cat__Polymer Grade 2_Polylactide,0.019646676
num__SP3_N,0.01878681
cat__Polymer Grade 2_BioPBS™ FZ91,0.017873814
num__ketone,0.017647738
cat__Polymer Grade 3_BioPBS™ FZ91,0.017221753
cat__Polymer Grade 3_PBS TH803S,0.017177617
cat__Polymer Grade 4_Polylactide,0.015573132
cat__Polymer Grade 1_Polylactide,0.014560227
num__ether,0.013393211
num__SP3_C,0.013165256
cat__Polymer Grade 2_PBS TH803S,0.012505964
num__ester,0.011920664
num__primary_carbon,0.011424982
cat__Polymer Grade 5_PHACT A1000P,0.011384676
num__Thickness (um),0.011212884
cat__Polymer Grade 5_Kuredux® PGA,0.009593367
cat__Polymer Grade 3_Unknown,0.009132432
num__vol_fraction5,0.008803299
num__tree_depth,0.008545952
num__vol_fraction4,0.008503206
num__SP2_O,0.0068991724
cat__Polymer Grade 4_BioPBS™ FD92,0.00677934
num__phenyls,0.0067499443
cat__Polymer Grade 5_Polylactide,0.0062720566
num__tertiary_carbon,0.005013411
num__branching_factor,0.0042151073
cat__Polymer Grade 3_BioPBS™ FD92,0.0041282964
cat__Polymer Grade 5_BioPBS™ FD92,0.0039032144
num__secondary_carbon,0.003438171
num__ethyl_chain,0.0034135743
cat__Polymer Grade 3_Capa™ 6500,0.0032222888
cat__Polymer Grade 4_Capa™ 6500,0.0031755338
cat__Polymer Grade 4_PHACT A1000P,0.0029344559
num__vol_fraction3,0.0025438978
num__Temperature (C),0.0024338965
num__propyl_chain,0.0023295756
cat__Polymer Grade 3_PHACT A1000P,0.0022069227
num__vol_fraction1,0.0020557719
cat__Polymer Grade 1_Capa™ 6800,0.0019505372
cat__Polymer Grade 1_CX-C6,0.001913488
num__SP3_O,0.0019128122
num__vol_fraction2,0.0018980777
num__SP2_C,0.001850907
cat__Polymer Grade 3_Capa™ 6800,0.0018493813
cat__Polymer Grade 4_I'm green™ STN7006,0.0016584424
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0015031446
cat__Polymer Grade 4_Ecoworld,0.0015004873
cat__Polymer Grade 3_I'm green™ STN7006,0.0014382442
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0013899418
cat__Polymer Grade 3_Ecoworld,0.0013619773
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0013155271
cat__Polymer Grade 2_Capa™ 6500,0.0012435141
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0012244004
cat__Polymer Grade 2_ENMAT™ Y1000P,0.0011430035
cat__Polymer Grade 2_ENMAT Y3000,0.001119351
cat__Polymer Grade 2_BioPBS™ FD92,0.0011109204
num__RH (%),0.0011077645
cat__Polymer Grade 5_LDPE LD 150,0.0011076733
cat__Polymer Grade 4_Luminy® L175,0.0010558647
cat__Polymer Grade 2_PHACT A1000P,0.0010156619
cat__Polymer Grade 2_Capa™ 6800,0.0009830407
cat__Polymer Grade 2_LDPE LD 150,0.0009778059
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.00095433235
cat__Polymer Grade 2_I'm green™ STN7006,0.0009499794
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.00093622436
cat__Polymer Grade 1_BioPBS™ FD92,0.00091837486
cat__Polymer Grade 3_LDPE LD 150,0.0008881026
cat__Polymer Grade 1_I'm green™ STN7006,0.00087519444
cat__Polymer Grade 3_Ingeo 4032D,0.0008726335
cat__Polymer Grade 1_EVAL F171B,0.0008523429
cat__Polymer Grade 1_PHACT A1000P,0.00084603945
cat__Polymer Grade 5_Ingeo 4043D,0.0008087051
cat__Polymer Grade 1_ENMAT™ Y1000P,0.00077877485
cat__Polymer Grade 3_Tunhe TH801T,0.00076863077
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.0007462813
cat__Polymer Grade 1_LDPE LD 150,0.0007406264
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0007321035
cat__Polymer Grade 4_PHACT S1000P,0.00065873977
cat__Polymer Grade 5_Luminy® L175,0.00065007835
cat__Polymer Grade 1_Ingeo 4043D,0.00064373156
cat__Polymer Grade 3_ENMAT™ Y1000P,0.00062547385
cat__Polymer Grade 4_ENMAT™ Y1000P,0.000593481
cat__Polymer Grade 1_BioPBS™ FZ91,0.0005885479
cat__Polymer Grade 1_Capa™ 6500,0.0005844427
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.0005402662
cat__Polymer Grade 5_Total PPH 3270,0.0005391138
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0005201714
cat__Polymer Grade 3_Ecovance rf-PBAT,0.00049502606
cat__Polymer Grade 4_ENMAT Y3000,0.00048941135
cat__Polymer Grade 4_LDPE LD 150,0.0004835702
cat__Polymer Grade 3_Green Planet™ PHBH,0.0004792154
cat__Polymer Grade 4_Tunhe TH801T,0.00047788845
cat__Polymer Grade 2_EVAL F171B,0.00047676972
cat__Polymer Grade 1_PHACT S1000P,0.00047531776
cat__Polymer Grade 3_PHACT S1000P,0.00045812564
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.00045530582
cat__Polymer Grade 3_EVAL F171B,0.00045056222
cat__Polymer Grade 3_ENMAT Y3000,0.00044157275
cat__Polymer Grade 2_Tunhe TH801T,0.00042022148
cat__Polymer Grade 4_Ingeo 4032D,0.00041545922
cat__Polymer Grade 1_PBS TH803S,0.0003468574
cat__Polymer Grade 2_Luminy® L175,0.00034617455
