feature,importance
num__vinyl,0.06376378
cat__Polymer Grade 2_Polylactide,0.046294607
cat__Polymer Grade 4_Polylactide,0.044356048
cat__Polymer Grade 1_Polylactide,0.043198165
num__alcohol,0.04236626
cat__Polymer Grade 2_Kuredux® PGA,0.038020287
cat__Polymer Grade 3_Kuredux® PGA,0.03760856
num__SP3_O,0.03483553
cat__Polymer Grade 3_Polylactide,0.03412348
cat__Polymer Grade 5_Polylactide,0.032131113
cat__Polymer Grade 5_PHACT S1000P,0.030755822
cat__Polymer Grade 4_Kuredux® PGA,0.029089268
cat__Polymer Grade 3_EVAL F171B,0.0281977
cat__Polymer Grade 1_Kuredux® PGA,0.028053166
cat__Polymer Grade 1_EVAL F171B,0.027485143
cat__Polymer Grade 4_EVAL F171B,0.02605677
cat__Polymer Grade 2_EVAL F171B,0.02562911
num__SP3_C,0.023736095
cat__Polymer Grade 5_Kuredux® PGA,0.02317437
num__Thickness (um),0.02309937
num__branching_factor,0.022763988
num__SP2_C,0.020327909
num__SP2_O,0.01850326
cat__Polymer Grade 5_EVAL F171B,0.01811111
num__tree_depth,0.017894965
num__primary_carbon,0.01671061
num__ester,0.011585113
num__phenyls,0.010986429
cat__Polymer Grade 4_PHACT S1000P,0.010392611
num__long_chain,0.009897804
cat__Polymer Grade 5_Unknown,0.009590797
cat__Polymer Grade 5_Glycerol,0.0066889557
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.006028258
cat__Polymer Grade 4_Unknown,0.0060242997
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0059197196
num__secondary_carbon,0.005097788
cat__Polymer Grade 4_Glycerol,0.0050082356
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0048842193
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.004279469
num__ketone,0.0041251313
num__SP3_N,0.004050325
num__secondary_amine,0.0038366835
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.003815177
cat__Polymer Grade 1_CX-C6,0.0037564726
num__tertiary_carbon,0.0036619324
cat__Polymer Grade 2_Unknown,0.0035111767
num__ether,0.0032812424
num__vol_fraction4,0.0028039718
num__vol_fraction5,0.0027844429
