feature,importance
cat__Polymer Grade 5_PHACT S1000P,0.44733855
cat__Polymer Grade 4_PHACT S1000P,0.0747857
num__vinyl,0.03836103
cat__Polymer Grade 5_Unknown,0.038016833
cat__Polymer Grade 4_Unknown,0.024881547
cat__Polymer Grade 4_Polylactide,0.021388972
cat__Polymer Grade 3_PHACT S1000P,0.019321658
cat__Polymer Grade 5_Polylactide,0.018525532
num__alcohol,0.01657318
num__SP3_O,0.014798543
cat__Polymer Grade 3_Polylactide,0.014478516
cat__Polymer Grade 4_EVAL F171B,0.013422507
cat__Polymer Grade 5_BIOCYCLE® 1000,0.012601064
cat__Polymer Grade 2_Polylactide,0.012414112
cat__Polymer Grade 4_Kuredux® PGA,0.011767977
cat__Polymer Grade 5_Kuredux® PGA,0.010990076
cat__Polymer Grade 3_Kuredux® PGA,0.010856909
cat__Polymer Grade 2_Kuredux® PGA,0.010717495
cat__Polymer Grade 3_EVAL F171B,0.010641335
cat__Polymer Grade 5_EVAL F171B,0.010314736
cat__Polymer Grade 1_Polylactide,0.010229897
cat__Polymer Grade 2_EVAL F171B,0.009764884
cat__Polymer Grade 5_BioPBS™ FD92,0.0076766484
cat__Polymer Grade 1_Kuredux® PGA,0.007188139
cat__Polymer Grade 1_EVAL F171B,0.0067924233
num__branching_factor,0.0051734825
num__long_chain,0.005104514
num__SP3_C,0.004767339
cat__Polymer Grade 3_Unknown,0.0044956645
num__Thickness (um),0.004457997
cat__Polymer Grade 1_CX-C6,0.004221964
num__SP2_O,0.004201342
num__SP2_C,0.004006294
cat__Polymer Grade 4_BioPBS™ FD92,0.0040041152
num__primary_carbon,0.003956663
num__ester,0.0029729565
num__phenyls,0.0029045304
num__vol_fraction4,0.0028942043
num__vol_fraction5,0.0028139325
num__tree_depth,0.0025849913
cat__Polymer Grade 2_PHACT S1000P,0.002528946
cat__Polymer Grade 4_BIOCYCLE® 1000,0.0020353287
num__ketone,0.0018114786
num__secondary_carbon,0.0017021736
num__ether,0.00167473
num__tertiary_carbon,0.001658373
num__ethyl_chain,0.001476456
num__SP3_N,0.0013572627
cat__Polymer Grade 2_Unknown,0.0012225586
cat__Polymer Grade 2_PHACT A1000P,0.0011904673
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0011374998
num__SP3_Cl,0.001115504
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0010718174
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.00095990504
cat__Polymer Grade 4_PHACT A1000P,0.00093838363
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0009309659
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.00091507664
cat__Polymer Grade 1_PHACT A1000P,0.0008914924
num__vol_fraction3,0.00086972566
cat__Polymer Grade 1_PHACT S1000P,0.00084318285
num__Temperature (C),0.0008030838
num__vol_fraction2,0.00078338245
cat__Polymer Grade 5_BioPBS™ FZ91,0.0007485352
cat__Polymer Grade 3_PHACT A1000P,0.00074379775
cat__Polymer Grade 5_PHACT A1000P,0.0007305155
