feature,importance
num__vinyl,0.06167021
cat__Polymer Grade 3_Polylactide,0.042760488
cat__Polymer Grade 2_Polylactide,0.040661678
cat__Polymer Grade 4_Polylactide,0.03929596
cat__Polymer Grade 4_EVAL F171B,0.038626105
cat__Polymer Grade 1_Polylactide,0.037555084
num__alcohol,0.036130223
num__SP3_O,0.03395042
cat__Polymer Grade 5_Polylactide,0.032256413
cat__Polymer Grade 5_Kuredux® PGA,0.03209128
cat__Polymer Grade 1_Kuredux® PGA,0.031711888
cat__Polymer Grade 4_Kuredux® PGA,0.030186148
cat__Polymer Grade 2_EVAL F171B,0.030138416
cat__Polymer Grade 2_Kuredux® PGA,0.029810831
cat__Polymer Grade 3_EVAL F171B,0.02976934
cat__Polymer Grade 5_Glycerol,0.02911122
num__branching_factor,0.028541422
num__primary_carbon,0.027067717
num__tree_depth,0.026605558
cat__Polymer Grade 3_Kuredux® PGA,0.025758978
cat__Polymer Grade 1_EVAL F171B,0.025649017
num__Thickness (um),0.02429186
num__long_chain,0.018177059
num__SP3_C,0.016233042
num__SP2_C,0.014843062
cat__Polymer Grade 5_Unknown,0.013508668
cat__Polymer Grade 5_EVAL F171B,0.012739763
cat__Polymer Grade 4_Unknown,0.011301791
num__SP2_O,0.010989813
cat__Polymer Grade 3_Glycerol,0.010919037
cat__Polymer Grade 4_Glycerol,0.009419673
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.0073123486
num__SP3_N,0.0072653093
num__ester,0.006887599
num__tertiary_carbon,0.0061082565
cat__Polymer Grade 1_CX-C6,0.0051005147
num__vol_fraction5,0.0048733144
cat__Polymer Grade 1_Glycerol,0.0044685234
cat__Polymer Grade 2_Unknown,0.0042757504
cat__Polymer Grade 2_BioPBS™ FZ91,0.0041310317
num__vol_fraction4,0.0039242874
num__secondary_carbon,0.0034405575
num__vol_fraction3,0.0034339654
num__ether,0.0034258638
num__vol_fraction1,0.0031082225
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.0030095323
cat__Polymer Grade 2_ENMAT Y3000,0.002994645
num__phenyls,0.00281376
num__SP3_Cl,0.0026922754
cat__Polymer Grade 1_PBS TH803S,0.0026374646
num__Temperature (C),0.0025797847
cat__Polymer Grade 1_Ecoworld,0.0023391733
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0022582859
num__RH (%),0.0021075262
num__ketone,0.0020548343
num__vol_fraction2,0.0020240776
num__amide,0.0018982919
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.0018235045
cat__Polymer Grade 2_LDPE LD 150,0.0017560035
cat__Polymer Grade 1_Mylar 48-F-OC Clear PET PET,0.0017316206
cat__Polymer Grade 1_BioPBS™ FZ91,0.0016628705
cat__Polymer Grade 5_Ecovance rf-PBAT,0.0016042202
cat__Polymer Grade 3_Capa™ 6800,0.0015504966
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.0015490298
cat__Polymer Grade 3_Capa™ 6500,0.001464774
cat__Polymer Grade 2_Capa™ 6500,0.0014530338
cat__Polymer Grade 3_Total PPH 3270,0.0014428392
num__secondary_amine,0.0013386662
cat__Polymer Grade 3_Ingeo 4032D,0.0013106855
cat__Polymer Grade 2_Glycerol,0.001252512
cat__Polymer Grade 2_Luminy® L175,0.0012250069
cat__Polymer Grade 1_Capa™ 6800,0.0012209299
cat__Polymer Grade 5_Ingeo 4043D,0.0011042461
cat__Polymer Grade 3_PBS TH803S,0.0009957025
cat__Polymer Grade 2_Ecovance rf-PBAT,0.00096615695
cat__Polymer Grade 2_PBS TH803S,0.00090136845
cat__Polymer Grade 2_Tunhe TH801T,0.00089422177
cat__Polymer Grade 4_PBS TH803S,0.0008559628
cat__Polymer Grade 3_Tunhe TH801T,0.0008415889
cat__Polymer Grade 5_Luminy® L175,0.00082342816
cat__Polymer Grade 4_I'm green™ STN7006,0.00081846706
cat__Polymer Grade 4_ecoflex® F Blend C1200,0.00080573134
cat__Polymer Grade 4_Tunhe TH801T,0.00079314184
cat__Polymer Grade 4_Capa™ 6800,0.0007861413
cat__Polymer Grade 5_PBS TH803S,0.0007833681
cat__Polymer Grade 5_Ingeo 4032D,0.000769656
cat__Polymer Grade 1_Tunhe TH801T,0.00071621983
cat__Polymer Grade 3_Ingeo 4043D,0.0007041722
cat__Polymer Grade 3_Unknown,0.0006784407
cat__Polymer Grade 5_BioPBS™ FZ91,0.0006182955
cat__Polymer Grade 4_Total PPH 3270,0.0006127539
cat__Polymer Grade 5_LDPE LD 150,0.0006092381
cat__Polymer Grade 2_Ecoworld,0.0005818908
cat__Polymer Grade 1_ENMAT Y3000,0.000558054
cat__Polymer Grade 3_I'm green™ STN7006,0.0005540109
cat__Polymer Grade 2_Ingeo 4043D,0.00053301884
cat__Polymer Grade 3_Luminy® L175,0.0005328767
cat__Polymer Grade 2_I'm green™ STN7006,0.00050494634
cat__Polymer Grade 2_Capa™ 6800,0.00048800718
cat__Polymer Grade 2_Total PPH 3270,0.00047636346
cat__Polymer Grade 3_Ecovance rf-PBAT,0.00047321254
cat__Polymer Grade 3_Aegis PCR-H135ZP Nylon 6,0.0004433778
cat__Polymer Grade 3_BioPBS™ FZ91,0.0004261697
cat__Polymer Grade 4_Ecoworld,0.0004156501
cat__Polymer Grade 1_Luminy® L175,0.00040212346
cat__Polymer Grade 5_I'm green™ STN7006,0.00039779098
cat__Polymer Grade 4_Ingeo 4032D,0.00036488
cat__Polymer Grade 1_I'm green™ STN7006,0.0003499068
cat__Polymer Grade 2_ecoflex® F Blend C1200,0.00034819794
cat__Polymer Grade 1_Ingeo 4032D,0.00033132534
cat__Polymer Grade 3_Ecoworld,0.00032924794
cat__Polymer Grade 4_BioPBS™ FZ91,0.00032923502
cat__Polymer Grade 3_ENMAT Y3000,0.00032505856
cat__Polymer Grade 1_ecoflex® F Blend C1200,0.00028168006
cat__Polymer Grade 4_Ecovance rf-PBAT,0.0002787097
cat__Polymer Grade 2_Aegis PCR-H135ZP Nylon 6,0.00027553493
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.00027245
cat__Polymer Grade 1_Ingeo 4043D,0.00025287
cat__Polymer Grade 3_ecoflex® F Blend C1200,0.00024500056
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.00021773044
cat__Polymer Grade 1_LDPE LD 150,0.00021515894
cat__Polymer Grade 4_Luminy® L175,0.00021264305
cat__Polymer Grade 4_ENMAT Y3000,0.00019064824
cat__Polymer Grade 4_Ingeo 4043D,0.00016502886
cat__Polymer Grade 1_Total PPH 3270,0.00016056481
cat__Polymer Grade 2_Ingeo 4032D,0.00015281688
cat__Polymer Grade 4_Capa™ 6500,0.000119590746
cat__Polymer Grade 1_Capa™ 6500,0.00010439516
cat__Polymer Grade 4_LDPE LD 150,9.332154e-05
cat__Polymer Grade 5_Capa™ 6500,9.054364e-05
cat__Polymer Grade 3_LDPE LD 150,6.0735638e-05
cat__Polymer Grade 1_Ecovance rf-PBAT,4.3326952e-05
num__sulfonyl_halide,0.0
num__guanidine,0.0
num__thiourea,0.0
num__silicon_4_coord,0.0
num__boron_3_coord,0.0
num__phosphonate,0.0
num__azide,0.0
num__imide,0.0
num__azo,0.0
num__vinyl_halide,0.0
num__thiocyanate,0.0
num__isocyanate,0.0
num__ketal,0.0
num__acetal,0.0
num__nitro,0.0
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0
num__thiol,0.0
num__allene,0.0
cat__Polymer Grade 5_ENMAT Y3000,0.0
num__aldehyde,0.0
num__sulfoxide,0.0
num__thioether,0.0
num__primary_amine,0.0
cat__Polymer Grade 5_Capa™ 6800,0.0
num__tertiary_amine,0.0
num__quaternary_amine,0.0
num__imine,0.0
num__nitrile,0.0
num__quaternary_carbon,0.0
num__ethyl_chain,0.0
num__propyl_chain,0.0
num__butyl_chain,0.0
num__phosphate,0.0
num__sulfonamide,0.0
num__sulfone,0.0
num__SP_C,0.0
num__cyclopentanes,0.0
num__cyclohexanes,0.0
num__SP3D2_S,0.0
num__SP3_I,0.0
num__SP3_Br,0.0
num__SP3_F,0.0
num__SP3_B,0.0
num__SP3_Si,0.0
num__SP3_P,0.0
num__SP3_S,0.0
cat__Polymer Grade 5_Total PPH 3270,0.0
cat__Polymer Grade 5_Tunhe TH801T,0.0
num__SP2_B,0.0
num__SP2_S,0.0
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0
num__SP2_N,0.0
num__SP_N,0.0
num__cyclopentenes,0.0
num__thiophenes,0.0
num__aromatic_rings_with_n,0.0
num__anhydride,0.0
cat__Polymer Grade 1_PHACT A1000P,0.0
cat__Polymer Grade 5_Ecoworld,0.0
num__thioamide,0.0
num__carbamate,0.0
num__urea,0.0
num__carbamide,0.0
num__acyl_halide,0.0
num__carboxylic_acid,0.0
cat__Polymer Grade 1_Green Planet™ PHBH,0.0
num__other_rings,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
num__aliphatic_rings_with_n,0.0
num__aromatic_rings_with_s,0.0
num__aromatic_rings_with_n_o,0.0
num__aromatic_rings_with_o,0.0
