feature,importance
cat__Polymer Grade 5_PHACT S1000P,0.81225103
cat__Polymer Grade 4_PHACT S1000P,0.020291178
num__alcohol,0.014200957
num__vinyl,0.010993619
cat__Polymer Grade 5_Unknown,0.010829936
cat__Polymer Grade 4_Polylactide,0.0085074855
cat__Polymer Grade 3_Polylactide,0.00784573
cat__Polymer Grade 2_Polylactide,0.007124478
cat__Polymer Grade 4_Kuredux® PGA,0.0065324376
cat__Polymer Grade 1_Polylactide,0.0060667326
cat__Polymer Grade 3_Kuredux® PGA,0.0058176517
cat__Polymer Grade 5_Polylactide,0.005771005
cat__Polymer Grade 2_Kuredux® PGA,0.005715843
cat__Polymer Grade 5_Kuredux® PGA,0.0048960173
num__SP2_O,0.0047985436
cat__Polymer Grade 4_Unknown,0.004412718
cat__Polymer Grade 1_Kuredux® PGA,0.00430664
num__SP3_O,0.0040085483
cat__Polymer Grade 5_BIOCYCLE® 1000,0.0028310218
cat__Polymer Grade 5_BioPBS™ FD92,0.0024863803
cat__Polymer Grade 3_EVAL F171B,0.0024775676
cat__Polymer Grade 2_EVAL F171B,0.0021389464
num__vol_fraction5,0.002116786
num__SP2_C,0.0020792575
num__Thickness (um),0.0019866072
num__branching_factor,0.0019323427
cat__Polymer Grade 4_EVAL F171B,0.0017814793
cat__Polymer Grade 3_PHACT S1000P,0.0015507723
num__tertiary_carbon,0.001521966
cat__Polymer Grade 1_CX-C6,0.0014100292
cat__Polymer Grade 5_EVAL F171B,0.0014091464
num__SP3_C,0.0014078749
num__long_chain,0.0013110214
num__phenyls,0.0011821574
cat__Polymer Grade 1_EVAL F171B,0.00095252757
num__ester,0.00092135783
num__vol_fraction4,0.0008889731
cat__Polymer Grade 4_BIOCYCLE® 1000,0.0008588989
num__primary_carbon,0.00084074115
num__ketone,0.0008271399
cat__Polymer Grade 4_Total PPH 3270,0.0007182864
cat__Polymer Grade 4_BioPBS™ FD92,0.00065368105
num__ether,0.0006503219
num__amide,0.000609741
num__SP3_Cl,0.00056439266
cat__Polymer Grade 3_Mylar 48-F-OC Clear PET PET,0.00055684417
cat__Polymer Grade 3_Unknown,0.0005552653
cat__Polymer Grade 4_Mylar 48-F-OC Clear PET PET,0.0005335931
cat__Polymer Grade 3_Total PPH 3270,0.00047094907
num__tree_depth,0.00047004697
num__vol_fraction1,0.0004644093
num__vol_fraction3,0.00044856145
num__vol_fraction2,0.0004302661
cat__Polymer Grade 5_Total PPH 3270,0.00042651017
cat__Polymer Grade 2_Mylar 48-F-OC Clear PET PET,0.00041110293
num__secondary_carbon,0.00039737197
num__SP3_N,0.00039553794
cat__Polymer Grade 5_Mylar 48-F-OC Clear PET PET,0.00038904458
