Blend_Name,Actual,Predicted,Error,Relative_Error,Accuracy_%,Actual_Property2
DV-0001-001,28.6325,28.82227058212692,0.18977058212691844,0.006627803444579357,99.33721965554206,21.028
DV-0001-002,22.958,22.28390772199507,0.6740922780049274,0.029361977437273607,97.06380225627264,14.4175
DV-0002,8.01,8.061311023011289,0.05131102301128898,0.006405870538238325,99.35941294617616,6.234
DV-0004,25.634,23.90863264555226,1.7253673544477408,0.0673077691522096,93.26922308477904,20.77
DV-0007,26.5325,25.92960708250168,0.6028929174983197,0.022722808536636947,97.7277191463363,27.336
DV-0009,32.6375,30.886837287208163,1.75066271279184,0.053639608205035307,94.63603917949646,12.948
DV-0010,21.46,20.72984662418191,0.7301533758180909,0.03402392245191477,96.59760775480852,17.31
DV-0011,22.52,22.414670536936228,0.10532946306377156,0.004677152001055575,99.53228479989444,16.23
DV-0015,19.8575,19.54205584111503,0.3154441588849721,0.01588539135767202,98.41146086423281,8.138
DV-0016,21.22,21.13562458970392,0.08437541029607942,0.0039762210318604815,99.60237789681395,7.154
DV-0018,21.16,22.501044450200645,1.3410444502006449,0.06337639178641989,93.66236082135802,14.047
